Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000361.39922,SP1000361.30.39922,SY1000361.2026.39922,iPad1(1000361),361,01.06.26 11:17,Prod,A1000361.6146,Tisch 19,118,S1000361.39922,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000361.39923,SP1000361.30.39923,SY1000361.2026.39923,iPad1(1000361),361,01.06.26 11:14,Prod,A1000361.6147,,109,S1000361.39923,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000361.39924,SP1000361.30.39924,SY1000361.2026.39924,iPad1(1000361),361,01.06.26 18:53,Prod,A1000361.6148,Tisch 12,118,S1000361.39924,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000361.39925,SP1000361.30.39925,SY1000361.2026.39925,iPad1(1000361),361,01.06.26 18:53,Prod,A1000361.6148,Tisch 12,118,S1000361.39925,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000361.39926,SP1000361.30.39926,SY1000361.2026.39926,iPad1(1000361),361,01.06.26 12:04,Prod,A1000361.6149,Tisch 21,115,S1000361.39926,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000361.39927,SP1000361.30.39927,SY1000361.2026.39927,iPad1(1000361),361,01.06.26 12:04,Prod,A1000361.6149,Tisch 21,115,S1000361.39927,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000361.39928,SP1000361.30.39928,SY1000361.2026.39928,iPad1(1000361),361,01.06.26 12:04,Prod,A1000361.6149,Tisch 21,115,S1000361.39928,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000361.39929,SP1000361.30.39929,SY1000361.2026.39929,iPad1(1000361),361,01.06.26 16:11,Prod,A1000361.6150,Tisch 22,104,S1000361.39929,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000361.39930,SP1000361.30.39930,SY1000361.2026.39930,iPad1(1000361),361,01.06.26 14:13,Prod,A1000361.6151,Tisch 6,118,S1000361.39930,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000361.39931,SP1000361.30.39931,SY1000361.2026.39931,iPad1(1000361),361,01.06.26 17:20,Prod,A1000361.6152,Tisch 12,104,S1000361.39931,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000361.39932,SP1000361.30.39932,SY1000361.2026.39932,iPad1(1000361),361,01.06.26 17:20,Prod,A1000361.6152,Tisch 12,104,S1000361.39932,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000361.39933,SP1000361.30.39933,SY1000361.2026.39933,iPad1(1000361),361,01.06.26 13:02,Prod,A1000361.6153,Tisch 14,114,S1000361.39933,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000361.39934,SP1000361.30.39934,SY1000361.2026.39934,iPad1(1000361),361,01.06.26 13:02,Prod,A1000361.6153,Tisch 14,114,S1000361.39934,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000361.39935,SP1000361.30.39935,SY1000361.2026.39935,iPad1(1000361),361,01.06.26 12:39,Prod,A1000361.6154,Tisch 15,116,S1000361.39935,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
