Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000032.74571,SP1000032.15.74571,SY1000032.2026.74571,iPad1(1000032),32,01.06.26 14:10,Prod,A1000032.6453,Tisch 17,107,S1000032.74571,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000032.74572,SP1000032.15.74572,SY1000032.2026.74572,iPad1(1000032),32,01.06.26 17:52,Prod,A1000032.6454,Tisch 7,115,S1000032.74572,VOID,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000032.74573,SP1000032.15.74573,SY1000032.2026.74573,iPad1(1000032),32,01.06.26 17:52,Prod,A1000032.6454,Tisch 7,115,S1000032.74573,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000032.74574,SP1000032.15.74574,SY1000032.2026.74574,iPad1(1000032),32,01.06.26 17:52,Prod,A1000032.6454,Tisch 7,115,S1000032.74574,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000032.74575,SP1000032.15.74575,SY1000032.2026.74575,iPad1(1000032),32,01.06.26 13:57,Prod,A1000032.6455,Tisch 19,115,S1000032.74575,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000032.74576,SP1000032.15.74576,SY1000032.2026.74576,iPad1(1000032),32,01.06.26 13:57,Prod,A1000032.6455,Tisch 19,115,S1000032.74576,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000032.74577,SP1000032.15.74577,SY1000032.2026.74577,iPad1(1000032),32,01.06.26 12:05,Prod,A1000032.6456,,112,S1000032.74577,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000032.74578,SP1000032.15.74578,SY1000032.2026.74578,iPad1(1000032),32,01.06.26 12:05,Prod,A1000032.6456,,112,S1000032.74578,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000032.74579,SP1000032.15.74579,SY1000032.2026.74579,iPad1(1000032),32,01.06.26 17:29,Prod,A1000032.6457,Tisch 2,115,S1000032.74579,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000032.74580,SP1000032.15.74580,SY1000032.2026.74580,iPad1(1000032),32,01.06.26 17:29,Prod,A1000032.6457,Tisch 2,115,S1000032.74580,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000032.74581,SP1000032.15.74581,SY1000032.2026.74581,iPad1(1000032),32,01.06.26 19:15,Prod,A1000032.6458,Tisch 9,110,S1000032.74581,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000032.74582,SP1000032.15.74582,SY1000032.2026.74582,iPad1(1000032),32,01.06.26 17:34,Prod,A1000032.6459,Tisch 22,107,S1000032.74582,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000032.74583,SP1000032.15.74583,SY1000032.2026.74583,iPad1(1000032),32,01.06.26 17:34,Prod,A1000032.6459,Tisch 22,107,S1000032.74583,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000032.74584,SP1000032.15.74584,SY1000032.2026.74584,iPad1(1000032),32,01.06.26 17:34,Prod,A1000032.6459,Tisch 22,107,S1000032.74584,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000032.74585,SP1000032.15.74585,SY1000032.2026.74585,iPad1(1000032),32,01.06.26 13:40,Prod,A1000032.6460,Tisch 11,105,S1000032.74585,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
