Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000249.84024,SP1000249.14.84024,SY1000249.2026.84024,iPad1(1000249),249,01.06.26 18:22,Prod,A1000249.6861,Tisch 16,107,S1000249.84024,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000249.84025,SP1000249.14.84025,SY1000249.2026.84025,iPad1(1000249),249,01.06.26 18:22,Prod,A1000249.6861,Tisch 16,107,S1000249.84025,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000249.84026,SP1000249.14.84026,SY1000249.2026.84026,iPad1(1000249),249,01.06.26 16:03,Prod,A1000249.6862,Tisch 18,116,S1000249.84026,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000249.84027,SP1000249.14.84027,SY1000249.2026.84027,iPad1(1000249),249,01.06.26 16:03,Prod,A1000249.6862,Tisch 18,116,S1000249.84027,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000249.84028,SP1000249.14.84028,SY1000249.2026.84028,iPad1(1000249),249,01.06.26 16:03,Prod,A1000249.6862,Tisch 18,116,S1000249.84028,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000249.84029,SP1000249.14.84029,SY1000249.2026.84029,iPad1(1000249),249,01.06.26 11:30,Prod,A1000249.6863,Tisch 11,116,S1000249.84029,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000249.84030,SP1000249.14.84030,SY1000249.2026.84030,iPad1(1000249),249,01.06.26 11:30,Prod,A1000249.6863,Tisch 11,116,S1000249.84030,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000249.84031,SP1000249.14.84031,SY1000249.2026.84031,iPad1(1000249),249,01.06.26 11:30,Prod,A1000249.6863,Tisch 11,116,S1000249.84031,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000249.84032,SP1000249.14.84032,SY1000249.2026.84032,iPad1(1000249),249,01.06.26 10:58,Prod,A1000249.6864,Tisch 10,116,S1000249.84032,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000249.84033,SP1000249.14.84033,SY1000249.2026.84033,iPad1(1000249),249,01.06.26 10:58,Prod,A1000249.6864,Tisch 10,116,S1000249.84033,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000249.84034,SP1000249.14.84034,SY1000249.2026.84034,iPad1(1000249),249,01.06.26 10:58,Prod,A1000249.6864,Tisch 10,116,S1000249.84034,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000249.84035,SP1000249.14.84035,SY1000249.2026.84035,iPad1(1000249),249,01.06.26 15:32,Prod,A1000249.6865,Tisch 3,116,S1000249.84035,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000249.84036,SP1000249.14.84036,SY1000249.2026.84036,iPad1(1000249),249,01.06.26 14:09,Prod,A1000249.6866,Tisch 16,116,S1000249.84036,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000249.84037,SP1000249.14.84037,SY1000249.2026.84037,iPad1(1000249),249,01.06.26 19:13,Prod,A1000249.6867,Tisch 17,113,S1000249.84037,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000249.84038,SP1000249.14.84038,SY1000249.2026.84038,iPad1(1000249),249,01.06.26 19:13,Prod,A1000249.6867,Tisch 17,113,S1000249.84038,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000249.84039,SP1000249.14.84039,SY1000249.2026.84039,iPad1(1000249),249,01.06.26 19:13,Prod,A1000249.6867,Tisch 17,113,S1000249.84039,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000249.84040,SP1000249.14.84040,SY1000249.2026.84040,iPad1(1000249),249,01.06.26 10:52,Prod,A1000249.6868,Tisch 18,107,S1000249.84040,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000249.84041,SP1000249.14.84041,SY1000249.2026.84041,iPad1(1000249),249,01.06.26 10:52,Prod,A1000249.6868,Tisch 18,107,S1000249.84041,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000249.84042,SP1000249.14.84042,SY1000249.2026.84042,iPad1(1000249),249,01.06.26 10:52,Prod,A1000249.6868,Tisch 18,107,S1000249.84042,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000249.84043,SP1000249.14.84043,SY1000249.2026.84043,iPad1(1000249),249,01.06.26 18:06,Prod,A1000249.6869,Tisch 20,107,S1000249.84043,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000249.84044,SP1000249.14.84044,SY1000249.2026.84044,iPad1(1000249),249,01.06.26 11:42,Prod,A1000249.6870,Tisch 3,111,S1000249.84044,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000249.84045,SP1000249.14.84045,SY1000249.2026.84045,iPad1(1000249),249,01.06.26 16:29,Prod,A1000249.6871,Tisch 3,113,S1000249.84045,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000249.84046,SP1000249.14.84046,SY1000249.2026.84046,iPad1(1000249),249,01.06.26 16:29,Prod,A1000249.6871,Tisch 3,113,S1000249.84046,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000249.84047,SP1000249.14.84047,SY1000249.2026.84047,iPad1(1000249),249,01.06.26 20:21,Prod,A1000249.6872,Tisch 8,112,S1000249.84047,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000249.84048,SP1000249.14.84048,SY1000249.2026.84048,iPad1(1000249),249,01.06.26 20:18,Prod,A1000249.6873,Tisch 12,113,S1000249.84048,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000249.84049,SP1000249.14.84049,SY1000249.2026.84049,iPad1(1000249),249,01.06.26 20:18,Prod,A1000249.6873,Tisch 12,113,S1000249.84049,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000249.84050,SP1000249.14.84050,SY1000249.2026.84050,iPad1(1000249),249,01.06.26 11:45,Prod,A1000249.6874,Tisch 22,112,S1000249.84050,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000249.84051,SP1000249.14.84051,SY1000249.2026.84051,iPad1(1000249),249,01.06.26 11:45,Prod,A1000249.6874,Tisch 22,112,S1000249.84051,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000249.84052,SP1000249.14.84052,SY1000249.2026.84052,iPad1(1000249),249,01.06.26 18:22,Prod,A1000249.6875,Tisch 12,112,S1000249.84052,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000249.84053,SP1000249.14.84053,SY1000249.2026.84053,iPad1(1000249),249,01.06.26 10:43,Prod,A1000249.6876,Tisch 22,107,S1000249.84053,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000249.84054,SP1000249.14.84054,SY1000249.2026.84054,iPad1(1000249),249,01.06.26 10:43,Prod,A1000249.6876,Tisch 22,107,S1000249.84054,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000249.84055,SP1000249.14.84055,SY1000249.2026.84055,iPad1(1000249),249,01.06.26 10:43,Prod,A1000249.6876,Tisch 22,107,S1000249.84055,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000249.84056,SP1000249.14.84056,SY1000249.2026.84056,iPad1(1000249),249,01.06.26 17:38,Prod,A1000249.6877,Tisch 10,112,S1000249.84056,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000249.84057,SP1000249.14.84057,SY1000249.2026.84057,iPad1(1000249),249,01.06.26 17:38,Prod,A1000249.6877,Tisch 10,112,S1000249.84057,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000249.84058,SP1000249.14.84058,SY1000249.2026.84058,iPad1(1000249),249,01.06.26 17:18,Prod,A1000249.6878,Tisch 4,116,S1000249.84058,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000249.84059,SP1000249.14.84059,SY1000249.2026.84059,iPad1(1000249),249,01.06.26 11:17,Prod,A1000249.6879,Tisch 4,113,S1000249.84059,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000249.84060,SP1000249.14.84060,SY1000249.2026.84060,iPad1(1000249),249,01.06.26 11:55,Prod,A1000249.6880,Tisch 19,116,S1000249.84060,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000249.84061,SP1000249.14.84061,SY1000249.2026.84061,iPad1(1000249),249,01.06.26 11:55,Prod,A1000249.6880,Tisch 19,116,S1000249.84061,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000249.84062,SP1000249.14.84062,SY1000249.2026.84062,iPad1(1000249),249,01.06.26 11:55,Prod,A1000249.6880,Tisch 19,116,S1000249.84062,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000249.84063,SP1000249.14.84063,SY1000249.2026.84063,iPad1(1000249),249,01.06.26 13:20,Prod,A1000249.6881,Tisch 5,107,S1000249.84063,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000249.84064,SP1000249.14.84064,SY1000249.2026.84064,iPad1(1000249),249,01.06.26 17:07,Prod,A1000249.6882,Tisch 10,113,S1000249.84064,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000249.84065,SP1000249.14.84065,SY1000249.2026.84065,iPad1(1000249),249,01.06.26 17:07,Prod,A1000249.6882,Tisch 10,113,S1000249.84065,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000249.84066,SP1000249.14.84066,SY1000249.2026.84066,iPad1(1000249),249,01.06.26 17:07,Prod,A1000249.6882,Tisch 10,113,S1000249.84066,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000249.84067,SP1000249.14.84067,SY1000249.2026.84067,iPad1(1000249),249,01.06.26 08:02,Prod,A1000249.6883,Tisch 7,107,S1000249.84067,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000249.84068,SP1000249.14.84068,SY1000249.2026.84068,iPad1(1000249),249,01.06.26 08:02,Prod,A1000249.6883,Tisch 7,107,S1000249.84068,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000249.84069,SP1000249.14.84069,SY1000249.2026.84069,iPad1(1000249),249,01.06.26 08:02,Prod,A1000249.6883,Tisch 7,107,S1000249.84069,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000249.84070,SP1000249.14.84070,SY1000249.2026.84070,iPad1(1000249),249,01.06.26 17:43,Prod,A1000249.6884,,113,S1000249.84070,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000249.84071,SP1000249.14.84071,SY1000249.2026.84071,iPad1(1000249),249,01.06.26 17:43,Prod,A1000249.6884,,113,S1000249.84071,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000249.84072,SP1000249.14.84072,SY1000249.2026.84072,iPad1(1000249),249,01.06.26 17:43,Prod,A1000249.6884,,113,S1000249.84072,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000249.84073,SP1000249.14.84073,SY1000249.2026.84073,iPad1(1000249),249,01.06.26 18:50,Prod,A1000249.6885,,113,S1000249.84073,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000249.84074,SP1000249.14.84074,SY1000249.2026.84074,iPad1(1000249),249,01.06.26 18:42,Prod,A1000249.6886,Tisch 17,113,S1000249.84074,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000249.84075,SP1000249.14.84075,SY1000249.2026.84075,iPad1(1000249),249,01.06.26 18:42,Prod,A1000249.6886,Tisch 17,113,S1000249.84075,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000249.84076,SP1000249.14.84076,SY1000249.2026.84076,iPad1(1000249),249,01.06.26 11:39,Prod,A1000249.6887,Tisch 1,113,S1000249.84076,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000249.84077,SP1000249.14.84077,SY1000249.2026.84077,iPad1(1000249),249,01.06.26 11:39,Prod,A1000249.6887,Tisch 1,113,S1000249.84077,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000249.84078,SP1000249.14.84078,SY1000249.2026.84078,iPad1(1000249),249,01.06.26 11:39,Prod,A1000249.6887,Tisch 1,113,S1000249.84078,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000249.84079,SP1000249.14.84079,SY1000249.2026.84079,iPad1(1000249),249,01.06.26 19:14,Prod,A1000249.6888,Tisch 13,116,S1000249.84079,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
