Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000216.20626,SP1000216.2.20626,SY1000216.2026.20626,iPad1(1000216),216,01.06.26 12:38,Prod,A1000216.6384,Tisch 6,111,S1000216.20626,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000216.20627,SP1000216.2.20627,SY1000216.2026.20627,iPad1(1000216),216,01.06.26 18:57,Prod,A1000216.6385,Tisch 8,108,S1000216.20627,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000216.20628,SP1000216.2.20628,SY1000216.2026.20628,iPad1(1000216),216,01.06.26 18:57,Prod,A1000216.6385,Tisch 8,108,S1000216.20628,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000216.20629,SP1000216.2.20629,SY1000216.2026.20629,iPad1(1000216),216,01.06.26 18:57,Prod,A1000216.6385,Tisch 8,108,S1000216.20629,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000216.20630,SP1000216.2.20630,SY1000216.2026.20630,iPad1(1000216),216,01.06.26 16:41,Prod,A1000216.6386,Tisch 19,111,S1000216.20630,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000216.20631,SP1000216.2.20631,SY1000216.2026.20631,iPad1(1000216),216,01.06.26 19:29,Prod,A1000216.6387,Tisch 8,106,S1000216.20631,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000216.20632,SP1000216.2.20632,SY1000216.2026.20632,iPad1(1000216),216,01.06.26 19:29,Prod,A1000216.6387,Tisch 8,106,S1000216.20632,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000216.20633,SP1000216.2.20633,SY1000216.2026.20633,iPad1(1000216),216,01.06.26 19:00,Prod,A1000216.6388,Tisch 8,106,S1000216.20633,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000216.20634,SP1000216.2.20634,SY1000216.2026.20634,iPad1(1000216),216,01.06.26 19:00,Prod,A1000216.6388,Tisch 8,106,S1000216.20634,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000216.20635,SP1000216.2.20635,SY1000216.2026.20635,iPad1(1000216),216,01.06.26 19:00,Prod,A1000216.6388,Tisch 8,106,S1000216.20635,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000216.20636,SP1000216.2.20636,SY1000216.2026.20636,iPad1(1000216),216,01.06.26 11:29,Prod,A1000216.6389,,106,S1000216.20636,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000216.20637,SP1000216.2.20637,SY1000216.2026.20637,iPad1(1000216),216,01.06.26 12:09,Prod,A1000216.6390,Tisch 24,106,S1000216.20637,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000216.20638,SP1000216.2.20638,SY1000216.2026.20638,iPad1(1000216),216,01.06.26 12:09,Prod,A1000216.6390,Tisch 24,106,S1000216.20638,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000216.20639,SP1000216.2.20639,SY1000216.2026.20639,iPad1(1000216),216,01.06.26 12:09,Prod,A1000216.6390,Tisch 24,106,S1000216.20639,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000216.20640,SP1000216.2.20640,SY1000216.2026.20640,iPad1(1000216),216,01.06.26 16:52,Prod,A1000216.6391,,106,S1000216.20640,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000216.20641,SP1000216.2.20641,SY1000216.2026.20641,iPad1(1000216),216,01.06.26 16:52,Prod,A1000216.6391,,106,S1000216.20641,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000216.20642,SP1000216.2.20642,SY1000216.2026.20642,iPad1(1000216),216,01.06.26 19:21,Prod,A1000216.6392,Tisch 24,106,S1000216.20642,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000216.20643,SP1000216.2.20643,SY1000216.2026.20643,iPad1(1000216),216,01.06.26 19:21,Prod,A1000216.6392,Tisch 24,106,S1000216.20643,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000216.20644,SP1000216.2.20644,SY1000216.2026.20644,iPad1(1000216),216,01.06.26 19:21,Prod,A1000216.6392,Tisch 24,106,S1000216.20644,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000216.20645,SP1000216.2.20645,SY1000216.2026.20645,iPad1(1000216),216,01.06.26 12:04,Prod,A1000216.6393,Tisch 3,111,S1000216.20645,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000216.20646,SP1000216.2.20646,SY1000216.2026.20646,iPad1(1000216),216,01.06.26 12:04,Prod,A1000216.6393,Tisch 3,111,S1000216.20646,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000216.20647,SP1000216.2.20647,SY1000216.2026.20647,iPad1(1000216),216,01.06.26 13:17,Prod,A1000216.6394,Tisch 22,111,S1000216.20647,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
