Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000136.68307,SP1000136.14.68307,SY1000136.2026.68307,iPad1(1000136),136,01.06.26 12:50,Prod,A1000136.6573,,106,S1000136.68307,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000136.68308,SP1000136.14.68308,SY1000136.2026.68308,iPad1(1000136),136,01.06.26 12:13,Prod,A1000136.6574,,110,S1000136.68308,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000136.68309,SP1000136.14.68309,SY1000136.2026.68309,iPad1(1000136),136,01.06.26 12:13,Prod,A1000136.6574,,110,S1000136.68309,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000136.68310,SP1000136.14.68310,SY1000136.2026.68310,iPad1(1000136),136,01.06.26 12:13,Prod,A1000136.6574,,110,S1000136.68310,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000136.68311,SP1000136.14.68311,SY1000136.2026.68311,iPad1(1000136),136,01.06.26 20:55,Prod,A1000136.6575,Tisch 23,106,S1000136.68311,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000136.68312,SP1000136.14.68312,SY1000136.2026.68312,iPad1(1000136),136,01.06.26 13:48,Prod,A1000136.6576,,110,S1000136.68312,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000136.68313,SP1000136.14.68313,SY1000136.2026.68313,iPad1(1000136),136,01.06.26 13:48,Prod,A1000136.6576,,110,S1000136.68313,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000136.68314,SP1000136.14.68314,SY1000136.2026.68314,iPad1(1000136),136,01.06.26 15:00,Prod,A1000136.6577,Tisch 4,106,S1000136.68314,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000136.68315,SP1000136.14.68315,SY1000136.2026.68315,iPad1(1000136),136,01.06.26 15:00,Prod,A1000136.6577,Tisch 4,106,S1000136.68315,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000136.68316,SP1000136.14.68316,SY1000136.2026.68316,iPad1(1000136),136,01.06.26 12:25,Prod,A1000136.6578,Tisch 11,110,S1000136.68316,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
