Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000037.24765,SP1000037.20.24765,SY1000037.2026.24765,iPad1(1000037),37,01.06.26 13:38,Prod,A1000037.6707,Tisch 16,109,S1000037.24765,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000037.24766,SP1000037.20.24766,SY1000037.2026.24766,iPad1(1000037),37,01.06.26 13:38,Prod,A1000037.6707,Tisch 16,109,S1000037.24766,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000037.24767,SP1000037.20.24767,SY1000037.2026.24767,iPad1(1000037),37,01.06.26 12:37,Prod,A1000037.6708,Tisch 5,119,S1000037.24767,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000037.24768,SP1000037.20.24768,SY1000037.2026.24768,iPad1(1000037),37,01.06.26 12:37,Prod,A1000037.6708,Tisch 5,119,S1000037.24768,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000037.24769,SP1000037.20.24769,SY1000037.2026.24769,iPad1(1000037),37,01.06.26 15:03,Prod,A1000037.6709,Tisch 3,119,S1000037.24769,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000037.24770,SP1000037.20.24770,SY1000037.2026.24770,iPad1(1000037),37,01.06.26 15:03,Prod,A1000037.6709,Tisch 3,119,S1000037.24770,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000037.24771,SP1000037.20.24771,SY1000037.2026.24771,iPad1(1000037),37,01.06.26 18:46,Prod,A1000037.6710,Tisch 9,119,S1000037.24771,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000037.24772,SP1000037.20.24772,SY1000037.2026.24772,iPad1(1000037),37,01.06.26 17:46,Prod,A1000037.6711,Tisch 7,119,S1000037.24772,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000037.24773,SP1000037.20.24773,SY1000037.2026.24773,iPad1(1000037),37,01.06.26 17:46,Prod,A1000037.6711,Tisch 7,119,S1000037.24773,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000037.24774,SP1000037.20.24774,SY1000037.2026.24774,iPad1(1000037),37,01.06.26 15:25,Prod,A1000037.6712,Tisch 15,107,S1000037.24774,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
