Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000091.85798,SP1000091.30.85798,SY1000091.2026.85798,iPad1(1000091),91,01.06.26 09:20,Prod,A1000091.6175,Tisch 5,110,S1000091.85798,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000091.85799,SP1000091.30.85799,SY1000091.2026.85799,iPad1(1000091),91,01.06.26 09:20,Prod,A1000091.6175,Tisch 5,110,S1000091.85799,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000091.85800,SP1000091.30.85800,SY1000091.2026.85800,iPad1(1000091),91,01.06.26 18:02,Prod,A1000091.6176,,110,S1000091.85800,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000091.85801,SP1000091.30.85801,SY1000091.2026.85801,iPad1(1000091),91,01.06.26 18:02,Prod,A1000091.6176,,110,S1000091.85801,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000091.85802,SP1000091.30.85802,SY1000091.2026.85802,iPad1(1000091),91,01.06.26 18:02,Prod,A1000091.6176,,110,S1000091.85802,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000091.85803,SP1000091.30.85803,SY1000091.2026.85803,iPad1(1000091),91,01.06.26 11:39,Prod,A1000091.6177,Tisch 8,110,S1000091.85803,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000091.85804,SP1000091.30.85804,SY1000091.2026.85804,iPad1(1000091),91,01.06.26 19:27,Prod,A1000091.6178,Tisch 1,115,S1000091.85804,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000091.85805,SP1000091.30.85805,SY1000091.2026.85805,iPad1(1000091),91,01.06.26 19:27,Prod,A1000091.6178,Tisch 1,115,S1000091.85805,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000091.85806,SP1000091.30.85806,SY1000091.2026.85806,iPad1(1000091),91,01.06.26 12:09,Prod,A1000091.6179,Tisch 11,108,S1000091.85806,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000091.85807,SP1000091.30.85807,SY1000091.2026.85807,iPad1(1000091),91,01.06.26 12:09,Prod,A1000091.6179,Tisch 11,108,S1000091.85807,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000091.85808,SP1000091.30.85808,SY1000091.2026.85808,iPad1(1000091),91,01.06.26 12:09,Prod,A1000091.6179,Tisch 11,108,S1000091.85808,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000091.85809,SP1000091.30.85809,SY1000091.2026.85809,iPad1(1000091),91,01.06.26 19:15,Prod,A1000091.6180,Tisch 6,105,S1000091.85809,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000091.85810,SP1000091.30.85810,SY1000091.2026.85810,iPad1(1000091),91,01.06.26 14:47,Prod,A1000091.6181,Tisch 19,119,S1000091.85810,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000091.85811,SP1000091.30.85811,SY1000091.2026.85811,iPad1(1000091),91,01.06.26 14:47,Prod,A1000091.6181,Tisch 19,119,S1000091.85811,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000091.85812,SP1000091.30.85812,SY1000091.2026.85812,iPad1(1000091),91,01.06.26 13:01,Prod,A1000091.6182,Tisch 1,115,S1000091.85812,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000091.85813,SP1000091.30.85813,SY1000091.2026.85813,iPad1(1000091),91,01.06.26 12:11,Prod,A1000091.6183,Tisch 3,108,S1000091.85813,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000091.85814,SP1000091.30.85814,SY1000091.2026.85814,iPad1(1000091),91,01.06.26 12:11,Prod,A1000091.6183,Tisch 3,108,S1000091.85814,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000091.85815,SP1000091.30.85815,SY1000091.2026.85815,iPad1(1000091),91,01.06.26 16:36,Prod,A1000091.6184,Tisch 13,115,S1000091.85815,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000091.85816,SP1000091.30.85816,SY1000091.2026.85816,iPad1(1000091),91,01.06.26 16:36,Prod,A1000091.6184,Tisch 13,115,S1000091.85816,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000091.85817,SP1000091.30.85817,SY1000091.2026.85817,iPad1(1000091),91,01.06.26 19:34,Prod,A1000091.6185,Tisch 18,105,S1000091.85817,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000091.85818,SP1000091.30.85818,SY1000091.2026.85818,iPad1(1000091),91,01.06.26 19:34,Prod,A1000091.6185,Tisch 18,105,S1000091.85818,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000091.85819,SP1000091.30.85819,SY1000091.2026.85819,iPad1(1000091),91,01.06.26 19:34,Prod,A1000091.6185,Tisch 18,105,S1000091.85819,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000091.85820,SP1000091.30.85820,SY1000091.2026.85820,iPad1(1000091),91,01.06.26 18:39,Prod,A1000091.6186,Tisch 22,105,S1000091.85820,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000091.85821,SP1000091.30.85821,SY1000091.2026.85821,iPad1(1000091),91,01.06.26 18:39,Prod,A1000091.6186,Tisch 22,105,S1000091.85821,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000091.85822,SP1000091.30.85822,SY1000091.2026.85822,iPad1(1000091),91,01.06.26 18:39,Prod,A1000091.6186,Tisch 22,105,S1000091.85822,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000091.85823,SP1000091.30.85823,SY1000091.2026.85823,iPad1(1000091),91,01.06.26 16:01,Prod,A1000091.6187,Tisch 6,115,S1000091.85823,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000091.85824,SP1000091.30.85824,SY1000091.2026.85824,iPad1(1000091),91,01.06.26 16:01,Prod,A1000091.6187,Tisch 6,115,S1000091.85824,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000091.85825,SP1000091.30.85825,SY1000091.2026.85825,iPad1(1000091),91,01.06.26 16:01,Prod,A1000091.6187,Tisch 6,115,S1000091.85825,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000091.85826,SP1000091.30.85826,SY1000091.2026.85826,iPad1(1000091),91,01.06.26 14:47,Prod,A1000091.6188,Tisch 15,105,S1000091.85826,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000091.85827,SP1000091.30.85827,SY1000091.2026.85827,iPad1(1000091),91,01.06.26 18:52,Prod,A1000091.6189,Tisch 9,105,S1000091.85827,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000091.85828,SP1000091.30.85828,SY1000091.2026.85828,iPad1(1000091),91,01.06.26 10:45,Prod,A1000091.6190,Tisch 23,110,S1000091.85828,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000091.85829,SP1000091.30.85829,SY1000091.2026.85829,iPad1(1000091),91,01.06.26 10:45,Prod,A1000091.6190,Tisch 23,110,S1000091.85829,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
