Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000392.53412,SP1000392.32.53412,SY1000392.2026.53412,iPad1(1000392),392,01.06.26 16:06,Prod,A1000392.6746,Tisch 3,115,S1000392.53412,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000392.53413,SP1000392.32.53413,SY1000392.2026.53413,iPad1(1000392),392,01.06.26 20:00,Prod,A1000392.6747,,115,S1000392.53413,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000392.53414,SP1000392.32.53414,SY1000392.2026.53414,iPad1(1000392),392,01.06.26 20:00,Prod,A1000392.6747,,115,S1000392.53414,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000392.53415,SP1000392.32.53415,SY1000392.2026.53415,iPad1(1000392),392,01.06.26 20:00,Prod,A1000392.6747,,115,S1000392.53415,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000392.53416,SP1000392.32.53416,SY1000392.2026.53416,iPad1(1000392),392,01.06.26 14:57,Prod,A1000392.6748,Tisch 12,101,S1000392.53416,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000392.53417,SP1000392.32.53417,SY1000392.2026.53417,iPad1(1000392),392,01.06.26 12:00,Prod,A1000392.6749,Tisch 24,115,S1000392.53417,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000392.53418,SP1000392.32.53418,SY1000392.2026.53418,iPad1(1000392),392,01.06.26 12:00,Prod,A1000392.6749,Tisch 24,115,S1000392.53418,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000392.53419,SP1000392.32.53419,SY1000392.2026.53419,iPad1(1000392),392,01.06.26 13:06,Prod,A1000392.6750,Tisch 18,112,S1000392.53419,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000392.53420,SP1000392.32.53420,SY1000392.2026.53420,iPad1(1000392),392,01.06.26 13:06,Prod,A1000392.6750,Tisch 18,112,S1000392.53420,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000392.53421,SP1000392.32.53421,SY1000392.2026.53421,iPad1(1000392),392,01.06.26 13:06,Prod,A1000392.6750,Tisch 18,112,S1000392.53421,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000392.53422,SP1000392.32.53422,SY1000392.2026.53422,iPad1(1000392),392,01.06.26 12:53,Prod,A1000392.6751,Tisch 13,115,S1000392.53422,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000392.53423,SP1000392.32.53423,SY1000392.2026.53423,iPad1(1000392),392,01.06.26 12:53,Prod,A1000392.6751,Tisch 13,115,S1000392.53423,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000392.53424,SP1000392.32.53424,SY1000392.2026.53424,iPad1(1000392),392,01.06.26 12:53,Prod,A1000392.6751,Tisch 13,115,S1000392.53424,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000392.53425,SP1000392.32.53425,SY1000392.2026.53425,iPad1(1000392),392,01.06.26 12:07,Prod,A1000392.6752,Tisch 19,115,S1000392.53425,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000392.53426,SP1000392.32.53426,SY1000392.2026.53426,iPad1(1000392),392,01.06.26 16:53,Prod,A1000392.6753,Tisch 16,101,S1000392.53426,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000392.53427,SP1000392.32.53427,SY1000392.2026.53427,iPad1(1000392),392,01.06.26 16:53,Prod,A1000392.6753,Tisch 16,101,S1000392.53427,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000392.53428,SP1000392.32.53428,SY1000392.2026.53428,iPad1(1000392),392,01.06.26 11:36,Prod,A1000392.6754,Tisch 14,115,S1000392.53428,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000392.53429,SP1000392.32.53429,SY1000392.2026.53429,iPad1(1000392),392,01.06.26 11:10,Prod,A1000392.6755,Tisch 13,115,S1000392.53429,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
