Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000166.71058,SP1000166.26.71058,SY1000166.2026.71058,iPad1(1000166),166,01.06.26 19:04,Prod,A1000166.6724,Tisch 1,106,S1000166.71058,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000166.71059,SP1000166.26.71059,SY1000166.2026.71059,iPad1(1000166),166,01.06.26 12:20,Prod,A1000166.6725,Tisch 1,102,S1000166.71059,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000166.71060,SP1000166.26.71060,SY1000166.2026.71060,iPad1(1000166),166,01.06.26 12:20,Prod,A1000166.6725,Tisch 1,102,S1000166.71060,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000166.71061,SP1000166.26.71061,SY1000166.2026.71061,iPad1(1000166),166,01.06.26 12:20,Prod,A1000166.6725,Tisch 1,102,S1000166.71061,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000166.71062,SP1000166.26.71062,SY1000166.2026.71062,iPad1(1000166),166,01.06.26 17:05,Prod,A1000166.6726,,108,S1000166.71062,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000166.71063,SP1000166.26.71063,SY1000166.2026.71063,iPad1(1000166),166,01.06.26 11:34,Prod,A1000166.6727,Tisch 21,102,S1000166.71063,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000166.71064,SP1000166.26.71064,SY1000166.2026.71064,iPad1(1000166),166,01.06.26 11:34,Prod,A1000166.6727,Tisch 21,102,S1000166.71064,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000166.71065,SP1000166.26.71065,SY1000166.2026.71065,iPad1(1000166),166,01.06.26 11:34,Prod,A1000166.6727,Tisch 21,102,S1000166.71065,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000166.71066,SP1000166.26.71066,SY1000166.2026.71066,iPad1(1000166),166,01.06.26 18:16,Prod,A1000166.6728,Tisch 15,106,S1000166.71066,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000166.71067,SP1000166.26.71067,SY1000166.2026.71067,iPad1(1000166),166,01.06.26 18:16,Prod,A1000166.6728,Tisch 15,106,S1000166.71067,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000166.71068,SP1000166.26.71068,SY1000166.2026.71068,iPad1(1000166),166,01.06.26 20:58,Prod,A1000166.6729,Tisch 11,104,S1000166.71068,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000166.71069,SP1000166.26.71069,SY1000166.2026.71069,iPad1(1000166),166,01.06.26 20:58,Prod,A1000166.6729,Tisch 11,104,S1000166.71069,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000166.71070,SP1000166.26.71070,SY1000166.2026.71070,iPad1(1000166),166,01.06.26 20:58,Prod,A1000166.6729,Tisch 11,104,S1000166.71070,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000166.71071,SP1000166.26.71071,SY1000166.2026.71071,iPad1(1000166),166,01.06.26 18:43,Prod,A1000166.6730,Tisch 23,104,S1000166.71071,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000166.71072,SP1000166.26.71072,SY1000166.2026.71072,iPad1(1000166),166,01.06.26 11:18,Prod,A1000166.6731,Tisch 20,118,S1000166.71072,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000166.71073,SP1000166.26.71073,SY1000166.2026.71073,iPad1(1000166),166,01.06.26 11:18,Prod,A1000166.6731,Tisch 20,118,S1000166.71073,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000166.71074,SP1000166.26.71074,SY1000166.2026.71074,iPad1(1000166),166,01.06.26 19:30,Prod,A1000166.6732,Tisch 3,118,S1000166.71074,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000166.71075,SP1000166.26.71075,SY1000166.2026.71075,iPad1(1000166),166,01.06.26 19:30,Prod,A1000166.6732,Tisch 3,118,S1000166.71075,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000166.71076,SP1000166.26.71076,SY1000166.2026.71076,iPad1(1000166),166,01.06.26 19:30,Prod,A1000166.6732,Tisch 3,118,S1000166.71076,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000166.71077,SP1000166.26.71077,SY1000166.2026.71077,iPad1(1000166),166,01.06.26 11:05,Prod,A1000166.6733,Tisch 2,102,S1000166.71077,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000166.71078,SP1000166.26.71078,SY1000166.2026.71078,iPad1(1000166),166,01.06.26 11:05,Prod,A1000166.6733,Tisch 2,102,S1000166.71078,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000166.71079,SP1000166.26.71079,SY1000166.2026.71079,iPad1(1000166),166,01.06.26 11:05,Prod,A1000166.6733,Tisch 2,102,S1000166.71079,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000166.71080,SP1000166.26.71080,SY1000166.2026.71080,iPad1(1000166),166,01.06.26 18:25,Prod,A1000166.6734,Tisch 23,120,S1000166.71080,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000166.71081,SP1000166.26.71081,SY1000166.2026.71081,iPad1(1000166),166,01.06.26 18:25,Prod,A1000166.6734,Tisch 23,120,S1000166.71081,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000166.71082,SP1000166.26.71082,SY1000166.2026.71082,iPad1(1000166),166,01.06.26 12:07,Prod,A1000166.6735,Tisch 5,106,S1000166.71082,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000166.71083,SP1000166.26.71083,SY1000166.2026.71083,iPad1(1000166),166,01.06.26 12:07,Prod,A1000166.6735,Tisch 5,106,S1000166.71083,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000166.71084,SP1000166.26.71084,SY1000166.2026.71084,iPad1(1000166),166,01.06.26 12:07,Prod,A1000166.6735,Tisch 5,106,S1000166.71084,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
