Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000098.62558,SP1000098.32.62558,SY1000098.2026.62558,iPad1(1000098),98,01.06.26 19:19,Prod,A1000098.6296,Tisch 10,115,S1000098.62558,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000098.62559,SP1000098.32.62559,SY1000098.2026.62559,iPad1(1000098),98,01.06.26 20:00,Prod,A1000098.6297,Tisch 18,105,S1000098.62559,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000098.62560,SP1000098.32.62560,SY1000098.2026.62560,iPad1(1000098),98,01.06.26 20:00,Prod,A1000098.6297,Tisch 18,105,S1000098.62560,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000098.62561,SP1000098.32.62561,SY1000098.2026.62561,iPad1(1000098),98,01.06.26 20:00,Prod,A1000098.6297,Tisch 18,105,S1000098.62561,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000098.62562,SP1000098.32.62562,SY1000098.2026.62562,iPad1(1000098),98,01.06.26 17:39,Prod,A1000098.6298,Tisch 1,117,S1000098.62562,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000098.62563,SP1000098.32.62563,SY1000098.2026.62563,iPad1(1000098),98,01.06.26 17:39,Prod,A1000098.6298,Tisch 1,117,S1000098.62563,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000098.62564,SP1000098.32.62564,SY1000098.2026.62564,iPad1(1000098),98,01.06.26 17:39,Prod,A1000098.6298,Tisch 1,117,S1000098.62564,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000098.62565,SP1000098.32.62565,SY1000098.2026.62565,iPad1(1000098),98,01.06.26 11:00,Prod,A1000098.6299,Tisch 20,105,S1000098.62565,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000098.62566,SP1000098.32.62566,SY1000098.2026.62566,iPad1(1000098),98,01.06.26 18:39,Prod,A1000098.6300,Tisch 13,118,S1000098.62566,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000098.62567,SP1000098.32.62567,SY1000098.2026.62567,iPad1(1000098),98,01.06.26 17:45,Prod,A1000098.6301,Tisch 19,102,S1000098.62567,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000098.62568,SP1000098.32.62568,SY1000098.2026.62568,iPad1(1000098),98,01.06.26 17:45,Prod,A1000098.6301,Tisch 19,102,S1000098.62568,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000098.62569,SP1000098.32.62569,SY1000098.2026.62569,iPad1(1000098),98,01.06.26 17:45,Prod,A1000098.6301,Tisch 19,102,S1000098.62569,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000098.62570,SP1000098.32.62570,SY1000098.2026.62570,iPad1(1000098),98,01.06.26 11:49,Prod,A1000098.6302,,117,S1000098.62570,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000098.62571,SP1000098.32.62571,SY1000098.2026.62571,iPad1(1000098),98,01.06.26 16:40,Prod,A1000098.6303,Tisch 5,118,S1000098.62571,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000098.62572,SP1000098.32.62572,SY1000098.2026.62572,iPad1(1000098),98,01.06.26 19:27,Prod,A1000098.6304,Tisch 18,118,S1000098.62572,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000098.62573,SP1000098.32.62573,SY1000098.2026.62573,iPad1(1000098),98,01.06.26 19:27,Prod,A1000098.6304,Tisch 18,118,S1000098.62573,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000098.62574,SP1000098.32.62574,SY1000098.2026.62574,iPad1(1000098),98,01.06.26 17:28,Prod,A1000098.6305,Tisch 18,105,S1000098.62574,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000098.62575,SP1000098.32.62575,SY1000098.2026.62575,iPad1(1000098),98,01.06.26 12:55,Prod,A1000098.6306,Tisch 21,105,S1000098.62575,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000098.62576,SP1000098.32.62576,SY1000098.2026.62576,iPad1(1000098),98,01.06.26 12:55,Prod,A1000098.6306,Tisch 21,105,S1000098.62576,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000098.62577,SP1000098.32.62577,SY1000098.2026.62577,iPad1(1000098),98,01.06.26 12:55,Prod,A1000098.6306,Tisch 21,105,S1000098.62577,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000098.62578,SP1000098.32.62578,SY1000098.2026.62578,iPad1(1000098),98,01.06.26 19:10,Prod,A1000098.6307,,102,S1000098.62578,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
