Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000008.31161,SP1000008.35.31161,SY1000008.2026.31161,iPad1(1000008),8,01.06.26 10:48,Prod,A1000008.6348,Tisch 9,113,S1000008.31161,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000008.31162,SP1000008.35.31162,SY1000008.2026.31162,iPad1(1000008),8,01.06.26 09:14,Prod,A1000008.6349,Tisch 11,101,S1000008.31162,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000008.31163,SP1000008.35.31163,SY1000008.2026.31163,iPad1(1000008),8,01.06.26 09:14,Prod,A1000008.6349,Tisch 11,101,S1000008.31163,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000008.31164,SP1000008.35.31164,SY1000008.2026.31164,iPad1(1000008),8,01.06.26 09:14,Prod,A1000008.6349,Tisch 11,101,S1000008.31164,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000008.31165,SP1000008.35.31165,SY1000008.2026.31165,iPad1(1000008),8,01.06.26 13:29,Prod,A1000008.6350,Tisch 5,101,S1000008.31165,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000008.31166,SP1000008.35.31166,SY1000008.2026.31166,iPad1(1000008),8,01.06.26 20:41,Prod,A1000008.6351,Tisch 1,109,S1000008.31166,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000008.31167,SP1000008.35.31167,SY1000008.2026.31167,iPad1(1000008),8,01.06.26 20:41,Prod,A1000008.6351,Tisch 1,109,S1000008.31167,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000008.31168,SP1000008.35.31168,SY1000008.2026.31168,iPad1(1000008),8,01.06.26 19:56,Prod,A1000008.6352,Tisch 10,102,S1000008.31168,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000008.31169,SP1000008.35.31169,SY1000008.2026.31169,iPad1(1000008),8,01.06.26 19:56,Prod,A1000008.6352,Tisch 10,102,S1000008.31169,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000008.31170,SP1000008.35.31170,SY1000008.2026.31170,iPad1(1000008),8,01.06.26 19:56,Prod,A1000008.6352,Tisch 10,102,S1000008.31170,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000008.31171,SP1000008.35.31171,SY1000008.2026.31171,iPad1(1000008),8,01.06.26 18:12,Prod,A1000008.6353,Tisch 1,102,S1000008.31171,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000008.31172,SP1000008.35.31172,SY1000008.2026.31172,iPad1(1000008),8,01.06.26 18:12,Prod,A1000008.6353,Tisch 1,102,S1000008.31172,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
