Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000121.36203,SP1000121.5.36203,SY1000121.2026.36203,iPad1(1000121),121,01.06.26 20:08,Prod,A1000121.6189,Tisch 2,103,S1000121.36203,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000121.36204,SP1000121.5.36204,SY1000121.2026.36204,iPad1(1000121),121,01.06.26 20:08,Prod,A1000121.6189,Tisch 2,103,S1000121.36204,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000121.36205,SP1000121.5.36205,SY1000121.2026.36205,iPad1(1000121),121,01.06.26 18:00,Prod,A1000121.6190,Tisch 2,118,S1000121.36205,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000121.36206,SP1000121.5.36206,SY1000121.2026.36206,iPad1(1000121),121,01.06.26 18:00,Prod,A1000121.6190,Tisch 2,118,S1000121.36206,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000121.36207,SP1000121.5.36207,SY1000121.2026.36207,iPad1(1000121),121,01.06.26 10:37,Prod,A1000121.6191,Tisch 4,109,S1000121.36207,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000121.36208,SP1000121.5.36208,SY1000121.2026.36208,iPad1(1000121),121,01.06.26 10:37,Prod,A1000121.6191,Tisch 4,109,S1000121.36208,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000121.36209,SP1000121.5.36209,SY1000121.2026.36209,iPad1(1000121),121,01.06.26 10:37,Prod,A1000121.6191,Tisch 4,109,S1000121.36209,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000121.36210,SP1000121.5.36210,SY1000121.2026.36210,iPad1(1000121),121,01.06.26 20:28,Prod,A1000121.6192,Tisch 23,119,S1000121.36210,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000121.36211,SP1000121.5.36211,SY1000121.2026.36211,iPad1(1000121),121,01.06.26 20:28,Prod,A1000121.6192,Tisch 23,119,S1000121.36211,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000121.36212,SP1000121.5.36212,SY1000121.2026.36212,iPad1(1000121),121,01.06.26 20:28,Prod,A1000121.6192,Tisch 23,119,S1000121.36212,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000121.36213,SP1000121.5.36213,SY1000121.2026.36213,iPad1(1000121),121,01.06.26 18:24,Prod,A1000121.6193,Tisch 3,106,S1000121.36213,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000121.36214,SP1000121.5.36214,SY1000121.2026.36214,iPad1(1000121),121,01.06.26 18:24,Prod,A1000121.6193,Tisch 3,106,S1000121.36214,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000121.36215,SP1000121.5.36215,SY1000121.2026.36215,iPad1(1000121),121,01.06.26 19:01,Prod,A1000121.6194,Tisch 24,101,S1000121.36215,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000121.36216,SP1000121.5.36216,SY1000121.2026.36216,iPad1(1000121),121,01.06.26 19:01,Prod,A1000121.6194,Tisch 24,101,S1000121.36216,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000121.36217,SP1000121.5.36217,SY1000121.2026.36217,iPad1(1000121),121,01.06.26 19:50,Prod,A1000121.6195,Tisch 2,101,S1000121.36217,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000121.36218,SP1000121.5.36218,SY1000121.2026.36218,iPad1(1000121),121,01.06.26 19:50,Prod,A1000121.6195,Tisch 2,101,S1000121.36218,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000121.36219,SP1000121.5.36219,SY1000121.2026.36219,iPad1(1000121),121,01.06.26 15:54,Prod,A1000121.6196,Tisch 22,119,S1000121.36219,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
