Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000328.54713,SP1000328.31.54713,SY1000328.2026.54713,iPad1(1000328),328,01.06.26 11:51,Prod,A1000328.6048,Tisch 17,101,S1000328.54713,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000328.54714,SP1000328.31.54714,SY1000328.2026.54714,iPad1(1000328),328,01.06.26 11:51,Prod,A1000328.6048,Tisch 17,101,S1000328.54714,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000328.54715,SP1000328.31.54715,SY1000328.2026.54715,iPad1(1000328),328,01.06.26 11:51,Prod,A1000328.6048,Tisch 17,101,S1000328.54715,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000328.54716,SP1000328.31.54716,SY1000328.2026.54716,iPad1(1000328),328,01.06.26 12:42,Prod,A1000328.6049,Tisch 21,105,S1000328.54716,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000328.54717,SP1000328.31.54717,SY1000328.2026.54717,iPad1(1000328),328,01.06.26 13:46,Prod,A1000328.6050,,105,S1000328.54717,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000328.54718,SP1000328.31.54718,SY1000328.2026.54718,iPad1(1000328),328,01.06.26 09:39,Prod,A1000328.6051,Tisch 22,105,S1000328.54718,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000328.54719,SP1000328.31.54719,SY1000328.2026.54719,iPad1(1000328),328,01.06.26 12:13,Prod,A1000328.6052,Tisch 11,108,S1000328.54719,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000328.54720,SP1000328.31.54720,SY1000328.2026.54720,iPad1(1000328),328,01.06.26 12:13,Prod,A1000328.6052,Tisch 11,108,S1000328.54720,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000328.54721,SP1000328.31.54721,SY1000328.2026.54721,iPad1(1000328),328,01.06.26 12:13,Prod,A1000328.6052,Tisch 11,108,S1000328.54721,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000328.54722,SP1000328.31.54722,SY1000328.2026.54722,iPad1(1000328),328,01.06.26 08:16,Prod,A1000328.6053,Tisch 7,120,S1000328.54722,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
