Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000093.24048,SP1000093.41.24048,SY1000093.2026.24048,iPad1(1000093),93,01.06.26 10:57,Prod,A1000093.6826,Tisch 18,110,S1000093.24048,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000093.24049,SP1000093.41.24049,SY1000093.2026.24049,iPad1(1000093),93,01.06.26 09:52,Prod,A1000093.6827,Tisch 7,103,S1000093.24049,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000093.24050,SP1000093.41.24050,SY1000093.2026.24050,iPad1(1000093),93,01.06.26 09:52,Prod,A1000093.6827,Tisch 7,103,S1000093.24050,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000093.24051,SP1000093.41.24051,SY1000093.2026.24051,iPad1(1000093),93,01.06.26 09:52,Prod,A1000093.6827,Tisch 7,103,S1000093.24051,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000093.24052,SP1000093.41.24052,SY1000093.2026.24052,iPad1(1000093),93,01.06.26 11:51,Prod,A1000093.6828,Tisch 17,119,S1000093.24052,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000093.24053,SP1000093.41.24053,SY1000093.2026.24053,iPad1(1000093),93,01.06.26 11:51,Prod,A1000093.6828,Tisch 17,119,S1000093.24053,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000093.24054,SP1000093.41.24054,SY1000093.2026.24054,iPad1(1000093),93,01.06.26 11:51,Prod,A1000093.6828,Tisch 17,119,S1000093.24054,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000093.24055,SP1000093.41.24055,SY1000093.2026.24055,iPad1(1000093),93,01.06.26 17:53,Prod,A1000093.6829,Tisch 15,110,S1000093.24055,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000093.24056,SP1000093.41.24056,SY1000093.2026.24056,iPad1(1000093),93,01.06.26 17:53,Prod,A1000093.6829,Tisch 15,110,S1000093.24056,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000093.24057,SP1000093.41.24057,SY1000093.2026.24057,iPad1(1000093),93,01.06.26 10:32,Prod,A1000093.6830,Tisch 18,119,S1000093.24057,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000093.24058,SP1000093.41.24058,SY1000093.2026.24058,iPad1(1000093),93,01.06.26 12:43,Prod,A1000093.6831,Tisch 15,119,S1000093.24058,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000093.24059,SP1000093.41.24059,SY1000093.2026.24059,iPad1(1000093),93,01.06.26 12:43,Prod,A1000093.6831,Tisch 15,119,S1000093.24059,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000093.24060,SP1000093.41.24060,SY1000093.2026.24060,iPad1(1000093),93,01.06.26 12:43,Prod,A1000093.6831,Tisch 15,119,S1000093.24060,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000093.24061,SP1000093.41.24061,SY1000093.2026.24061,iPad1(1000093),93,01.06.26 10:26,Prod,A1000093.6832,Tisch 19,119,S1000093.24061,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000093.24062,SP1000093.41.24062,SY1000093.2026.24062,iPad1(1000093),93,01.06.26 10:26,Prod,A1000093.6832,Tisch 19,119,S1000093.24062,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000093.24063,SP1000093.41.24063,SY1000093.2026.24063,iPad1(1000093),93,01.06.26 16:40,Prod,A1000093.6833,Tisch 15,120,S1000093.24063,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000093.24064,SP1000093.41.24064,SY1000093.2026.24064,iPad1(1000093),93,01.06.26 16:40,Prod,A1000093.6833,Tisch 15,120,S1000093.24064,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
