Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000371.39767,SP1000371.37.39767,SY1000371.2026.39767,iPad1(1000371),371,01.06.26 20:58,Prod,A1000371.6961,Tisch 16,120,S1000371.39767,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000371.39768,SP1000371.37.39768,SY1000371.2026.39768,iPad1(1000371),371,01.06.26 20:58,Prod,A1000371.6961,Tisch 16,120,S1000371.39768,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000371.39769,SP1000371.37.39769,SY1000371.2026.39769,iPad1(1000371),371,01.06.26 19:11,Prod,A1000371.6962,Tisch 13,120,S1000371.39769,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000371.39770,SP1000371.37.39770,SY1000371.2026.39770,iPad1(1000371),371,01.06.26 19:11,Prod,A1000371.6962,Tisch 13,120,S1000371.39770,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000371.39771,SP1000371.37.39771,SY1000371.2026.39771,iPad1(1000371),371,01.06.26 18:16,Prod,A1000371.6963,Tisch 10,120,S1000371.39771,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000371.39772,SP1000371.37.39772,SY1000371.2026.39772,iPad1(1000371),371,01.06.26 18:16,Prod,A1000371.6963,Tisch 10,120,S1000371.39772,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000371.39773,SP1000371.37.39773,SY1000371.2026.39773,iPad1(1000371),371,01.06.26 12:08,Prod,A1000371.6964,Tisch 17,108,S1000371.39773,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000371.39774,SP1000371.37.39774,SY1000371.2026.39774,iPad1(1000371),371,01.06.26 12:39,Prod,A1000371.6965,Tisch 5,104,S1000371.39774,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000371.39775,SP1000371.37.39775,SY1000371.2026.39775,iPad1(1000371),371,01.06.26 12:39,Prod,A1000371.6965,Tisch 5,104,S1000371.39775,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000371.39776,SP1000371.37.39776,SY1000371.2026.39776,iPad1(1000371),371,01.06.26 12:39,Prod,A1000371.6965,Tisch 5,104,S1000371.39776,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000371.39777,SP1000371.37.39777,SY1000371.2026.39777,iPad1(1000371),371,01.06.26 19:32,Prod,A1000371.6966,Tisch 21,120,S1000371.39777,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000371.39778,SP1000371.37.39778,SY1000371.2026.39778,iPad1(1000371),371,01.06.26 13:11,Prod,A1000371.6967,Tisch 5,110,S1000371.39778,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000371.39779,SP1000371.37.39779,SY1000371.2026.39779,iPad1(1000371),371,01.06.26 13:11,Prod,A1000371.6967,Tisch 5,110,S1000371.39779,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000371.39780,SP1000371.37.39780,SY1000371.2026.39780,iPad1(1000371),371,01.06.26 13:11,Prod,A1000371.6967,Tisch 5,110,S1000371.39780,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000371.39781,SP1000371.37.39781,SY1000371.2026.39781,iPad1(1000371),371,01.06.26 12:01,Prod,A1000371.6968,Tisch 9,118,S1000371.39781,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000371.39782,SP1000371.37.39782,SY1000371.2026.39782,iPad1(1000371),371,01.06.26 12:01,Prod,A1000371.6968,Tisch 9,118,S1000371.39782,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000371.39783,SP1000371.37.39783,SY1000371.2026.39783,iPad1(1000371),371,01.06.26 18:42,Prod,A1000371.6969,Tisch 13,118,S1000371.39783,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
