Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000390.11156,SP1000390.46.11156,SY1000390.2026.11156,iPad1(1000390),390,01.06.26 13:26,Prod,A1000390.6954,Tisch 7,113,S1000390.11156,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000390.11157,SP1000390.46.11157,SY1000390.2026.11157,iPad1(1000390),390,01.06.26 20:51,Prod,A1000390.6955,,115,S1000390.11157,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000390.11158,SP1000390.46.11158,SY1000390.2026.11158,iPad1(1000390),390,01.06.26 20:51,Prod,A1000390.6955,,115,S1000390.11158,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000390.11159,SP1000390.46.11159,SY1000390.2026.11159,iPad1(1000390),390,01.06.26 20:51,Prod,A1000390.6955,,115,S1000390.11159,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000390.11160,SP1000390.46.11160,SY1000390.2026.11160,iPad1(1000390),390,01.06.26 17:07,Prod,A1000390.6956,Tisch 23,108,S1000390.11160,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000390.11161,SP1000390.46.11161,SY1000390.2026.11161,iPad1(1000390),390,01.06.26 17:07,Prod,A1000390.6956,Tisch 23,108,S1000390.11161,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000390.11162,SP1000390.46.11162,SY1000390.2026.11162,iPad1(1000390),390,01.06.26 17:07,Prod,A1000390.6956,Tisch 23,108,S1000390.11162,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000390.11163,SP1000390.46.11163,SY1000390.2026.11163,iPad1(1000390),390,01.06.26 16:48,Prod,A1000390.6957,Tisch 23,107,S1000390.11163,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000390.11164,SP1000390.46.11164,SY1000390.2026.11164,iPad1(1000390),390,01.06.26 09:09,Prod,A1000390.6958,Tisch 7,107,S1000390.11164,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000390.11165,SP1000390.46.11165,SY1000390.2026.11165,iPad1(1000390),390,01.06.26 09:09,Prod,A1000390.6958,Tisch 7,107,S1000390.11165,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000390.11166,SP1000390.46.11166,SY1000390.2026.11166,iPad1(1000390),390,01.06.26 09:09,Prod,A1000390.6958,Tisch 7,107,S1000390.11166,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000390.11167,SP1000390.46.11167,SY1000390.2026.11167,iPad1(1000390),390,01.06.26 12:54,Prod,A1000390.6959,Tisch 16,113,S1000390.11167,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000390.11168,SP1000390.46.11168,SY1000390.2026.11168,iPad1(1000390),390,01.06.26 10:34,Prod,A1000390.6960,Tisch 8,115,S1000390.11168,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000390.11169,SP1000390.46.11169,SY1000390.2026.11169,iPad1(1000390),390,01.06.26 13:15,Prod,A1000390.6961,Tisch 19,106,S1000390.11169,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000390.11170,SP1000390.46.11170,SY1000390.2026.11170,iPad1(1000390),390,01.06.26 13:15,Prod,A1000390.6961,Tisch 19,106,S1000390.11170,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000390.11171,SP1000390.46.11171,SY1000390.2026.11171,iPad1(1000390),390,01.06.26 12:21,Prod,A1000390.6962,,109,S1000390.11171,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000390.11172,SP1000390.46.11172,SY1000390.2026.11172,iPad1(1000390),390,01.06.26 12:21,Prod,A1000390.6962,,109,S1000390.11172,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000390.11173,SP1000390.46.11173,SY1000390.2026.11173,iPad1(1000390),390,01.06.26 12:21,Prod,A1000390.6962,,109,S1000390.11173,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000390.11174,SP1000390.46.11174,SY1000390.2026.11174,iPad1(1000390),390,01.06.26 12:42,Prod,A1000390.6963,Tisch 15,105,S1000390.11174,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000390.11175,SP1000390.46.11175,SY1000390.2026.11175,iPad1(1000390),390,01.06.26 19:28,Prod,A1000390.6964,Tisch 24,108,S1000390.11175,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000390.11176,SP1000390.46.11176,SY1000390.2026.11176,iPad1(1000390),390,01.06.26 19:28,Prod,A1000390.6964,Tisch 24,108,S1000390.11176,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000390.11177,SP1000390.46.11177,SY1000390.2026.11177,iPad1(1000390),390,01.06.26 16:24,Prod,A1000390.6965,Tisch 11,107,S1000390.11177,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000390.11178,SP1000390.46.11178,SY1000390.2026.11178,iPad1(1000390),390,01.06.26 16:24,Prod,A1000390.6965,Tisch 11,107,S1000390.11178,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000390.11179,SP1000390.46.11179,SY1000390.2026.11179,iPad1(1000390),390,01.06.26 16:24,Prod,A1000390.6965,Tisch 11,107,S1000390.11179,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000390.11180,SP1000390.46.11180,SY1000390.2026.11180,iPad1(1000390),390,01.06.26 10:32,Prod,A1000390.6966,Tisch 5,113,S1000390.11180,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000390.11181,SP1000390.46.11181,SY1000390.2026.11181,iPad1(1000390),390,01.06.26 12:25,Prod,A1000390.6967,Tisch 24,106,S1000390.11181,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
