Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000245.60189,SP1000245.31.60189,SY1000245.2026.60189,iPad1(1000245),245,01.06.26 20:04,Prod,A1000245.6591,Tisch 4,120,S1000245.60189,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000245.60190,SP1000245.31.60190,SY1000245.2026.60190,iPad1(1000245),245,01.06.26 20:04,Prod,A1000245.6591,Tisch 4,120,S1000245.60190,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000245.60191,SP1000245.31.60191,SY1000245.2026.60191,iPad1(1000245),245,01.06.26 18:47,Prod,A1000245.6592,Tisch 15,110,S1000245.60191,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000245.60192,SP1000245.31.60192,SY1000245.2026.60192,iPad1(1000245),245,01.06.26 14:32,Prod,A1000245.6593,Tisch 16,107,S1000245.60192,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000245.60193,SP1000245.31.60193,SY1000245.2026.60193,iPad1(1000245),245,01.06.26 14:32,Prod,A1000245.6593,Tisch 16,107,S1000245.60193,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000245.60194,SP1000245.31.60194,SY1000245.2026.60194,iPad1(1000245),245,01.06.26 14:32,Prod,A1000245.6593,Tisch 16,107,S1000245.60194,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000245.60195,SP1000245.31.60195,SY1000245.2026.60195,iPad1(1000245),245,01.06.26 11:43,Prod,A1000245.6594,Tisch 21,104,S1000245.60195,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000245.60196,SP1000245.31.60196,SY1000245.2026.60196,iPad1(1000245),245,01.06.26 11:43,Prod,A1000245.6594,Tisch 21,104,S1000245.60196,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000245.60197,SP1000245.31.60197,SY1000245.2026.60197,iPad1(1000245),245,01.06.26 11:43,Prod,A1000245.6594,Tisch 21,104,S1000245.60197,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000245.60198,SP1000245.31.60198,SY1000245.2026.60198,iPad1(1000245),245,01.06.26 17:10,Prod,A1000245.6595,Tisch 10,108,S1000245.60198,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000245.60199,SP1000245.31.60199,SY1000245.2026.60199,iPad1(1000245),245,01.06.26 17:10,Prod,A1000245.6595,Tisch 10,108,S1000245.60199,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000245.60200,SP1000245.31.60200,SY1000245.2026.60200,iPad1(1000245),245,01.06.26 17:10,Prod,A1000245.6595,Tisch 10,108,S1000245.60200,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000245.60201,SP1000245.31.60201,SY1000245.2026.60201,iPad1(1000245),245,01.06.26 15:47,Prod,A1000245.6596,Tisch 19,110,S1000245.60201,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000245.60202,SP1000245.31.60202,SY1000245.2026.60202,iPad1(1000245),245,01.06.26 11:16,Prod,A1000245.6597,Tisch 8,107,S1000245.60202,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000245.60203,SP1000245.31.60203,SY1000245.2026.60203,iPad1(1000245),245,01.06.26 10:28,Prod,A1000245.6598,Tisch 8,107,S1000245.60203,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000245.60204,SP1000245.31.60204,SY1000245.2026.60204,iPad1(1000245),245,01.06.26 17:38,Prod,A1000245.6599,Tisch 15,108,S1000245.60204,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000245.60205,SP1000245.31.60205,SY1000245.2026.60205,iPad1(1000245),245,01.06.26 17:38,Prod,A1000245.6599,Tisch 15,108,S1000245.60205,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
