Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000120.43627,SP1000120.45.43627,SY1000120.2026.43627,iPad1(1000120),120,01.06.26 20:53,Prod,A1000120.6720,Tisch 22,109,S1000120.43627,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000120.43628,SP1000120.45.43628,SY1000120.2026.43628,iPad1(1000120),120,01.06.26 20:47,Prod,A1000120.6721,Tisch 16,119,S1000120.43628,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000120.43629,SP1000120.45.43629,SY1000120.2026.43629,iPad1(1000120),120,01.06.26 12:10,Prod,A1000120.6722,Tisch 5,117,S1000120.43629,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000120.43630,SP1000120.45.43630,SY1000120.2026.43630,iPad1(1000120),120,01.06.26 16:45,Prod,A1000120.6723,Tisch 18,109,S1000120.43630,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000120.43631,SP1000120.45.43631,SY1000120.2026.43631,iPad1(1000120),120,01.06.26 16:45,Prod,A1000120.6723,Tisch 18,109,S1000120.43631,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000120.43632,SP1000120.45.43632,SY1000120.2026.43632,iPad1(1000120),120,01.06.26 16:45,Prod,A1000120.6723,Tisch 18,109,S1000120.43632,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000120.43633,SP1000120.45.43633,SY1000120.2026.43633,iPad1(1000120),120,01.06.26 19:30,Prod,A1000120.6724,Tisch 19,119,S1000120.43633,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000120.43634,SP1000120.45.43634,SY1000120.2026.43634,iPad1(1000120),120,01.06.26 12:56,Prod,A1000120.6725,Tisch 3,108,S1000120.43634,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000120.43635,SP1000120.45.43635,SY1000120.2026.43635,iPad1(1000120),120,01.06.26 12:56,Prod,A1000120.6725,Tisch 3,108,S1000120.43635,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000120.43636,SP1000120.45.43636,SY1000120.2026.43636,iPad1(1000120),120,01.06.26 12:56,Prod,A1000120.6725,Tisch 3,108,S1000120.43636,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
