Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000383.76409,SP1000383.20.76409,SY1000383.2026.76409,iPad1(1000383),383,01.06.26 11:10,Prod,A1000383.6972,Tisch 1,110,S1000383.76409,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000383.76410,SP1000383.20.76410,SY1000383.2026.76410,iPad1(1000383),383,01.06.26 11:10,Prod,A1000383.6972,Tisch 1,110,S1000383.76410,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000383.76411,SP1000383.20.76411,SY1000383.2026.76411,iPad1(1000383),383,01.06.26 11:10,Prod,A1000383.6972,Tisch 1,110,S1000383.76411,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000383.76412,SP1000383.20.76412,SY1000383.2026.76412,iPad1(1000383),383,01.06.26 16:12,Prod,A1000383.6973,Tisch 15,118,S1000383.76412,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000383.76413,SP1000383.20.76413,SY1000383.2026.76413,iPad1(1000383),383,01.06.26 16:12,Prod,A1000383.6973,Tisch 15,118,S1000383.76413,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000383.76414,SP1000383.20.76414,SY1000383.2026.76414,iPad1(1000383),383,01.06.26 12:05,Prod,A1000383.6974,,116,S1000383.76414,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000383.76415,SP1000383.20.76415,SY1000383.2026.76415,iPad1(1000383),383,01.06.26 20:26,Prod,A1000383.6975,Tisch 13,116,S1000383.76415,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000383.76416,SP1000383.20.76416,SY1000383.2026.76416,iPad1(1000383),383,01.06.26 20:26,Prod,A1000383.6975,Tisch 13,116,S1000383.76416,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000383.76417,SP1000383.20.76417,SY1000383.2026.76417,iPad1(1000383),383,01.06.26 11:39,Prod,A1000383.6976,Tisch 17,103,S1000383.76417,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000383.76418,SP1000383.20.76418,SY1000383.2026.76418,iPad1(1000383),383,01.06.26 11:39,Prod,A1000383.6976,Tisch 17,103,S1000383.76418,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
