Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000155.15038,SP1000155.29.15038,SY1000155.2026.15038,iPad1(1000155),155,01.06.26 11:16,Prod,A1000155.6166,Tisch 12,112,S1000155.15038,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000155.15039,SP1000155.29.15039,SY1000155.2026.15039,iPad1(1000155),155,01.06.26 18:24,Prod,A1000155.6167,Tisch 13,101,S1000155.15039,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000155.15040,SP1000155.29.15040,SY1000155.2026.15040,iPad1(1000155),155,01.06.26 16:41,Prod,A1000155.6168,Tisch 4,108,S1000155.15040,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000155.15041,SP1000155.29.15041,SY1000155.2026.15041,iPad1(1000155),155,01.06.26 16:41,Prod,A1000155.6168,Tisch 4,108,S1000155.15041,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000155.15042,SP1000155.29.15042,SY1000155.2026.15042,iPad1(1000155),155,01.06.26 16:57,Prod,A1000155.6169,Tisch 12,105,S1000155.15042,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000155.15043,SP1000155.29.15043,SY1000155.2026.15043,iPad1(1000155),155,01.06.26 16:57,Prod,A1000155.6169,Tisch 12,105,S1000155.15043,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000155.15044,SP1000155.29.15044,SY1000155.2026.15044,iPad1(1000155),155,01.06.26 18:54,Prod,A1000155.6170,Tisch 16,116,S1000155.15044,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000155.15045,SP1000155.29.15045,SY1000155.2026.15045,iPad1(1000155),155,01.06.26 17:37,Prod,A1000155.6171,Tisch 22,112,S1000155.15045,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000155.15046,SP1000155.29.15046,SY1000155.2026.15046,iPad1(1000155),155,01.06.26 17:37,Prod,A1000155.6171,Tisch 22,112,S1000155.15046,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000155.15047,SP1000155.29.15047,SY1000155.2026.15047,iPad1(1000155),155,01.06.26 10:16,Prod,A1000155.6172,Tisch 9,101,S1000155.15047,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000155.15048,SP1000155.29.15048,SY1000155.2026.15048,iPad1(1000155),155,01.06.26 10:16,Prod,A1000155.6172,Tisch 9,101,S1000155.15048,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000155.15049,SP1000155.29.15049,SY1000155.2026.15049,iPad1(1000155),155,01.06.26 10:08,Prod,A1000155.6173,Tisch 8,108,S1000155.15049,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000155.15050,SP1000155.29.15050,SY1000155.2026.15050,iPad1(1000155),155,01.06.26 11:19,Prod,A1000155.6174,Tisch 17,111,S1000155.15050,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000155.15051,SP1000155.29.15051,SY1000155.2026.15051,iPad1(1000155),155,01.06.26 11:19,Prod,A1000155.6174,Tisch 17,111,S1000155.15051,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000155.15052,SP1000155.29.15052,SY1000155.2026.15052,iPad1(1000155),155,01.06.26 17:57,Prod,A1000155.6175,,108,S1000155.15052,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000155.15053,SP1000155.29.15053,SY1000155.2026.15053,iPad1(1000155),155,01.06.26 17:24,Prod,A1000155.6176,Tisch 3,113,S1000155.15053,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000155.15054,SP1000155.29.15054,SY1000155.2026.15054,iPad1(1000155),155,01.06.26 17:24,Prod,A1000155.6176,Tisch 3,113,S1000155.15054,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000155.15055,SP1000155.29.15055,SY1000155.2026.15055,iPad1(1000155),155,01.06.26 17:24,Prod,A1000155.6176,Tisch 3,113,S1000155.15055,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000155.15056,SP1000155.29.15056,SY1000155.2026.15056,iPad1(1000155),155,01.06.26 20:10,Prod,A1000155.6177,Tisch 7,101,S1000155.15056,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000155.15057,SP1000155.29.15057,SY1000155.2026.15057,iPad1(1000155),155,01.06.26 20:10,Prod,A1000155.6177,Tisch 7,101,S1000155.15057,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000155.15058,SP1000155.29.15058,SY1000155.2026.15058,iPad1(1000155),155,01.06.26 20:10,Prod,A1000155.6177,Tisch 7,101,S1000155.15058,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000155.15059,SP1000155.29.15059,SY1000155.2026.15059,iPad1(1000155),155,01.06.26 12:42,Prod,A1000155.6178,Tisch 12,113,S1000155.15059,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
