Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000072.85041,SP1000072.12.85041,SY1000072.2026.85041,iPad1(1000072),72,01.06.26 10:20,Prod,A1000072.6787,,114,S1000072.85041,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000072.85042,SP1000072.12.85042,SY1000072.2026.85042,iPad1(1000072),72,01.06.26 10:20,Prod,A1000072.6787,,114,S1000072.85042,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000072.85043,SP1000072.12.85043,SY1000072.2026.85043,iPad1(1000072),72,01.06.26 18:51,Prod,A1000072.6788,Tisch 4,101,S1000072.85043,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000072.85044,SP1000072.12.85044,SY1000072.2026.85044,iPad1(1000072),72,01.06.26 12:26,Prod,A1000072.6789,Tisch 24,101,S1000072.85044,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000072.85045,SP1000072.12.85045,SY1000072.2026.85045,iPad1(1000072),72,01.06.26 12:26,Prod,A1000072.6789,Tisch 24,101,S1000072.85045,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000072.85046,SP1000072.12.85046,SY1000072.2026.85046,iPad1(1000072),72,01.06.26 12:26,Prod,A1000072.6789,Tisch 24,101,S1000072.85046,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000072.85047,SP1000072.12.85047,SY1000072.2026.85047,iPad1(1000072),72,01.06.26 19:15,Prod,A1000072.6790,Tisch 5,104,S1000072.85047,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000072.85048,SP1000072.12.85048,SY1000072.2026.85048,iPad1(1000072),72,01.06.26 17:25,Prod,A1000072.6791,Tisch 13,113,S1000072.85048,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000072.85049,SP1000072.12.85049,SY1000072.2026.85049,iPad1(1000072),72,01.06.26 13:32,Prod,A1000072.6792,Tisch 16,120,S1000072.85049,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000072.85050,SP1000072.12.85050,SY1000072.2026.85050,iPad1(1000072),72,01.06.26 15:36,Prod,A1000072.6793,Tisch 20,101,S1000072.85050,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000072.85051,SP1000072.12.85051,SY1000072.2026.85051,iPad1(1000072),72,01.06.26 08:55,Prod,A1000072.6794,Tisch 12,101,S1000072.85051,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
