Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000185.50298,SP1000185.34.50298,SY1000185.2026.50298,iPad1(1000185),185,01.06.26 18:31,Prod,A1000185.6021,Tisch 20,113,S1000185.50298,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000185.50299,SP1000185.34.50299,SY1000185.2026.50299,iPad1(1000185),185,01.06.26 18:31,Prod,A1000185.6021,Tisch 20,113,S1000185.50299,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000185.50300,SP1000185.34.50300,SY1000185.2026.50300,iPad1(1000185),185,01.06.26 18:31,Prod,A1000185.6021,Tisch 20,113,S1000185.50300,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000185.50301,SP1000185.34.50301,SY1000185.2026.50301,iPad1(1000185),185,01.06.26 10:43,Prod,A1000185.6022,Tisch 3,113,S1000185.50301,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000185.50302,SP1000185.34.50302,SY1000185.2026.50302,iPad1(1000185),185,01.06.26 10:43,Prod,A1000185.6022,Tisch 3,113,S1000185.50302,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000185.50303,SP1000185.34.50303,SY1000185.2026.50303,iPad1(1000185),185,01.06.26 10:43,Prod,A1000185.6022,Tisch 3,113,S1000185.50303,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000185.50304,SP1000185.34.50304,SY1000185.2026.50304,iPad1(1000185),185,01.06.26 18:19,Prod,A1000185.6023,,111,S1000185.50304,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000185.50305,SP1000185.34.50305,SY1000185.2026.50305,iPad1(1000185),185,01.06.26 18:19,Prod,A1000185.6023,,111,S1000185.50305,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000185.50306,SP1000185.34.50306,SY1000185.2026.50306,iPad1(1000185),185,01.06.26 12:23,Prod,A1000185.6024,Tisch 10,107,S1000185.50306,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000185.50307,SP1000185.34.50307,SY1000185.2026.50307,iPad1(1000185),185,01.06.26 12:23,Prod,A1000185.6024,Tisch 10,107,S1000185.50307,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
