Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000353.25471,SP1000353.38.25471,SY1000353.2026.25471,iPad1(1000353),353,01.06.26 15:49,Prod,A1000353.6571,Tisch 20,109,S1000353.25471,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000353.25472,SP1000353.38.25472,SY1000353.2026.25472,iPad1(1000353),353,01.06.26 15:49,Prod,A1000353.6571,Tisch 20,109,S1000353.25472,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000353.25473,SP1000353.38.25473,SY1000353.2026.25473,iPad1(1000353),353,01.06.26 12:33,Prod,A1000353.6572,Tisch 17,109,S1000353.25473,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000353.25474,SP1000353.38.25474,SY1000353.2026.25474,iPad1(1000353),353,01.06.26 12:33,Prod,A1000353.6572,Tisch 17,109,S1000353.25474,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000353.25475,SP1000353.38.25475,SY1000353.2026.25475,iPad1(1000353),353,01.06.26 17:15,Prod,A1000353.6573,Tisch 4,109,S1000353.25475,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000353.25476,SP1000353.38.25476,SY1000353.2026.25476,iPad1(1000353),353,01.06.26 18:01,Prod,A1000353.6574,,116,S1000353.25476,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000353.25477,SP1000353.38.25477,SY1000353.2026.25477,iPad1(1000353),353,01.06.26 18:01,Prod,A1000353.6574,,116,S1000353.25477,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000353.25478,SP1000353.38.25478,SY1000353.2026.25478,iPad1(1000353),353,01.06.26 20:54,Prod,A1000353.6575,Tisch 12,102,S1000353.25478,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000353.25479,SP1000353.38.25479,SY1000353.2026.25479,iPad1(1000353),353,01.06.26 16:44,Prod,A1000353.6576,Tisch 9,102,S1000353.25479,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000353.25480,SP1000353.38.25480,SY1000353.2026.25480,iPad1(1000353),353,01.06.26 16:44,Prod,A1000353.6576,Tisch 9,102,S1000353.25480,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
