Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000268.60518,SP1000268.40.60518,SY1000268.2026.60518,iPad1(1000268),268,01.06.26 11:37,Prod,A1000268.6141,,111,S1000268.60518,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000268.60519,SP1000268.40.60519,SY1000268.2026.60519,iPad1(1000268),268,01.06.26 12:07,Prod,A1000268.6142,,111,S1000268.60519,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000268.60520,SP1000268.40.60520,SY1000268.2026.60520,iPad1(1000268),268,01.06.26 12:07,Prod,A1000268.6142,,111,S1000268.60520,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000268.60521,SP1000268.40.60521,SY1000268.2026.60521,iPad1(1000268),268,01.06.26 19:42,Prod,A1000268.6143,Tisch 21,107,S1000268.60521,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000268.60522,SP1000268.40.60522,SY1000268.2026.60522,iPad1(1000268),268,01.06.26 19:42,Prod,A1000268.6143,Tisch 21,107,S1000268.60522,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000268.60523,SP1000268.40.60523,SY1000268.2026.60523,iPad1(1000268),268,01.06.26 19:42,Prod,A1000268.6143,Tisch 21,107,S1000268.60523,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000268.60524,SP1000268.40.60524,SY1000268.2026.60524,iPad1(1000268),268,01.06.26 11:45,Prod,A1000268.6144,Tisch 12,105,S1000268.60524,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000268.60525,SP1000268.40.60525,SY1000268.2026.60525,iPad1(1000268),268,01.06.26 12:44,Prod,A1000268.6145,Tisch 6,113,S1000268.60525,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000268.60526,SP1000268.40.60526,SY1000268.2026.60526,iPad1(1000268),268,01.06.26 12:23,Prod,A1000268.6146,Tisch 1,105,S1000268.60526,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000268.60527,SP1000268.40.60527,SY1000268.2026.60527,iPad1(1000268),268,01.06.26 12:23,Prod,A1000268.6146,Tisch 1,105,S1000268.60527,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000268.60528,SP1000268.40.60528,SY1000268.2026.60528,iPad1(1000268),268,01.06.26 18:18,Prod,A1000268.6147,,112,S1000268.60528,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000268.60529,SP1000268.40.60529,SY1000268.2026.60529,iPad1(1000268),268,01.06.26 19:54,Prod,A1000268.6148,Tisch 1,116,S1000268.60529,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000268.60530,SP1000268.40.60530,SY1000268.2026.60530,iPad1(1000268),268,01.06.26 17:19,Prod,A1000268.6149,Tisch 7,101,S1000268.60530,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000268.60531,SP1000268.40.60531,SY1000268.2026.60531,iPad1(1000268),268,01.06.26 17:19,Prod,A1000268.6149,Tisch 7,101,S1000268.60531,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000268.60532,SP1000268.40.60532,SY1000268.2026.60532,iPad1(1000268),268,01.06.26 17:19,Prod,A1000268.6149,Tisch 7,101,S1000268.60532,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
