Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000127.26935,SP1000127.29.26935,SY1000127.2026.26935,iPad1(1000127),127,01.06.26 13:41,Prod,A1000127.6786,Tisch 7,112,S1000127.26935,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000127.26936,SP1000127.29.26936,SY1000127.2026.26936,iPad1(1000127),127,01.06.26 13:41,Prod,A1000127.6786,Tisch 7,112,S1000127.26936,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000127.26937,SP1000127.29.26937,SY1000127.2026.26937,iPad1(1000127),127,01.06.26 13:41,Prod,A1000127.6786,Tisch 7,112,S1000127.26937,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000127.26938,SP1000127.29.26938,SY1000127.2026.26938,iPad1(1000127),127,01.06.26 12:16,Prod,A1000127.6787,Tisch 23,114,S1000127.26938,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000127.26939,SP1000127.29.26939,SY1000127.2026.26939,iPad1(1000127),127,01.06.26 12:16,Prod,A1000127.6787,Tisch 23,114,S1000127.26939,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000127.26940,SP1000127.29.26940,SY1000127.2026.26940,iPad1(1000127),127,01.06.26 12:16,Prod,A1000127.6787,Tisch 23,114,S1000127.26940,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000127.26941,SP1000127.29.26941,SY1000127.2026.26941,iPad1(1000127),127,01.06.26 10:05,Prod,A1000127.6788,,115,S1000127.26941,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000127.26942,SP1000127.29.26942,SY1000127.2026.26942,iPad1(1000127),127,01.06.26 10:05,Prod,A1000127.6788,,115,S1000127.26942,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000127.26943,SP1000127.29.26943,SY1000127.2026.26943,iPad1(1000127),127,01.06.26 19:29,Prod,A1000127.6789,Tisch 16,114,S1000127.26943,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000127.26944,SP1000127.29.26944,SY1000127.2026.26944,iPad1(1000127),127,01.06.26 19:29,Prod,A1000127.6789,Tisch 16,114,S1000127.26944,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000127.26945,SP1000127.29.26945,SY1000127.2026.26945,iPad1(1000127),127,01.06.26 19:29,Prod,A1000127.6789,Tisch 16,114,S1000127.26945,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000127.26946,SP1000127.29.26946,SY1000127.2026.26946,iPad1(1000127),127,01.06.26 20:33,Prod,A1000127.6790,Tisch 10,103,S1000127.26946,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000127.26947,SP1000127.29.26947,SY1000127.2026.26947,iPad1(1000127),127,01.06.26 20:33,Prod,A1000127.6790,Tisch 10,103,S1000127.26947,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000127.26948,SP1000127.29.26948,SY1000127.2026.26948,iPad1(1000127),127,01.06.26 13:53,Prod,A1000127.6791,Tisch 4,115,S1000127.26948,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000127.26949,SP1000127.29.26949,SY1000127.2026.26949,iPad1(1000127),127,01.06.26 20:41,Prod,A1000127.6792,Tisch 24,114,S1000127.26949,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000127.26950,SP1000127.29.26950,SY1000127.2026.26950,iPad1(1000127),127,01.06.26 20:41,Prod,A1000127.6792,Tisch 24,114,S1000127.26950,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000127.26951,SP1000127.29.26951,SY1000127.2026.26951,iPad1(1000127),127,01.06.26 20:41,Prod,A1000127.6792,Tisch 24,114,S1000127.26951,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000127.26952,SP1000127.29.26952,SY1000127.2026.26952,iPad1(1000127),127,01.06.26 11:58,Prod,A1000127.6793,Tisch 17,111,S1000127.26952,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000127.26953,SP1000127.29.26953,SY1000127.2026.26953,iPad1(1000127),127,01.06.26 11:58,Prod,A1000127.6793,Tisch 17,111,S1000127.26953,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
