Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000299.32639,SP1000299.17.32639,SY1000299.2026.32639,iPad1(1000299),299,01.06.26 17:19,Prod,A1000299.6682,Tisch 12,107,S1000299.32639,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000299.32640,SP1000299.17.32640,SY1000299.2026.32640,iPad1(1000299),299,01.06.26 19:40,Prod,A1000299.6683,Tisch 24,114,S1000299.32640,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000299.32641,SP1000299.17.32641,SY1000299.2026.32641,iPad1(1000299),299,01.06.26 18:55,Prod,A1000299.6684,Tisch 22,108,S1000299.32641,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000299.32642,SP1000299.17.32642,SY1000299.2026.32642,iPad1(1000299),299,01.06.26 19:57,Prod,A1000299.6685,Tisch 6,112,S1000299.32642,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000299.32643,SP1000299.17.32643,SY1000299.2026.32643,iPad1(1000299),299,01.06.26 19:57,Prod,A1000299.6685,Tisch 6,112,S1000299.32643,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000299.32644,SP1000299.17.32644,SY1000299.2026.32644,iPad1(1000299),299,01.06.26 08:04,Prod,A1000299.6686,Tisch 20,108,S1000299.32644,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000299.32645,SP1000299.17.32645,SY1000299.2026.32645,iPad1(1000299),299,01.06.26 08:04,Prod,A1000299.6686,Tisch 20,108,S1000299.32645,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000299.32646,SP1000299.17.32646,SY1000299.2026.32646,iPad1(1000299),299,01.06.26 08:04,Prod,A1000299.6686,Tisch 20,108,S1000299.32646,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000299.32647,SP1000299.17.32647,SY1000299.2026.32647,iPad1(1000299),299,01.06.26 17:12,Prod,A1000299.6687,Tisch 24,118,S1000299.32647,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000299.32648,SP1000299.17.32648,SY1000299.2026.32648,iPad1(1000299),299,01.06.26 17:12,Prod,A1000299.6687,Tisch 24,118,S1000299.32648,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000299.32649,SP1000299.17.32649,SY1000299.2026.32649,iPad1(1000299),299,01.06.26 17:12,Prod,A1000299.6687,Tisch 24,118,S1000299.32649,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000299.32650,SP1000299.17.32650,SY1000299.2026.32650,iPad1(1000299),299,01.06.26 12:39,Prod,A1000299.6688,Tisch 14,112,S1000299.32650,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000299.32651,SP1000299.17.32651,SY1000299.2026.32651,iPad1(1000299),299,01.06.26 12:39,Prod,A1000299.6688,Tisch 14,112,S1000299.32651,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000299.32652,SP1000299.17.32652,SY1000299.2026.32652,iPad1(1000299),299,01.06.26 12:39,Prod,A1000299.6688,Tisch 14,112,S1000299.32652,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
