Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000033.85797,SP1000033.35.85797,SY1000033.2026.85797,iPad1(1000033),33,01.06.26 19:32,Prod,A1000033.6039,Tisch 13,112,S1000033.85797,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000033.85798,SP1000033.35.85798,SY1000033.2026.85798,iPad1(1000033),33,01.06.26 19:32,Prod,A1000033.6039,Tisch 13,112,S1000033.85798,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000033.85799,SP1000033.35.85799,SY1000033.2026.85799,iPad1(1000033),33,01.06.26 19:29,Prod,A1000033.6040,Tisch 9,109,S1000033.85799,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000033.85800,SP1000033.35.85800,SY1000033.2026.85800,iPad1(1000033),33,01.06.26 20:29,Prod,A1000033.6041,Tisch 1,103,S1000033.85800,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000033.85801,SP1000033.35.85801,SY1000033.2026.85801,iPad1(1000033),33,01.06.26 19:36,Prod,A1000033.6042,Tisch 2,112,S1000033.85801,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000033.85802,SP1000033.35.85802,SY1000033.2026.85802,iPad1(1000033),33,01.06.26 19:36,Prod,A1000033.6042,Tisch 2,112,S1000033.85802,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000033.85803,SP1000033.35.85803,SY1000033.2026.85803,iPad1(1000033),33,01.06.26 19:36,Prod,A1000033.6042,Tisch 2,112,S1000033.85803,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000033.85804,SP1000033.35.85804,SY1000033.2026.85804,iPad1(1000033),33,01.06.26 16:11,Prod,A1000033.6043,Tisch 17,105,S1000033.85804,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000033.85805,SP1000033.35.85805,SY1000033.2026.85805,iPad1(1000033),33,01.06.26 13:30,Prod,A1000033.6044,Tisch 12,103,S1000033.85805,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000033.85806,SP1000033.35.85806,SY1000033.2026.85806,iPad1(1000033),33,01.06.26 13:30,Prod,A1000033.6044,Tisch 12,103,S1000033.85806,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000033.85807,SP1000033.35.85807,SY1000033.2026.85807,iPad1(1000033),33,01.06.26 09:10,Prod,A1000033.6045,Tisch 1,103,S1000033.85807,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
