Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000061.61815,SP1000061.45.61815,SY1000061.2026.61815,iPad1(1000061),61,01.06.26 14:25,Prod,A1000061.6079,Tisch 23,115,S1000061.61815,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000061.61816,SP1000061.45.61816,SY1000061.2026.61816,iPad1(1000061),61,01.06.26 14:25,Prod,A1000061.6079,Tisch 23,115,S1000061.61816,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000061.61817,SP1000061.45.61817,SY1000061.2026.61817,iPad1(1000061),61,01.06.26 14:25,Prod,A1000061.6079,Tisch 23,115,S1000061.61817,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000061.61818,SP1000061.45.61818,SY1000061.2026.61818,iPad1(1000061),61,01.06.26 16:53,Prod,A1000061.6080,Tisch 22,115,S1000061.61818,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000061.61819,SP1000061.45.61819,SY1000061.2026.61819,iPad1(1000061),61,01.06.26 17:48,Prod,A1000061.6081,Tisch 19,115,S1000061.61819,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000061.61820,SP1000061.45.61820,SY1000061.2026.61820,iPad1(1000061),61,01.06.26 17:48,Prod,A1000061.6081,Tisch 19,115,S1000061.61820,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000061.61821,SP1000061.45.61821,SY1000061.2026.61821,iPad1(1000061),61,01.06.26 18:45,Prod,A1000061.6082,Tisch 15,120,S1000061.61821,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000061.61822,SP1000061.45.61822,SY1000061.2026.61822,iPad1(1000061),61,01.06.26 18:45,Prod,A1000061.6082,Tisch 15,120,S1000061.61822,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000061.61823,SP1000061.45.61823,SY1000061.2026.61823,iPad1(1000061),61,01.06.26 17:18,Prod,A1000061.6083,Tisch 6,120,S1000061.61823,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000061.61824,SP1000061.45.61824,SY1000061.2026.61824,iPad1(1000061),61,01.06.26 17:18,Prod,A1000061.6083,Tisch 6,120,S1000061.61824,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
