Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000231.21917,SP1000231.2.21917,SY1000231.2026.21917,iPad1(1000231),231,01.06.26 09:55,Prod,A1000231.6284,Tisch 11,116,S1000231.21917,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000231.21918,SP1000231.2.21918,SY1000231.2026.21918,iPad1(1000231),231,01.06.26 09:55,Prod,A1000231.6284,Tisch 11,116,S1000231.21918,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000231.21919,SP1000231.2.21919,SY1000231.2026.21919,iPad1(1000231),231,01.06.26 09:55,Prod,A1000231.6284,Tisch 11,116,S1000231.21919,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000231.21920,SP1000231.2.21920,SY1000231.2026.21920,iPad1(1000231),231,01.06.26 19:52,Prod,A1000231.6285,Tisch 23,101,S1000231.21920,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000231.21921,SP1000231.2.21921,SY1000231.2026.21921,iPad1(1000231),231,01.06.26 19:52,Prod,A1000231.6285,Tisch 23,101,S1000231.21921,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000231.21922,SP1000231.2.21922,SY1000231.2026.21922,iPad1(1000231),231,01.06.26 19:50,Prod,A1000231.6286,Tisch 10,113,S1000231.21922,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000231.21923,SP1000231.2.21923,SY1000231.2026.21923,iPad1(1000231),231,01.06.26 11:01,Prod,A1000231.6287,Tisch 14,103,S1000231.21923,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000231.21924,SP1000231.2.21924,SY1000231.2026.21924,iPad1(1000231),231,01.06.26 11:01,Prod,A1000231.6287,Tisch 14,103,S1000231.21924,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000231.21925,SP1000231.2.21925,SY1000231.2026.21925,iPad1(1000231),231,01.06.26 12:57,Prod,A1000231.6288,Tisch 21,106,S1000231.21925,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000231.21926,SP1000231.2.21926,SY1000231.2026.21926,iPad1(1000231),231,01.06.26 12:57,Prod,A1000231.6288,Tisch 21,106,S1000231.21926,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000231.21927,SP1000231.2.21927,SY1000231.2026.21927,iPad1(1000231),231,01.06.26 12:57,Prod,A1000231.6288,Tisch 21,106,S1000231.21927,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000231.21928,SP1000231.2.21928,SY1000231.2026.21928,iPad1(1000231),231,01.06.26 18:15,Prod,A1000231.6289,Tisch 11,110,S1000231.21928,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000231.21929,SP1000231.2.21929,SY1000231.2026.21929,iPad1(1000231),231,01.06.26 12:22,Prod,A1000231.6290,Tisch 18,110,S1000231.21929,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000231.21930,SP1000231.2.21930,SY1000231.2026.21930,iPad1(1000231),231,01.06.26 13:05,Prod,A1000231.6291,Tisch 11,110,S1000231.21930,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000231.21931,SP1000231.2.21931,SY1000231.2026.21931,iPad1(1000231),231,01.06.26 13:05,Prod,A1000231.6291,Tisch 11,110,S1000231.21931,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000231.21932,SP1000231.2.21932,SY1000231.2026.21932,iPad1(1000231),231,01.06.26 13:05,Prod,A1000231.6291,Tisch 11,110,S1000231.21932,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000231.21933,SP1000231.2.21933,SY1000231.2026.21933,iPad1(1000231),231,01.06.26 17:37,Prod,A1000231.6292,,113,S1000231.21933,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000231.21934,SP1000231.2.21934,SY1000231.2026.21934,iPad1(1000231),231,01.06.26 13:04,Prod,A1000231.6293,Tisch 20,116,S1000231.21934,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000231.21935,SP1000231.2.21935,SY1000231.2026.21935,iPad1(1000231),231,01.06.26 12:35,Prod,A1000231.6294,Tisch 17,116,S1000231.21935,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000231.21936,SP1000231.2.21936,SY1000231.2026.21936,iPad1(1000231),231,01.06.26 17:46,Prod,A1000231.6295,Tisch 9,116,S1000231.21936,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000231.21937,SP1000231.2.21937,SY1000231.2026.21937,iPad1(1000231),231,01.06.26 17:46,Prod,A1000231.6295,Tisch 9,116,S1000231.21937,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
