Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000399.18734,SP1000399.35.18734,SY1000399.2026.18734,iPad1(1000399),399,01.06.26 12:39,Prod,A1000399.6398,Tisch 17,114,S1000399.18734,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000399.18735,SP1000399.35.18735,SY1000399.2026.18735,iPad1(1000399),399,01.06.26 12:39,Prod,A1000399.6398,Tisch 17,114,S1000399.18735,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000399.18736,SP1000399.35.18736,SY1000399.2026.18736,iPad1(1000399),399,01.06.26 11:23,Prod,A1000399.6399,Tisch 16,104,S1000399.18736,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000399.18737,SP1000399.35.18737,SY1000399.2026.18737,iPad1(1000399),399,01.06.26 10:47,Prod,A1000399.6400,Tisch 16,110,S1000399.18737,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000399.18738,SP1000399.35.18738,SY1000399.2026.18738,iPad1(1000399),399,01.06.26 14:58,Prod,A1000399.6401,Tisch 4,110,S1000399.18738,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000399.18739,SP1000399.35.18739,SY1000399.2026.18739,iPad1(1000399),399,01.06.26 12:07,Prod,A1000399.6402,Tisch 20,104,S1000399.18739,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000399.18740,SP1000399.35.18740,SY1000399.2026.18740,iPad1(1000399),399,01.06.26 12:07,Prod,A1000399.6402,Tisch 20,104,S1000399.18740,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000399.18741,SP1000399.35.18741,SY1000399.2026.18741,iPad1(1000399),399,01.06.26 12:07,Prod,A1000399.6402,Tisch 20,104,S1000399.18741,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000399.18742,SP1000399.35.18742,SY1000399.2026.18742,iPad1(1000399),399,01.06.26 11:31,Prod,A1000399.6403,Tisch 20,106,S1000399.18742,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000399.18743,SP1000399.35.18743,SY1000399.2026.18743,iPad1(1000399),399,01.06.26 11:31,Prod,A1000399.6403,Tisch 20,106,S1000399.18743,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
