Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000244.17638,SP1000244.41.17638,SY1000244.2026.17638,iPad1(1000244),244,01.06.26 18:26,Prod,A1000244.6881,Tisch 2,101,S1000244.17638,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000244.17639,SP1000244.41.17639,SY1000244.2026.17639,iPad1(1000244),244,01.06.26 18:26,Prod,A1000244.6881,Tisch 2,101,S1000244.17639,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000244.17640,SP1000244.41.17640,SY1000244.2026.17640,iPad1(1000244),244,01.06.26 18:26,Prod,A1000244.6881,Tisch 2,101,S1000244.17640,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000244.17641,SP1000244.41.17641,SY1000244.2026.17641,iPad1(1000244),244,01.06.26 08:10,Prod,A1000244.6882,Tisch 11,108,S1000244.17641,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000244.17642,SP1000244.41.17642,SY1000244.2026.17642,iPad1(1000244),244,01.06.26 08:10,Prod,A1000244.6882,Tisch 11,108,S1000244.17642,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000244.17643,SP1000244.41.17643,SY1000244.2026.17643,iPad1(1000244),244,01.06.26 08:10,Prod,A1000244.6882,Tisch 11,108,S1000244.17643,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000244.17644,SP1000244.41.17644,SY1000244.2026.17644,iPad1(1000244),244,01.06.26 20:16,Prod,A1000244.6883,Tisch 15,101,S1000244.17644,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000244.17645,SP1000244.41.17645,SY1000244.2026.17645,iPad1(1000244),244,01.06.26 20:16,Prod,A1000244.6883,Tisch 15,101,S1000244.17645,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000244.17646,SP1000244.41.17646,SY1000244.2026.17646,iPad1(1000244),244,01.06.26 18:12,Prod,A1000244.6884,Tisch 17,115,S1000244.17646,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000244.17647,SP1000244.41.17647,SY1000244.2026.17647,iPad1(1000244),244,01.06.26 18:12,Prod,A1000244.6884,Tisch 17,115,S1000244.17647,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
