Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000306.82478,SP1000306.46.82478,SY1000306.2026.82478,iPad1(1000306),306,01.06.26 20:36,Prod,A1000306.6916,Tisch 10,103,S1000306.82478,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000306.82479,SP1000306.46.82479,SY1000306.2026.82479,iPad1(1000306),306,01.06.26 20:36,Prod,A1000306.6916,Tisch 10,103,S1000306.82479,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000306.82480,SP1000306.46.82480,SY1000306.2026.82480,iPad1(1000306),306,01.06.26 20:36,Prod,A1000306.6916,Tisch 10,103,S1000306.82480,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000306.82481,SP1000306.46.82481,SY1000306.2026.82481,iPad1(1000306),306,01.06.26 18:39,Prod,A1000306.6917,Tisch 16,107,S1000306.82481,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000306.82482,SP1000306.46.82482,SY1000306.2026.82482,iPad1(1000306),306,01.06.26 11:09,Prod,A1000306.6918,,114,S1000306.82482,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000306.82483,SP1000306.46.82483,SY1000306.2026.82483,iPad1(1000306),306,01.06.26 11:16,Prod,A1000306.6919,Tisch 6,107,S1000306.82483,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000306.82484,SP1000306.46.82484,SY1000306.2026.82484,iPad1(1000306),306,01.06.26 11:16,Prod,A1000306.6919,Tisch 6,107,S1000306.82484,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000306.82485,SP1000306.46.82485,SY1000306.2026.82485,iPad1(1000306),306,01.06.26 13:17,Prod,A1000306.6920,Tisch 9,114,S1000306.82485,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000306.82486,SP1000306.46.82486,SY1000306.2026.82486,iPad1(1000306),306,01.06.26 13:17,Prod,A1000306.6920,Tisch 9,114,S1000306.82486,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000306.82487,SP1000306.46.82487,SY1000306.2026.82487,iPad1(1000306),306,01.06.26 13:17,Prod,A1000306.6920,Tisch 9,114,S1000306.82487,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
