Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000183.82545,SP1000183.34.82545,SY1000183.2026.82545,iPad1(1000183),183,01.06.26 17:45,Prod,A1000183.6246,Tisch 12,115,S1000183.82545,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000183.82546,SP1000183.34.82546,SY1000183.2026.82546,iPad1(1000183),183,01.06.26 15:56,Prod,A1000183.6247,Tisch 13,115,S1000183.82546,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000183.82547,SP1000183.34.82547,SY1000183.2026.82547,iPad1(1000183),183,01.06.26 17:50,Prod,A1000183.6248,Tisch 14,115,S1000183.82547,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000183.82548,SP1000183.34.82548,SY1000183.2026.82548,iPad1(1000183),183,01.06.26 17:50,Prod,A1000183.6248,Tisch 14,115,S1000183.82548,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000183.82549,SP1000183.34.82549,SY1000183.2026.82549,iPad1(1000183),183,01.06.26 17:50,Prod,A1000183.6248,Tisch 14,115,S1000183.82549,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000183.82550,SP1000183.34.82550,SY1000183.2026.82550,iPad1(1000183),183,01.06.26 11:58,Prod,A1000183.6249,Tisch 17,120,S1000183.82550,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000183.82551,SP1000183.34.82551,SY1000183.2026.82551,iPad1(1000183),183,01.06.26 18:36,Prod,A1000183.6250,,115,S1000183.82551,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000183.82552,SP1000183.34.82552,SY1000183.2026.82552,iPad1(1000183),183,01.06.26 18:36,Prod,A1000183.6250,,115,S1000183.82552,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000183.82553,SP1000183.34.82553,SY1000183.2026.82553,iPad1(1000183),183,01.06.26 18:36,Prod,A1000183.6250,,115,S1000183.82553,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000183.82554,SP1000183.34.82554,SY1000183.2026.82554,iPad1(1000183),183,01.06.26 13:56,Prod,A1000183.6251,Tisch 5,104,S1000183.82554,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000183.82555,SP1000183.34.82555,SY1000183.2026.82555,iPad1(1000183),183,01.06.26 15:44,Prod,A1000183.6252,Tisch 19,115,S1000183.82555,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000183.82556,SP1000183.34.82556,SY1000183.2026.82556,iPad1(1000183),183,01.06.26 15:44,Prod,A1000183.6252,Tisch 19,115,S1000183.82556,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000183.82557,SP1000183.34.82557,SY1000183.2026.82557,iPad1(1000183),183,01.06.26 13:39,Prod,A1000183.6253,Tisch 8,111,S1000183.82557,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000183.82558,SP1000183.34.82558,SY1000183.2026.82558,iPad1(1000183),183,01.06.26 13:39,Prod,A1000183.6253,Tisch 8,111,S1000183.82558,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000183.82559,SP1000183.34.82559,SY1000183.2026.82559,iPad1(1000183),183,01.06.26 13:39,Prod,A1000183.6253,Tisch 8,111,S1000183.82559,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000183.82560,SP1000183.34.82560,SY1000183.2026.82560,iPad1(1000183),183,01.06.26 15:02,Prod,A1000183.6254,Tisch 24,117,S1000183.82560,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000183.82561,SP1000183.34.82561,SY1000183.2026.82561,iPad1(1000183),183,01.06.26 15:02,Prod,A1000183.6254,Tisch 24,117,S1000183.82561,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000183.82562,SP1000183.34.82562,SY1000183.2026.82562,iPad1(1000183),183,01.06.26 15:02,Prod,A1000183.6254,Tisch 24,117,S1000183.82562,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000183.82563,SP1000183.34.82563,SY1000183.2026.82563,iPad1(1000183),183,01.06.26 10:28,Prod,A1000183.6255,Tisch 21,115,S1000183.82563,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000183.82564,SP1000183.34.82564,SY1000183.2026.82564,iPad1(1000183),183,01.06.26 10:28,Prod,A1000183.6255,Tisch 21,115,S1000183.82564,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000183.82565,SP1000183.34.82565,SY1000183.2026.82565,iPad1(1000183),183,01.06.26 11:43,Prod,A1000183.6256,Tisch 15,104,S1000183.82565,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000183.82566,SP1000183.34.82566,SY1000183.2026.82566,iPad1(1000183),183,01.06.26 11:43,Prod,A1000183.6256,Tisch 15,104,S1000183.82566,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000183.82567,SP1000183.34.82567,SY1000183.2026.82567,iPad1(1000183),183,01.06.26 11:43,Prod,A1000183.6256,Tisch 15,104,S1000183.82567,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000183.82568,SP1000183.34.82568,SY1000183.2026.82568,iPad1(1000183),183,01.06.26 12:31,Prod,A1000183.6257,Tisch 6,115,S1000183.82568,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000183.82569,SP1000183.34.82569,SY1000183.2026.82569,iPad1(1000183),183,01.06.26 12:31,Prod,A1000183.6257,Tisch 6,115,S1000183.82569,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000183.82570,SP1000183.34.82570,SY1000183.2026.82570,iPad1(1000183),183,01.06.26 16:20,Prod,A1000183.6258,Tisch 24,120,S1000183.82570,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000183.82571,SP1000183.34.82571,SY1000183.2026.82571,iPad1(1000183),183,01.06.26 16:20,Prod,A1000183.6258,Tisch 24,120,S1000183.82571,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
