Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000277.74043,SP1000277.34.74043,SY1000277.2026.74043,iPad1(1000277),277,01.06.26 14:46,Prod,A1000277.6240,Tisch 15,113,S1000277.74043,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000277.74044,SP1000277.34.74044,SY1000277.2026.74044,iPad1(1000277),277,01.06.26 14:46,Prod,A1000277.6240,Tisch 15,113,S1000277.74044,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000277.74045,SP1000277.34.74045,SY1000277.2026.74045,iPad1(1000277),277,01.06.26 14:46,Prod,A1000277.6240,Tisch 15,113,S1000277.74045,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000277.74046,SP1000277.34.74046,SY1000277.2026.74046,iPad1(1000277),277,01.06.26 17:02,Prod,A1000277.6241,Tisch 5,111,S1000277.74046,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000277.74047,SP1000277.34.74047,SY1000277.2026.74047,iPad1(1000277),277,01.06.26 17:22,Prod,A1000277.6242,Tisch 22,118,S1000277.74047,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000277.74048,SP1000277.34.74048,SY1000277.2026.74048,iPad1(1000277),277,01.06.26 17:22,Prod,A1000277.6242,Tisch 22,118,S1000277.74048,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000277.74049,SP1000277.34.74049,SY1000277.2026.74049,iPad1(1000277),277,01.06.26 17:22,Prod,A1000277.6242,Tisch 22,118,S1000277.74049,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000277.74050,SP1000277.34.74050,SY1000277.2026.74050,iPad1(1000277),277,01.06.26 11:41,Prod,A1000277.6243,Tisch 22,113,S1000277.74050,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000277.74051,SP1000277.34.74051,SY1000277.2026.74051,iPad1(1000277),277,01.06.26 11:41,Prod,A1000277.6243,Tisch 22,113,S1000277.74051,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000277.74052,SP1000277.34.74052,SY1000277.2026.74052,iPad1(1000277),277,01.06.26 11:41,Prod,A1000277.6243,Tisch 22,113,S1000277.74052,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
