Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000107.37215,SP1000107.3.37215,SY1000107.2026.37215,iPad1(1000107),107,01.06.26 13:36,Prod,A1000107.6433,,111,S1000107.37215,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000107.37216,SP1000107.3.37216,SY1000107.2026.37216,iPad1(1000107),107,01.06.26 13:36,Prod,A1000107.6433,,111,S1000107.37216,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000107.37217,SP1000107.3.37217,SY1000107.2026.37217,iPad1(1000107),107,01.06.26 13:36,Prod,A1000107.6433,,111,S1000107.37217,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000107.37218,SP1000107.3.37218,SY1000107.2026.37218,iPad1(1000107),107,01.06.26 08:44,Prod,A1000107.6434,Tisch 9,102,S1000107.37218,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000107.37219,SP1000107.3.37219,SY1000107.2026.37219,iPad1(1000107),107,01.06.26 13:12,Prod,A1000107.6435,Tisch 16,109,S1000107.37219,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000107.37220,SP1000107.3.37220,SY1000107.2026.37220,iPad1(1000107),107,01.06.26 17:16,Prod,A1000107.6436,Tisch 12,111,S1000107.37220,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000107.37221,SP1000107.3.37221,SY1000107.2026.37221,iPad1(1000107),107,01.06.26 13:33,Prod,A1000107.6437,Tisch 18,109,S1000107.37221,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000107.37222,SP1000107.3.37222,SY1000107.2026.37222,iPad1(1000107),107,01.06.26 13:33,Prod,A1000107.6437,Tisch 18,109,S1000107.37222,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000107.37223,SP1000107.3.37223,SY1000107.2026.37223,iPad1(1000107),107,01.06.26 13:33,Prod,A1000107.6437,Tisch 18,109,S1000107.37223,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000107.37224,SP1000107.3.37224,SY1000107.2026.37224,iPad1(1000107),107,01.06.26 11:26,Prod,A1000107.6438,Tisch 10,103,S1000107.37224,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
