Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000274.27607,SP1000274.41.27607,SY1000274.2026.27607,iPad1(1000274),274,01.06.26 15:56,Prod,A1000274.6632,Tisch 7,113,S1000274.27607,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000274.27608,SP1000274.41.27608,SY1000274.2026.27608,iPad1(1000274),274,01.06.26 17:11,Prod,A1000274.6633,Tisch 20,113,S1000274.27608,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000274.27609,SP1000274.41.27609,SY1000274.2026.27609,iPad1(1000274),274,01.06.26 17:11,Prod,A1000274.6633,Tisch 20,113,S1000274.27609,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000274.27610,SP1000274.41.27610,SY1000274.2026.27610,iPad1(1000274),274,01.06.26 18:27,Prod,A1000274.6634,Tisch 16,117,S1000274.27610,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000274.27611,SP1000274.41.27611,SY1000274.2026.27611,iPad1(1000274),274,01.06.26 19:13,Prod,A1000274.6635,Tisch 14,114,S1000274.27611,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000274.27612,SP1000274.41.27612,SY1000274.2026.27612,iPad1(1000274),274,01.06.26 19:13,Prod,A1000274.6635,Tisch 14,114,S1000274.27612,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000274.27613,SP1000274.41.27613,SY1000274.2026.27613,iPad1(1000274),274,01.06.26 19:13,Prod,A1000274.6635,Tisch 14,114,S1000274.27613,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000274.27614,SP1000274.41.27614,SY1000274.2026.27614,iPad1(1000274),274,01.06.26 08:13,Prod,A1000274.6636,Tisch 12,117,S1000274.27614,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000274.27615,SP1000274.41.27615,SY1000274.2026.27615,iPad1(1000274),274,01.06.26 08:13,Prod,A1000274.6636,Tisch 12,117,S1000274.27615,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000274.27616,SP1000274.41.27616,SY1000274.2026.27616,iPad1(1000274),274,01.06.26 18:37,Prod,A1000274.6637,Tisch 24,120,S1000274.27616,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000274.27617,SP1000274.41.27617,SY1000274.2026.27617,iPad1(1000274),274,01.06.26 17:44,Prod,A1000274.6638,Tisch 20,114,S1000274.27617,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000274.27618,SP1000274.41.27618,SY1000274.2026.27618,iPad1(1000274),274,01.06.26 17:44,Prod,A1000274.6638,Tisch 20,114,S1000274.27618,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000274.27619,SP1000274.41.27619,SY1000274.2026.27619,iPad1(1000274),274,01.06.26 17:30,Prod,A1000274.6639,,117,S1000274.27619,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000274.27620,SP1000274.41.27620,SY1000274.2026.27620,iPad1(1000274),274,01.06.26 17:30,Prod,A1000274.6639,,117,S1000274.27620,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000274.27621,SP1000274.41.27621,SY1000274.2026.27621,iPad1(1000274),274,01.06.26 17:30,Prod,A1000274.6639,,117,S1000274.27621,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000274.27622,SP1000274.41.27622,SY1000274.2026.27622,iPad1(1000274),274,01.06.26 11:36,Prod,A1000274.6640,,113,S1000274.27622,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000274.27623,SP1000274.41.27623,SY1000274.2026.27623,iPad1(1000274),274,01.06.26 11:36,Prod,A1000274.6640,,113,S1000274.27623,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000274.27624,SP1000274.41.27624,SY1000274.2026.27624,iPad1(1000274),274,01.06.26 17:50,Prod,A1000274.6641,,113,S1000274.27624,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000274.27625,SP1000274.41.27625,SY1000274.2026.27625,iPad1(1000274),274,01.06.26 10:11,Prod,A1000274.6642,,117,S1000274.27625,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000274.27626,SP1000274.41.27626,SY1000274.2026.27626,iPad1(1000274),274,01.06.26 10:11,Prod,A1000274.6642,,117,S1000274.27626,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000274.27627,SP1000274.41.27627,SY1000274.2026.27627,iPad1(1000274),274,01.06.26 12:51,Prod,A1000274.6643,Tisch 24,114,S1000274.27627,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000274.27628,SP1000274.41.27628,SY1000274.2026.27628,iPad1(1000274),274,01.06.26 12:51,Prod,A1000274.6643,Tisch 24,114,S1000274.27628,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000274.27629,SP1000274.41.27629,SY1000274.2026.27629,iPad1(1000274),274,01.06.26 10:15,Prod,A1000274.6644,Tisch 13,106,S1000274.27629,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000274.27630,SP1000274.41.27630,SY1000274.2026.27630,iPad1(1000274),274,01.06.26 10:15,Prod,A1000274.6644,Tisch 13,106,S1000274.27630,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000274.27631,SP1000274.41.27631,SY1000274.2026.27631,iPad1(1000274),274,01.06.26 10:15,Prod,A1000274.6644,Tisch 13,106,S1000274.27631,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000274.27632,SP1000274.41.27632,SY1000274.2026.27632,iPad1(1000274),274,01.06.26 20:07,Prod,A1000274.6645,Tisch 23,106,S1000274.27632,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000274.27633,SP1000274.41.27633,SY1000274.2026.27633,iPad1(1000274),274,01.06.26 20:07,Prod,A1000274.6645,Tisch 23,106,S1000274.27633,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000274.27634,SP1000274.41.27634,SY1000274.2026.27634,iPad1(1000274),274,01.06.26 20:07,Prod,A1000274.6645,Tisch 23,106,S1000274.27634,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000274.27635,SP1000274.41.27635,SY1000274.2026.27635,iPad1(1000274),274,01.06.26 18:17,Prod,A1000274.6646,Tisch 12,114,S1000274.27635,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000274.27636,SP1000274.41.27636,SY1000274.2026.27636,iPad1(1000274),274,01.06.26 12:33,Prod,A1000274.6647,Tisch 15,106,S1000274.27636,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000274.27637,SP1000274.41.27637,SY1000274.2026.27637,iPad1(1000274),274,01.06.26 12:33,Prod,A1000274.6647,Tisch 15,106,S1000274.27637,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000274.27638,SP1000274.41.27638,SY1000274.2026.27638,iPad1(1000274),274,01.06.26 12:33,Prod,A1000274.6647,Tisch 15,106,S1000274.27638,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000274.27639,SP1000274.41.27639,SY1000274.2026.27639,iPad1(1000274),274,01.06.26 13:42,Prod,A1000274.6648,,107,S1000274.27639,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000274.27640,SP1000274.41.27640,SY1000274.2026.27640,iPad1(1000274),274,01.06.26 13:42,Prod,A1000274.6648,,107,S1000274.27640,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000274.27641,SP1000274.41.27641,SY1000274.2026.27641,iPad1(1000274),274,01.06.26 12:53,Prod,A1000274.6649,Tisch 17,107,S1000274.27641,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000274.27642,SP1000274.41.27642,SY1000274.2026.27642,iPad1(1000274),274,01.06.26 09:32,Prod,A1000274.6650,,117,S1000274.27642,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000274.27643,SP1000274.41.27643,SY1000274.2026.27643,iPad1(1000274),274,01.06.26 12:44,Prod,A1000274.6651,Tisch 9,107,S1000274.27643,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000274.27644,SP1000274.41.27644,SY1000274.2026.27644,iPad1(1000274),274,01.06.26 12:44,Prod,A1000274.6651,Tisch 9,107,S1000274.27644,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000274.27645,SP1000274.41.27645,SY1000274.2026.27645,iPad1(1000274),274,01.06.26 12:44,Prod,A1000274.6651,Tisch 9,107,S1000274.27645,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000274.27646,SP1000274.41.27646,SY1000274.2026.27646,iPad1(1000274),274,01.06.26 18:23,Prod,A1000274.6652,Tisch 10,107,S1000274.27646,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000274.27647,SP1000274.41.27647,SY1000274.2026.27647,iPad1(1000274),274,01.06.26 18:23,Prod,A1000274.6652,Tisch 10,107,S1000274.27647,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000274.27648,SP1000274.41.27648,SY1000274.2026.27648,iPad1(1000274),274,01.06.26 18:24,Prod,A1000274.6653,Tisch 21,117,S1000274.27648,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000274.27649,SP1000274.41.27649,SY1000274.2026.27649,iPad1(1000274),274,01.06.26 12:33,Prod,A1000274.6654,Tisch 7,106,S1000274.27649,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000274.27650,SP1000274.41.27650,SY1000274.2026.27650,iPad1(1000274),274,01.06.26 12:33,Prod,A1000274.6654,Tisch 7,106,S1000274.27650,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000274.27651,SP1000274.41.27651,SY1000274.2026.27651,iPad1(1000274),274,01.06.26 13:25,Prod,A1000274.6655,Tisch 21,107,S1000274.27651,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000274.27652,SP1000274.41.27652,SY1000274.2026.27652,iPad1(1000274),274,01.06.26 13:25,Prod,A1000274.6655,Tisch 21,107,S1000274.27652,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000274.27653,SP1000274.41.27653,SY1000274.2026.27653,iPad1(1000274),274,01.06.26 13:25,Prod,A1000274.6655,Tisch 21,107,S1000274.27653,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000274.27654,SP1000274.41.27654,SY1000274.2026.27654,iPad1(1000274),274,01.06.26 18:22,Prod,A1000274.6656,Tisch 11,117,S1000274.27654,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000274.27655,SP1000274.41.27655,SY1000274.2026.27655,iPad1(1000274),274,01.06.26 16:26,Prod,A1000274.6657,,114,S1000274.27655,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000274.27656,SP1000274.41.27656,SY1000274.2026.27656,iPad1(1000274),274,01.06.26 19:33,Prod,A1000274.6658,Tisch 15,117,S1000274.27656,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000274.27657,SP1000274.41.27657,SY1000274.2026.27657,iPad1(1000274),274,01.06.26 19:33,Prod,A1000274.6658,Tisch 15,117,S1000274.27657,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000274.27658,SP1000274.41.27658,SY1000274.2026.27658,iPad1(1000274),274,01.06.26 17:00,Prod,A1000274.6659,Tisch 18,113,S1000274.27658,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
