Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000070.11977,SP1000070.31.11977,SY1000070.2026.11977,iPad1(1000070),70,01.06.26 18:01,Prod,A1000070.6591,Tisch 7,106,S1000070.11977,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000070.11978,SP1000070.31.11978,SY1000070.2026.11978,iPad1(1000070),70,01.06.26 18:01,Prod,A1000070.6591,Tisch 7,106,S1000070.11978,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000070.11979,SP1000070.31.11979,SY1000070.2026.11979,iPad1(1000070),70,01.06.26 18:01,Prod,A1000070.6591,Tisch 7,106,S1000070.11979,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000070.11980,SP1000070.31.11980,SY1000070.2026.11980,iPad1(1000070),70,01.06.26 19:35,Prod,A1000070.6592,Tisch 16,106,S1000070.11980,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000070.11981,SP1000070.31.11981,SY1000070.2026.11981,iPad1(1000070),70,01.06.26 19:35,Prod,A1000070.6592,Tisch 16,106,S1000070.11981,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000070.11982,SP1000070.31.11982,SY1000070.2026.11982,iPad1(1000070),70,01.06.26 17:31,Prod,A1000070.6593,Tisch 8,106,S1000070.11982,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000070.11983,SP1000070.31.11983,SY1000070.2026.11983,iPad1(1000070),70,01.06.26 17:31,Prod,A1000070.6593,Tisch 8,106,S1000070.11983,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000070.11984,SP1000070.31.11984,SY1000070.2026.11984,iPad1(1000070),70,01.06.26 11:05,Prod,A1000070.6594,Tisch 10,103,S1000070.11984,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000070.11985,SP1000070.31.11985,SY1000070.2026.11985,iPad1(1000070),70,01.06.26 11:05,Prod,A1000070.6594,Tisch 10,103,S1000070.11985,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000070.11986,SP1000070.31.11986,SY1000070.2026.11986,iPad1(1000070),70,01.06.26 12:40,Prod,A1000070.6595,Tisch 11,106,S1000070.11986,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000070.11987,SP1000070.31.11987,SY1000070.2026.11987,iPad1(1000070),70,01.06.26 12:40,Prod,A1000070.6595,Tisch 11,106,S1000070.11987,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000070.11988,SP1000070.31.11988,SY1000070.2026.11988,iPad1(1000070),70,01.06.26 12:40,Prod,A1000070.6595,Tisch 11,106,S1000070.11988,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000070.11989,SP1000070.31.11989,SY1000070.2026.11989,iPad1(1000070),70,01.06.26 11:51,Prod,A1000070.6596,Tisch 21,103,S1000070.11989,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000070.11990,SP1000070.31.11990,SY1000070.2026.11990,iPad1(1000070),70,01.06.26 11:51,Prod,A1000070.6596,Tisch 21,103,S1000070.11990,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000070.11991,SP1000070.31.11991,SY1000070.2026.11991,iPad1(1000070),70,01.06.26 17:54,Prod,A1000070.6597,Tisch 19,103,S1000070.11991,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000070.11992,SP1000070.31.11992,SY1000070.2026.11992,iPad1(1000070),70,01.06.26 17:54,Prod,A1000070.6597,Tisch 19,103,S1000070.11992,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000070.11993,SP1000070.31.11993,SY1000070.2026.11993,iPad1(1000070),70,01.06.26 14:06,Prod,A1000070.6598,Tisch 24,106,S1000070.11993,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000070.11994,SP1000070.31.11994,SY1000070.2026.11994,iPad1(1000070),70,01.06.26 14:06,Prod,A1000070.6598,Tisch 24,106,S1000070.11994,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000070.11995,SP1000070.31.11995,SY1000070.2026.11995,iPad1(1000070),70,01.06.26 18:28,Prod,A1000070.6599,Tisch 8,103,S1000070.11995,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000070.11996,SP1000070.31.11996,SY1000070.2026.11996,iPad1(1000070),70,01.06.26 18:28,Prod,A1000070.6599,Tisch 8,103,S1000070.11996,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000070.11997,SP1000070.31.11997,SY1000070.2026.11997,iPad1(1000070),70,01.06.26 18:33,Prod,A1000070.6600,Tisch 8,115,S1000070.11997,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000070.11998,SP1000070.31.11998,SY1000070.2026.11998,iPad1(1000070),70,01.06.26 12:29,Prod,A1000070.6601,Tisch 1,120,S1000070.11998,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
