Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000243.23040,SP1000243.15.23040,SY1000243.2026.23040,iPad1(1000243),243,01.06.26 16:18,Prod,A1000243.6621,Tisch 7,115,S1000243.23040,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000243.23041,SP1000243.15.23041,SY1000243.2026.23041,iPad1(1000243),243,01.06.26 16:21,Prod,A1000243.6622,Tisch 13,112,S1000243.23041,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000243.23042,SP1000243.15.23042,SY1000243.2026.23042,iPad1(1000243),243,01.06.26 16:21,Prod,A1000243.6622,Tisch 13,112,S1000243.23042,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000243.23043,SP1000243.15.23043,SY1000243.2026.23043,iPad1(1000243),243,01.06.26 16:21,Prod,A1000243.6622,Tisch 13,112,S1000243.23043,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000243.23044,SP1000243.15.23044,SY1000243.2026.23044,iPad1(1000243),243,01.06.26 10:20,Prod,A1000243.6623,Tisch 7,101,S1000243.23044,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000243.23045,SP1000243.15.23045,SY1000243.2026.23045,iPad1(1000243),243,01.06.26 10:20,Prod,A1000243.6623,Tisch 7,101,S1000243.23045,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000243.23046,SP1000243.15.23046,SY1000243.2026.23046,iPad1(1000243),243,01.06.26 10:20,Prod,A1000243.6623,Tisch 7,101,S1000243.23046,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000243.23047,SP1000243.15.23047,SY1000243.2026.23047,iPad1(1000243),243,01.06.26 18:44,Prod,A1000243.6624,Tisch 12,115,S1000243.23047,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000243.23048,SP1000243.15.23048,SY1000243.2026.23048,iPad1(1000243),243,01.06.26 15:41,Prod,A1000243.6625,,101,S1000243.23048,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000243.23049,SP1000243.15.23049,SY1000243.2026.23049,iPad1(1000243),243,01.06.26 15:41,Prod,A1000243.6625,,101,S1000243.23049,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000243.23050,SP1000243.15.23050,SY1000243.2026.23050,iPad1(1000243),243,01.06.26 12:51,Prod,A1000243.6626,,112,S1000243.23050,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000243.23051,SP1000243.15.23051,SY1000243.2026.23051,iPad1(1000243),243,01.06.26 11:51,Prod,A1000243.6627,Tisch 8,112,S1000243.23051,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000243.23052,SP1000243.15.23052,SY1000243.2026.23052,iPad1(1000243),243,01.06.26 15:50,Prod,A1000243.6628,Tisch 14,115,S1000243.23052,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000243.23053,SP1000243.15.23053,SY1000243.2026.23053,iPad1(1000243),243,01.06.26 15:50,Prod,A1000243.6628,Tisch 14,115,S1000243.23053,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000243.23054,SP1000243.15.23054,SY1000243.2026.23054,iPad1(1000243),243,01.06.26 16:05,Prod,A1000243.6629,Tisch 15,101,S1000243.23054,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000243.23055,SP1000243.15.23055,SY1000243.2026.23055,iPad1(1000243),243,01.06.26 16:05,Prod,A1000243.6629,Tisch 15,101,S1000243.23055,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000243.23056,SP1000243.15.23056,SY1000243.2026.23056,iPad1(1000243),243,01.06.26 16:46,Prod,A1000243.6630,Tisch 4,101,S1000243.23056,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000243.23057,SP1000243.15.23057,SY1000243.2026.23057,iPad1(1000243),243,01.06.26 16:46,Prod,A1000243.6630,Tisch 4,101,S1000243.23057,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000243.23058,SP1000243.15.23058,SY1000243.2026.23058,iPad1(1000243),243,01.06.26 18:08,Prod,A1000243.6631,Tisch 6,115,S1000243.23058,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000243.23059,SP1000243.15.23059,SY1000243.2026.23059,iPad1(1000243),243,01.06.26 16:52,Prod,A1000243.6632,Tisch 8,115,S1000243.23059,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000243.23060,SP1000243.15.23060,SY1000243.2026.23060,iPad1(1000243),243,01.06.26 16:52,Prod,A1000243.6632,Tisch 8,115,S1000243.23060,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000243.23061,SP1000243.15.23061,SY1000243.2026.23061,iPad1(1000243),243,01.06.26 20:30,Prod,A1000243.6633,Tisch 20,104,S1000243.23061,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
