Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000376.84626,SP1000376.43.84626,SY1000376.2026.84626,iPad1(1000376),376,01.06.26 12:09,Prod,A1000376.6766,Tisch 13,103,S1000376.84626,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000376.84627,SP1000376.43.84627,SY1000376.2026.84627,iPad1(1000376),376,01.06.26 12:09,Prod,A1000376.6766,Tisch 13,103,S1000376.84627,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000376.84628,SP1000376.43.84628,SY1000376.2026.84628,iPad1(1000376),376,01.06.26 12:09,Prod,A1000376.6766,Tisch 13,103,S1000376.84628,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000376.84629,SP1000376.43.84629,SY1000376.2026.84629,iPad1(1000376),376,01.06.26 13:57,Prod,A1000376.6767,Tisch 4,105,S1000376.84629,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000376.84630,SP1000376.43.84630,SY1000376.2026.84630,iPad1(1000376),376,01.06.26 09:44,Prod,A1000376.6768,Tisch 8,115,S1000376.84630,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000376.84631,SP1000376.43.84631,SY1000376.2026.84631,iPad1(1000376),376,01.06.26 09:44,Prod,A1000376.6768,Tisch 8,115,S1000376.84631,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000376.84632,SP1000376.43.84632,SY1000376.2026.84632,iPad1(1000376),376,01.06.26 09:44,Prod,A1000376.6768,Tisch 8,115,S1000376.84632,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000376.84633,SP1000376.43.84633,SY1000376.2026.84633,iPad1(1000376),376,01.06.26 11:34,Prod,A1000376.6769,Tisch 16,103,S1000376.84633,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000376.84634,SP1000376.43.84634,SY1000376.2026.84634,iPad1(1000376),376,01.06.26 11:34,Prod,A1000376.6769,Tisch 16,103,S1000376.84634,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000376.84635,SP1000376.43.84635,SY1000376.2026.84635,iPad1(1000376),376,01.06.26 19:23,Prod,A1000376.6770,Tisch 15,104,S1000376.84635,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
