Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000202.65819,SP1000202.6.65819,SY1000202.2026.65819,iPad1(1000202),202,01.06.26 17:58,Prod,A1000202.6756,Tisch 12,107,S1000202.65819,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000202.65820,SP1000202.6.65820,SY1000202.2026.65820,iPad1(1000202),202,01.06.26 17:58,Prod,A1000202.6756,Tisch 12,107,S1000202.65820,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000202.65821,SP1000202.6.65821,SY1000202.2026.65821,iPad1(1000202),202,01.06.26 17:58,Prod,A1000202.6756,Tisch 12,107,S1000202.65821,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000202.65822,SP1000202.6.65822,SY1000202.2026.65822,iPad1(1000202),202,01.06.26 12:02,Prod,A1000202.6757,Tisch 12,114,S1000202.65822,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000202.65823,SP1000202.6.65823,SY1000202.2026.65823,iPad1(1000202),202,01.06.26 12:02,Prod,A1000202.6757,Tisch 12,114,S1000202.65823,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000202.65824,SP1000202.6.65824,SY1000202.2026.65824,iPad1(1000202),202,01.06.26 10:38,Prod,A1000202.6758,Tisch 3,114,S1000202.65824,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000202.65825,SP1000202.6.65825,SY1000202.2026.65825,iPad1(1000202),202,01.06.26 10:38,Prod,A1000202.6758,Tisch 3,114,S1000202.65825,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000202.65826,SP1000202.6.65826,SY1000202.2026.65826,iPad1(1000202),202,01.06.26 15:08,Prod,A1000202.6759,Tisch 17,116,S1000202.65826,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000202.65827,SP1000202.6.65827,SY1000202.2026.65827,iPad1(1000202),202,01.06.26 15:08,Prod,A1000202.6759,Tisch 17,116,S1000202.65827,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000202.65828,SP1000202.6.65828,SY1000202.2026.65828,iPad1(1000202),202,01.06.26 15:08,Prod,A1000202.6759,Tisch 17,116,S1000202.65828,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000202.65829,SP1000202.6.65829,SY1000202.2026.65829,iPad1(1000202),202,01.06.26 08:57,Prod,A1000202.6760,Tisch 19,111,S1000202.65829,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000202.65830,SP1000202.6.65830,SY1000202.2026.65830,iPad1(1000202),202,01.06.26 08:57,Prod,A1000202.6760,Tisch 19,111,S1000202.65830,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000202.65831,SP1000202.6.65831,SY1000202.2026.65831,iPad1(1000202),202,01.06.26 08:57,Prod,A1000202.6760,Tisch 19,111,S1000202.65831,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
