Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000027.81221,SP1000027.44.81221,SY1000027.2026.81221,iPad1(1000027),27,01.06.26 18:05,Prod,A1000027.6054,Tisch 11,113,S1000027.81221,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000027.81222,SP1000027.44.81222,SY1000027.2026.81222,iPad1(1000027),27,01.06.26 18:05,Prod,A1000027.6054,Tisch 11,113,S1000027.81222,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000027.81223,SP1000027.44.81223,SY1000027.2026.81223,iPad1(1000027),27,01.06.26 18:05,Prod,A1000027.6054,Tisch 11,113,S1000027.81223,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000027.81224,SP1000027.44.81224,SY1000027.2026.81224,iPad1(1000027),27,01.06.26 19:32,Prod,A1000027.6055,Tisch 18,110,S1000027.81224,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000027.81225,SP1000027.44.81225,SY1000027.2026.81225,iPad1(1000027),27,01.06.26 20:29,Prod,A1000027.6056,Tisch 2,104,S1000027.81225,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000027.81226,SP1000027.44.81226,SY1000027.2026.81226,iPad1(1000027),27,01.06.26 17:28,Prod,A1000027.6057,Tisch 17,106,S1000027.81226,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000027.81227,SP1000027.44.81227,SY1000027.2026.81227,iPad1(1000027),27,01.06.26 17:01,Prod,A1000027.6058,Tisch 17,104,S1000027.81227,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000027.81228,SP1000027.44.81228,SY1000027.2026.81228,iPad1(1000027),27,01.06.26 17:01,Prod,A1000027.6058,Tisch 17,104,S1000027.81228,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000027.81229,SP1000027.44.81229,SY1000027.2026.81229,iPad1(1000027),27,01.06.26 10:52,Prod,A1000027.6059,Tisch 12,110,S1000027.81229,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000027.81230,SP1000027.44.81230,SY1000027.2026.81230,iPad1(1000027),27,01.06.26 10:52,Prod,A1000027.6059,Tisch 12,110,S1000027.81230,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000027.81231,SP1000027.44.81231,SY1000027.2026.81231,iPad1(1000027),27,01.06.26 10:52,Prod,A1000027.6059,Tisch 12,110,S1000027.81231,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000027.81232,SP1000027.44.81232,SY1000027.2026.81232,iPad1(1000027),27,01.06.26 13:25,Prod,A1000027.6060,Tisch 16,106,S1000027.81232,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000027.81233,SP1000027.44.81233,SY1000027.2026.81233,iPad1(1000027),27,01.06.26 12:30,Prod,A1000027.6061,Tisch 3,113,S1000027.81233,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000027.81234,SP1000027.44.81234,SY1000027.2026.81234,iPad1(1000027),27,01.06.26 10:47,Prod,A1000027.6062,,106,S1000027.81234,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000027.81235,SP1000027.44.81235,SY1000027.2026.81235,iPad1(1000027),27,01.06.26 11:20,Prod,A1000027.6063,Tisch 3,104,S1000027.81235,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000027.81236,SP1000027.44.81236,SY1000027.2026.81236,iPad1(1000027),27,01.06.26 11:20,Prod,A1000027.6063,Tisch 3,104,S1000027.81236,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000027.81237,SP1000027.44.81237,SY1000027.2026.81237,iPad1(1000027),27,01.06.26 11:20,Prod,A1000027.6063,Tisch 3,104,S1000027.81237,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000027.81238,SP1000027.44.81238,SY1000027.2026.81238,iPad1(1000027),27,01.06.26 12:29,Prod,A1000027.6064,Tisch 4,112,S1000027.81238,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000027.81239,SP1000027.44.81239,SY1000027.2026.81239,iPad1(1000027),27,01.06.26 10:39,Prod,A1000027.6065,,104,S1000027.81239,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000027.81240,SP1000027.44.81240,SY1000027.2026.81240,iPad1(1000027),27,01.06.26 10:39,Prod,A1000027.6065,,104,S1000027.81240,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000027.81241,SP1000027.44.81241,SY1000027.2026.81241,iPad1(1000027),27,01.06.26 10:39,Prod,A1000027.6065,,104,S1000027.81241,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000027.81242,SP1000027.44.81242,SY1000027.2026.81242,iPad1(1000027),27,01.06.26 12:05,Prod,A1000027.6066,,104,S1000027.81242,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000027.81243,SP1000027.44.81243,SY1000027.2026.81243,iPad1(1000027),27,01.06.26 12:05,Prod,A1000027.6066,,104,S1000027.81243,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000027.81244,SP1000027.44.81244,SY1000027.2026.81244,iPad1(1000027),27,01.06.26 11:43,Prod,A1000027.6067,Tisch 20,112,S1000027.81244,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000027.81245,SP1000027.44.81245,SY1000027.2026.81245,iPad1(1000027),27,01.06.26 11:43,Prod,A1000027.6067,Tisch 20,112,S1000027.81245,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
