Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000065.38539,SP1000065.27.38539,SY1000065.2026.38539,iPad1(1000065),65,01.06.26 18:18,Prod,A1000065.6447,,101,S1000065.38539,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38540,SP1000065.27.38540,SY1000065.2026.38540,iPad1(1000065),65,01.06.26 16:28,Prod,A1000065.6448,Tisch 16,120,S1000065.38540,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000065.38541,SP1000065.27.38541,SY1000065.2026.38541,iPad1(1000065),65,01.06.26 16:28,Prod,A1000065.6448,Tisch 16,120,S1000065.38541,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000065.38542,SP1000065.27.38542,SY1000065.2026.38542,iPad1(1000065),65,01.06.26 16:28,Prod,A1000065.6448,Tisch 16,120,S1000065.38542,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38543,SP1000065.27.38543,SY1000065.2026.38543,iPad1(1000065),65,01.06.26 18:52,Prod,A1000065.6449,Tisch 9,107,S1000065.38543,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000065.38544,SP1000065.27.38544,SY1000065.2026.38544,iPad1(1000065),65,01.06.26 18:52,Prod,A1000065.6449,Tisch 9,107,S1000065.38544,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000065.38545,SP1000065.27.38545,SY1000065.2026.38545,iPad1(1000065),65,01.06.26 18:13,Prod,A1000065.6450,Tisch 17,107,S1000065.38545,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000065.38546,SP1000065.27.38546,SY1000065.2026.38546,iPad1(1000065),65,01.06.26 10:09,Prod,A1000065.6451,Tisch 15,109,S1000065.38546,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000065.38547,SP1000065.27.38547,SY1000065.2026.38547,iPad1(1000065),65,01.06.26 10:09,Prod,A1000065.6451,Tisch 15,109,S1000065.38547,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000065.38548,SP1000065.27.38548,SY1000065.2026.38548,iPad1(1000065),65,01.06.26 17:17,Prod,A1000065.6452,Tisch 16,120,S1000065.38548,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38549,SP1000065.27.38549,SY1000065.2026.38549,iPad1(1000065),65,01.06.26 17:17,Prod,A1000065.6452,Tisch 16,120,S1000065.38549,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000065.38550,SP1000065.27.38550,SY1000065.2026.38550,iPad1(1000065),65,01.06.26 17:17,Prod,A1000065.6452,Tisch 16,120,S1000065.38550,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38551,SP1000065.27.38551,SY1000065.2026.38551,iPad1(1000065),65,01.06.26 12:54,Prod,A1000065.6453,Tisch 13,109,S1000065.38551,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000065.38552,SP1000065.27.38552,SY1000065.2026.38552,iPad1(1000065),65,01.06.26 12:54,Prod,A1000065.6453,Tisch 13,109,S1000065.38552,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000065.38553,SP1000065.27.38553,SY1000065.2026.38553,iPad1(1000065),65,01.06.26 12:54,Prod,A1000065.6453,Tisch 13,109,S1000065.38553,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000065.38554,SP1000065.27.38554,SY1000065.2026.38554,iPad1(1000065),65,01.06.26 16:03,Prod,A1000065.6454,Tisch 24,120,S1000065.38554,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38555,SP1000065.27.38555,SY1000065.2026.38555,iPad1(1000065),65,01.06.26 16:03,Prod,A1000065.6454,Tisch 24,120,S1000065.38555,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000065.38556,SP1000065.27.38556,SY1000065.2026.38556,iPad1(1000065),65,01.06.26 16:45,Prod,A1000065.6455,Tisch 24,107,S1000065.38556,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000065.38557,SP1000065.27.38557,SY1000065.2026.38557,iPad1(1000065),65,01.06.26 16:45,Prod,A1000065.6455,Tisch 24,107,S1000065.38557,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000065.38558,SP1000065.27.38558,SY1000065.2026.38558,iPad1(1000065),65,01.06.26 16:45,Prod,A1000065.6455,Tisch 24,107,S1000065.38558,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38559,SP1000065.27.38559,SY1000065.2026.38559,iPad1(1000065),65,01.06.26 09:21,Prod,A1000065.6456,Tisch 11,117,S1000065.38559,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000065.38560,SP1000065.27.38560,SY1000065.2026.38560,iPad1(1000065),65,01.06.26 16:12,Prod,A1000065.6457,Tisch 17,120,S1000065.38560,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000065.38561,SP1000065.27.38561,SY1000065.2026.38561,iPad1(1000065),65,01.06.26 20:10,Prod,A1000065.6458,Tisch 7,107,S1000065.38561,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000065.38562,SP1000065.27.38562,SY1000065.2026.38562,iPad1(1000065),65,01.06.26 20:10,Prod,A1000065.6458,Tisch 7,107,S1000065.38562,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38563,SP1000065.27.38563,SY1000065.2026.38563,iPad1(1000065),65,01.06.26 20:10,Prod,A1000065.6458,Tisch 7,107,S1000065.38563,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000065.38564,SP1000065.27.38564,SY1000065.2026.38564,iPad1(1000065),65,01.06.26 13:35,Prod,A1000065.6459,Tisch 20,107,S1000065.38564,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000065.38565,SP1000065.27.38565,SY1000065.2026.38565,iPad1(1000065),65,01.06.26 13:35,Prod,A1000065.6459,Tisch 20,107,S1000065.38565,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000065.38566,SP1000065.27.38566,SY1000065.2026.38566,iPad1(1000065),65,01.06.26 16:32,Prod,A1000065.6460,Tisch 3,101,S1000065.38566,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000065.38567,SP1000065.27.38567,SY1000065.2026.38567,iPad1(1000065),65,01.06.26 16:32,Prod,A1000065.6460,Tisch 3,101,S1000065.38567,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38568,SP1000065.27.38568,SY1000065.2026.38568,iPad1(1000065),65,01.06.26 12:23,Prod,A1000065.6461,Tisch 15,120,S1000065.38568,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000065.38569,SP1000065.27.38569,SY1000065.2026.38569,iPad1(1000065),65,01.06.26 13:46,Prod,A1000065.6462,Tisch 18,109,S1000065.38569,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000065.38570,SP1000065.27.38570,SY1000065.2026.38570,iPad1(1000065),65,01.06.26 13:46,Prod,A1000065.6462,Tisch 18,109,S1000065.38570,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000065.38571,SP1000065.27.38571,SY1000065.2026.38571,iPad1(1000065),65,01.06.26 12:38,Prod,A1000065.6463,,107,S1000065.38571,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000065.38572,SP1000065.27.38572,SY1000065.2026.38572,iPad1(1000065),65,01.06.26 12:38,Prod,A1000065.6463,,107,S1000065.38572,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000065.38573,SP1000065.27.38573,SY1000065.2026.38573,iPad1(1000065),65,01.06.26 18:23,Prod,A1000065.6464,Tisch 10,117,S1000065.38573,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000065.38574,SP1000065.27.38574,SY1000065.2026.38574,iPad1(1000065),65,01.06.26 15:30,Prod,A1000065.6465,Tisch 23,107,S1000065.38574,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000065.38575,SP1000065.27.38575,SY1000065.2026.38575,iPad1(1000065),65,01.06.26 18:48,Prod,A1000065.6466,Tisch 14,117,S1000065.38575,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000065.38576,SP1000065.27.38576,SY1000065.2026.38576,iPad1(1000065),65,01.06.26 18:48,Prod,A1000065.6466,Tisch 14,117,S1000065.38576,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000065.38577,SP1000065.27.38577,SY1000065.2026.38577,iPad1(1000065),65,01.06.26 19:29,Prod,A1000065.6467,Tisch 22,104,S1000065.38577,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000065.38578,SP1000065.27.38578,SY1000065.2026.38578,iPad1(1000065),65,01.06.26 19:29,Prod,A1000065.6467,Tisch 22,104,S1000065.38578,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000065.38579,SP1000065.27.38579,SY1000065.2026.38579,iPad1(1000065),65,01.06.26 18:14,Prod,A1000065.6468,,110,S1000065.38579,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38580,SP1000065.27.38580,SY1000065.2026.38580,iPad1(1000065),65,01.06.26 18:14,Prod,A1000065.6468,,110,S1000065.38580,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000065.38581,SP1000065.27.38581,SY1000065.2026.38581,iPad1(1000065),65,01.06.26 18:14,Prod,A1000065.6468,,110,S1000065.38581,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000065.38582,SP1000065.27.38582,SY1000065.2026.38582,iPad1(1000065),65,01.06.26 11:50,Prod,A1000065.6469,Tisch 20,109,S1000065.38582,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000065.38583,SP1000065.27.38583,SY1000065.2026.38583,iPad1(1000065),65,01.06.26 11:50,Prod,A1000065.6469,Tisch 20,109,S1000065.38583,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38584,SP1000065.27.38584,SY1000065.2026.38584,iPad1(1000065),65,01.06.26 11:50,Prod,A1000065.6469,Tisch 20,109,S1000065.38584,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000065.38585,SP1000065.27.38585,SY1000065.2026.38585,iPad1(1000065),65,01.06.26 11:49,Prod,A1000065.6470,Tisch 4,117,S1000065.38585,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000065.38586,SP1000065.27.38586,SY1000065.2026.38586,iPad1(1000065),65,01.06.26 11:49,Prod,A1000065.6470,Tisch 4,117,S1000065.38586,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000065.38587,SP1000065.27.38587,SY1000065.2026.38587,iPad1(1000065),65,01.06.26 08:11,Prod,A1000065.6471,Tisch 5,110,S1000065.38587,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000065.38588,SP1000065.27.38588,SY1000065.2026.38588,iPad1(1000065),65,01.06.26 15:14,Prod,A1000065.6472,Tisch 20,120,S1000065.38588,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38589,SP1000065.27.38589,SY1000065.2026.38589,iPad1(1000065),65,01.06.26 15:14,Prod,A1000065.6472,Tisch 20,120,S1000065.38589,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000065.38590,SP1000065.27.38590,SY1000065.2026.38590,iPad1(1000065),65,01.06.26 15:14,Prod,A1000065.6472,Tisch 20,120,S1000065.38590,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38591,SP1000065.27.38591,SY1000065.2026.38591,iPad1(1000065),65,01.06.26 12:29,Prod,A1000065.6473,Tisch 3,110,S1000065.38591,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000065.38592,SP1000065.27.38592,SY1000065.2026.38592,iPad1(1000065),65,01.06.26 19:18,Prod,A1000065.6474,Tisch 2,101,S1000065.38592,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000065.38593,SP1000065.27.38593,SY1000065.2026.38593,iPad1(1000065),65,01.06.26 19:18,Prod,A1000065.6474,Tisch 2,101,S1000065.38593,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000065.38594,SP1000065.27.38594,SY1000065.2026.38594,iPad1(1000065),65,01.06.26 18:34,Prod,A1000065.6475,Tisch 2,117,S1000065.38594,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000065.38595,SP1000065.27.38595,SY1000065.2026.38595,iPad1(1000065),65,01.06.26 19:31,Prod,A1000065.6476,Tisch 2,120,S1000065.38595,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000065.38596,SP1000065.27.38596,SY1000065.2026.38596,iPad1(1000065),65,01.06.26 19:31,Prod,A1000065.6476,Tisch 2,120,S1000065.38596,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
