Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000077.19307,SP1000077.22.19307,SY1000077.2026.19307,iPad1(1000077),77,01.06.26 16:15,Prod,A1000077.6706,Tisch 22,103,S1000077.19307,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000077.19308,SP1000077.22.19308,SY1000077.2026.19308,iPad1(1000077),77,01.06.26 16:15,Prod,A1000077.6706,Tisch 22,103,S1000077.19308,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000077.19309,SP1000077.22.19309,SY1000077.2026.19309,iPad1(1000077),77,01.06.26 16:15,Prod,A1000077.6706,Tisch 22,103,S1000077.19309,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000077.19310,SP1000077.22.19310,SY1000077.2026.19310,iPad1(1000077),77,01.06.26 10:25,Prod,A1000077.6707,Tisch 19,108,S1000077.19310,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000077.19311,SP1000077.22.19311,SY1000077.2026.19311,iPad1(1000077),77,01.06.26 10:25,Prod,A1000077.6707,Tisch 19,108,S1000077.19311,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000077.19312,SP1000077.22.19312,SY1000077.2026.19312,iPad1(1000077),77,01.06.26 08:46,Prod,A1000077.6708,Tisch 2,117,S1000077.19312,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000077.19313,SP1000077.22.19313,SY1000077.2026.19313,iPad1(1000077),77,01.06.26 08:46,Prod,A1000077.6708,Tisch 2,117,S1000077.19313,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000077.19314,SP1000077.22.19314,SY1000077.2026.19314,iPad1(1000077),77,01.06.26 16:58,Prod,A1000077.6709,Tisch 20,110,S1000077.19314,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000077.19315,SP1000077.22.19315,SY1000077.2026.19315,iPad1(1000077),77,01.06.26 16:58,Prod,A1000077.6709,Tisch 20,110,S1000077.19315,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000077.19316,SP1000077.22.19316,SY1000077.2026.19316,iPad1(1000077),77,01.06.26 16:58,Prod,A1000077.6709,Tisch 20,110,S1000077.19316,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000077.19317,SP1000077.22.19317,SY1000077.2026.19317,iPad1(1000077),77,01.06.26 16:43,Prod,A1000077.6710,Tisch 15,117,S1000077.19317,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000077.19318,SP1000077.22.19318,SY1000077.2026.19318,iPad1(1000077),77,01.06.26 16:43,Prod,A1000077.6710,Tisch 15,117,S1000077.19318,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000077.19319,SP1000077.22.19319,SY1000077.2026.19319,iPad1(1000077),77,01.06.26 11:29,Prod,A1000077.6711,Tisch 18,102,S1000077.19319,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000077.19320,SP1000077.22.19320,SY1000077.2026.19320,iPad1(1000077),77,01.06.26 11:29,Prod,A1000077.6711,Tisch 18,102,S1000077.19320,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000077.19321,SP1000077.22.19321,SY1000077.2026.19321,iPad1(1000077),77,01.06.26 11:29,Prod,A1000077.6711,Tisch 18,102,S1000077.19321,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000077.19322,SP1000077.22.19322,SY1000077.2026.19322,iPad1(1000077),77,01.06.26 12:22,Prod,A1000077.6712,Tisch 24,103,S1000077.19322,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000077.19323,SP1000077.22.19323,SY1000077.2026.19323,iPad1(1000077),77,01.06.26 14:15,Prod,A1000077.6713,Tisch 6,110,S1000077.19323,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000077.19324,SP1000077.22.19324,SY1000077.2026.19324,iPad1(1000077),77,01.06.26 14:15,Prod,A1000077.6713,Tisch 6,110,S1000077.19324,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000077.19325,SP1000077.22.19325,SY1000077.2026.19325,iPad1(1000077),77,01.06.26 13:03,Prod,A1000077.6714,Tisch 8,102,S1000077.19325,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000077.19326,SP1000077.22.19326,SY1000077.2026.19326,iPad1(1000077),77,01.06.26 13:03,Prod,A1000077.6714,Tisch 8,102,S1000077.19326,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000077.19327,SP1000077.22.19327,SY1000077.2026.19327,iPad1(1000077),77,01.06.26 19:44,Prod,A1000077.6715,Tisch 11,103,S1000077.19327,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000077.19328,SP1000077.22.19328,SY1000077.2026.19328,iPad1(1000077),77,01.06.26 11:26,Prod,A1000077.6716,Tisch 23,110,S1000077.19328,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000077.19329,SP1000077.22.19329,SY1000077.2026.19329,iPad1(1000077),77,01.06.26 11:26,Prod,A1000077.6716,Tisch 23,110,S1000077.19329,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000077.19330,SP1000077.22.19330,SY1000077.2026.19330,iPad1(1000077),77,01.06.26 17:01,Prod,A1000077.6717,Tisch 4,103,S1000077.19330,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
