Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000126.13160,SP1000126.47.13160,SY1000126.2026.13160,iPad1(1000126),126,01.06.26 17:01,Prod,A1000126.6133,Tisch 17,103,S1000126.13160,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000126.13161,SP1000126.47.13161,SY1000126.2026.13161,iPad1(1000126),126,01.06.26 17:01,Prod,A1000126.6133,Tisch 17,103,S1000126.13161,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000126.13162,SP1000126.47.13162,SY1000126.2026.13162,iPad1(1000126),126,01.06.26 16:38,Prod,A1000126.6134,Tisch 16,112,S1000126.13162,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000126.13163,SP1000126.47.13163,SY1000126.2026.13163,iPad1(1000126),126,01.06.26 11:02,Prod,A1000126.6135,Tisch 13,103,S1000126.13163,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000126.13164,SP1000126.47.13164,SY1000126.2026.13164,iPad1(1000126),126,01.06.26 19:24,Prod,A1000126.6136,Tisch 11,113,S1000126.13164,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000126.13165,SP1000126.47.13165,SY1000126.2026.13165,iPad1(1000126),126,01.06.26 19:24,Prod,A1000126.6136,Tisch 11,113,S1000126.13165,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000126.13166,SP1000126.47.13166,SY1000126.2026.13166,iPad1(1000126),126,01.06.26 19:24,Prod,A1000126.6136,Tisch 11,113,S1000126.13166,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000126.13167,SP1000126.47.13167,SY1000126.2026.13167,iPad1(1000126),126,01.06.26 08:02,Prod,A1000126.6137,Tisch 8,112,S1000126.13167,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000126.13168,SP1000126.47.13168,SY1000126.2026.13168,iPad1(1000126),126,01.06.26 08:02,Prod,A1000126.6137,Tisch 8,112,S1000126.13168,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000126.13169,SP1000126.47.13169,SY1000126.2026.13169,iPad1(1000126),126,01.06.26 20:34,Prod,A1000126.6138,Tisch 22,103,S1000126.13169,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
