Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000141.42894,SP1000141.18.42894,SY1000141.2026.42894,iPad1(1000141),141,01.06.26 20:41,Prod,A1000141.6195,Tisch 14,118,S1000141.42894,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000141.42895,SP1000141.18.42895,SY1000141.2026.42895,iPad1(1000141),141,01.06.26 20:41,Prod,A1000141.6195,Tisch 14,118,S1000141.42895,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000141.42896,SP1000141.18.42896,SY1000141.2026.42896,iPad1(1000141),141,01.06.26 20:41,Prod,A1000141.6195,Tisch 14,118,S1000141.42896,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000141.42897,SP1000141.18.42897,SY1000141.2026.42897,iPad1(1000141),141,01.06.26 11:48,Prod,A1000141.6196,Tisch 21,104,S1000141.42897,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000141.42898,SP1000141.18.42898,SY1000141.2026.42898,iPad1(1000141),141,01.06.26 11:48,Prod,A1000141.6196,Tisch 21,104,S1000141.42898,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000141.42899,SP1000141.18.42899,SY1000141.2026.42899,iPad1(1000141),141,01.06.26 11:48,Prod,A1000141.6196,Tisch 21,104,S1000141.42899,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000141.42900,SP1000141.18.42900,SY1000141.2026.42900,iPad1(1000141),141,01.06.26 19:29,Prod,A1000141.6197,Tisch 7,104,S1000141.42900,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000141.42901,SP1000141.18.42901,SY1000141.2026.42901,iPad1(1000141),141,01.06.26 19:29,Prod,A1000141.6197,Tisch 7,104,S1000141.42901,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000141.42902,SP1000141.18.42902,SY1000141.2026.42902,iPad1(1000141),141,01.06.26 19:29,Prod,A1000141.6197,Tisch 7,104,S1000141.42902,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000141.42903,SP1000141.18.42903,SY1000141.2026.42903,iPad1(1000141),141,01.06.26 20:51,Prod,A1000141.6198,,113,S1000141.42903,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000141.42904,SP1000141.18.42904,SY1000141.2026.42904,iPad1(1000141),141,01.06.26 20:51,Prod,A1000141.6198,,113,S1000141.42904,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000141.42905,SP1000141.18.42905,SY1000141.2026.42905,iPad1(1000141),141,01.06.26 20:51,Prod,A1000141.6198,,113,S1000141.42905,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000141.42906,SP1000141.18.42906,SY1000141.2026.42906,iPad1(1000141),141,01.06.26 18:09,Prod,A1000141.6199,Tisch 7,113,S1000141.42906,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000141.42907,SP1000141.18.42907,SY1000141.2026.42907,iPad1(1000141),141,01.06.26 18:27,Prod,A1000141.6200,Tisch 18,118,S1000141.42907,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000141.42908,SP1000141.18.42908,SY1000141.2026.42908,iPad1(1000141),141,01.06.26 18:27,Prod,A1000141.6200,Tisch 18,118,S1000141.42908,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000141.42909,SP1000141.18.42909,SY1000141.2026.42909,iPad1(1000141),141,01.06.26 18:27,Prod,A1000141.6200,Tisch 18,118,S1000141.42909,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000141.42910,SP1000141.18.42910,SY1000141.2026.42910,iPad1(1000141),141,01.06.26 11:04,Prod,A1000141.6201,Tisch 22,101,S1000141.42910,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000141.42911,SP1000141.18.42911,SY1000141.2026.42911,iPad1(1000141),141,01.06.26 11:04,Prod,A1000141.6201,Tisch 22,101,S1000141.42911,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000141.42912,SP1000141.18.42912,SY1000141.2026.42912,iPad1(1000141),141,01.06.26 11:04,Prod,A1000141.6201,Tisch 22,101,S1000141.42912,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000141.42913,SP1000141.18.42913,SY1000141.2026.42913,iPad1(1000141),141,01.06.26 10:30,Prod,A1000141.6202,Tisch 16,113,S1000141.42913,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000141.42914,SP1000141.18.42914,SY1000141.2026.42914,iPad1(1000141),141,01.06.26 10:30,Prod,A1000141.6202,Tisch 16,113,S1000141.42914,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000141.42915,SP1000141.18.42915,SY1000141.2026.42915,iPad1(1000141),141,01.06.26 10:30,Prod,A1000141.6202,Tisch 16,113,S1000141.42915,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000141.42916,SP1000141.18.42916,SY1000141.2026.42916,iPad1(1000141),141,01.06.26 13:54,Prod,A1000141.6203,Tisch 14,104,S1000141.42916,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000141.42917,SP1000141.18.42917,SY1000141.2026.42917,iPad1(1000141),141,01.06.26 14:40,Prod,A1000141.6204,Tisch 3,104,S1000141.42917,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000141.42918,SP1000141.18.42918,SY1000141.2026.42918,iPad1(1000141),141,01.06.26 14:40,Prod,A1000141.6204,Tisch 3,104,S1000141.42918,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000141.42919,SP1000141.18.42919,SY1000141.2026.42919,iPad1(1000141),141,01.06.26 14:40,Prod,A1000141.6204,Tisch 3,104,S1000141.42919,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000141.42920,SP1000141.18.42920,SY1000141.2026.42920,iPad1(1000141),141,01.06.26 15:11,Prod,A1000141.6205,,114,S1000141.42920,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000141.42921,SP1000141.18.42921,SY1000141.2026.42921,iPad1(1000141),141,01.06.26 20:49,Prod,A1000141.6206,Tisch 14,104,S1000141.42921,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000141.42922,SP1000141.18.42922,SY1000141.2026.42922,iPad1(1000141),141,01.06.26 20:49,Prod,A1000141.6206,Tisch 14,104,S1000141.42922,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000141.42923,SP1000141.18.42923,SY1000141.2026.42923,iPad1(1000141),141,01.06.26 18:25,Prod,A1000141.6207,Tisch 2,118,S1000141.42923,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000141.42924,SP1000141.18.42924,SY1000141.2026.42924,iPad1(1000141),141,01.06.26 18:25,Prod,A1000141.6207,Tisch 2,118,S1000141.42924,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
