Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000158.51868,SP1000158.3.51868,SY1000158.2026.51868,iPad1(1000158),158,01.06.26 14:19,Prod,A1000158.6232,Tisch 15,116,S1000158.51868,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000158.51869,SP1000158.3.51869,SY1000158.2026.51869,iPad1(1000158),158,01.06.26 14:19,Prod,A1000158.6232,Tisch 15,116,S1000158.51869,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000158.51870,SP1000158.3.51870,SY1000158.2026.51870,iPad1(1000158),158,01.06.26 11:35,Prod,A1000158.6233,,116,S1000158.51870,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000158.51871,SP1000158.3.51871,SY1000158.2026.51871,iPad1(1000158),158,01.06.26 11:35,Prod,A1000158.6233,,116,S1000158.51871,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000158.51872,SP1000158.3.51872,SY1000158.2026.51872,iPad1(1000158),158,01.06.26 11:35,Prod,A1000158.6233,,116,S1000158.51872,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000158.51873,SP1000158.3.51873,SY1000158.2026.51873,iPad1(1000158),158,01.06.26 20:06,Prod,A1000158.6234,Tisch 11,103,S1000158.51873,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000158.51874,SP1000158.3.51874,SY1000158.2026.51874,iPad1(1000158),158,01.06.26 18:43,Prod,A1000158.6235,Tisch 14,112,S1000158.51874,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000158.51875,SP1000158.3.51875,SY1000158.2026.51875,iPad1(1000158),158,01.06.26 18:43,Prod,A1000158.6235,Tisch 14,112,S1000158.51875,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000158.51876,SP1000158.3.51876,SY1000158.2026.51876,iPad1(1000158),158,01.06.26 18:43,Prod,A1000158.6235,Tisch 14,112,S1000158.51876,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000158.51877,SP1000158.3.51877,SY1000158.2026.51877,iPad1(1000158),158,01.06.26 11:30,Prod,A1000158.6236,Tisch 21,113,S1000158.51877,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
