Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000164.54724,SP1000164.13.54724,SY1000164.2026.54724,iPad1(1000164),164,01.06.26 19:35,Prod,A1000164.6240,,101,S1000164.54724,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000164.54725,SP1000164.13.54725,SY1000164.2026.54725,iPad1(1000164),164,01.06.26 10:17,Prod,A1000164.6241,Tisch 16,117,S1000164.54725,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000164.54726,SP1000164.13.54726,SY1000164.2026.54726,iPad1(1000164),164,01.06.26 12:02,Prod,A1000164.6242,Tisch 15,108,S1000164.54726,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000164.54727,SP1000164.13.54727,SY1000164.2026.54727,iPad1(1000164),164,01.06.26 12:02,Prod,A1000164.6242,Tisch 15,108,S1000164.54727,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000164.54728,SP1000164.13.54728,SY1000164.2026.54728,iPad1(1000164),164,01.06.26 12:02,Prod,A1000164.6242,Tisch 15,108,S1000164.54728,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000164.54729,SP1000164.13.54729,SY1000164.2026.54729,iPad1(1000164),164,01.06.26 20:38,Prod,A1000164.6243,Tisch 7,105,S1000164.54729,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000164.54730,SP1000164.13.54730,SY1000164.2026.54730,iPad1(1000164),164,01.06.26 20:38,Prod,A1000164.6243,Tisch 7,105,S1000164.54730,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000164.54731,SP1000164.13.54731,SY1000164.2026.54731,iPad1(1000164),164,01.06.26 19:53,Prod,A1000164.6244,Tisch 13,113,S1000164.54731,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000164.54732,SP1000164.13.54732,SY1000164.2026.54732,iPad1(1000164),164,01.06.26 19:53,Prod,A1000164.6244,Tisch 13,113,S1000164.54732,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000164.54733,SP1000164.13.54733,SY1000164.2026.54733,iPad1(1000164),164,01.06.26 19:40,Prod,A1000164.6245,Tisch 17,108,S1000164.54733,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000164.54734,SP1000164.13.54734,SY1000164.2026.54734,iPad1(1000164),164,01.06.26 19:40,Prod,A1000164.6245,Tisch 17,108,S1000164.54734,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000164.54735,SP1000164.13.54735,SY1000164.2026.54735,iPad1(1000164),164,01.06.26 12:40,Prod,A1000164.6246,Tisch 16,112,S1000164.54735,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000164.54736,SP1000164.13.54736,SY1000164.2026.54736,iPad1(1000164),164,01.06.26 12:40,Prod,A1000164.6246,Tisch 16,112,S1000164.54736,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
