Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000349.64096,SP1000349.10.64096,SY1000349.2026.64096,iPad1(1000349),349,01.06.26 12:47,Prod,A1000349.6071,Tisch 23,114,S1000349.64096,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000349.64097,SP1000349.10.64097,SY1000349.2026.64097,iPad1(1000349),349,01.06.26 13:28,Prod,A1000349.6072,Tisch 12,112,S1000349.64097,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000349.64098,SP1000349.10.64098,SY1000349.2026.64098,iPad1(1000349),349,01.06.26 13:28,Prod,A1000349.6072,Tisch 12,112,S1000349.64098,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000349.64099,SP1000349.10.64099,SY1000349.2026.64099,iPad1(1000349),349,01.06.26 13:28,Prod,A1000349.6072,Tisch 12,112,S1000349.64099,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000349.64100,SP1000349.10.64100,SY1000349.2026.64100,iPad1(1000349),349,01.06.26 18:42,Prod,A1000349.6073,Tisch 24,112,S1000349.64100,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000349.64101,SP1000349.10.64101,SY1000349.2026.64101,iPad1(1000349),349,01.06.26 09:32,Prod,A1000349.6074,Tisch 20,114,S1000349.64101,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000349.64102,SP1000349.10.64102,SY1000349.2026.64102,iPad1(1000349),349,01.06.26 12:02,Prod,A1000349.6075,Tisch 18,113,S1000349.64102,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000349.64103,SP1000349.10.64103,SY1000349.2026.64103,iPad1(1000349),349,01.06.26 17:46,Prod,A1000349.6076,Tisch 14,113,S1000349.64103,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000349.64104,SP1000349.10.64104,SY1000349.2026.64104,iPad1(1000349),349,01.06.26 17:46,Prod,A1000349.6076,Tisch 14,113,S1000349.64104,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000349.64105,SP1000349.10.64105,SY1000349.2026.64105,iPad1(1000349),349,01.06.26 17:46,Prod,A1000349.6076,Tisch 14,113,S1000349.64105,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000349.64106,SP1000349.10.64106,SY1000349.2026.64106,iPad1(1000349),349,01.06.26 13:21,Prod,A1000349.6077,Tisch 19,112,S1000349.64106,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000349.64107,SP1000349.10.64107,SY1000349.2026.64107,iPad1(1000349),349,01.06.26 12:00,Prod,A1000349.6078,Tisch 11,101,S1000349.64107,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000349.64108,SP1000349.10.64108,SY1000349.2026.64108,iPad1(1000349),349,01.06.26 12:00,Prod,A1000349.6078,Tisch 11,101,S1000349.64108,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000349.64109,SP1000349.10.64109,SY1000349.2026.64109,iPad1(1000349),349,01.06.26 12:00,Prod,A1000349.6078,Tisch 11,101,S1000349.64109,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000349.64110,SP1000349.10.64110,SY1000349.2026.64110,iPad1(1000349),349,01.06.26 08:10,Prod,A1000349.6079,Tisch 7,115,S1000349.64110,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000349.64111,SP1000349.10.64111,SY1000349.2026.64111,iPad1(1000349),349,01.06.26 08:10,Prod,A1000349.6079,Tisch 7,115,S1000349.64111,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000349.64112,SP1000349.10.64112,SY1000349.2026.64112,iPad1(1000349),349,01.06.26 08:10,Prod,A1000349.6079,Tisch 7,115,S1000349.64112,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000349.64113,SP1000349.10.64113,SY1000349.2026.64113,iPad1(1000349),349,01.06.26 16:57,Prod,A1000349.6080,Tisch 22,113,S1000349.64113,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000349.64114,SP1000349.10.64114,SY1000349.2026.64114,iPad1(1000349),349,01.06.26 16:57,Prod,A1000349.6080,Tisch 22,113,S1000349.64114,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000349.64115,SP1000349.10.64115,SY1000349.2026.64115,iPad1(1000349),349,01.06.26 16:57,Prod,A1000349.6080,Tisch 22,113,S1000349.64115,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000349.64116,SP1000349.10.64116,SY1000349.2026.64116,iPad1(1000349),349,01.06.26 12:58,Prod,A1000349.6081,Tisch 12,101,S1000349.64116,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000349.64117,SP1000349.10.64117,SY1000349.2026.64117,iPad1(1000349),349,01.06.26 12:58,Prod,A1000349.6081,Tisch 12,101,S1000349.64117,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000349.64118,SP1000349.10.64118,SY1000349.2026.64118,iPad1(1000349),349,01.06.26 18:20,Prod,A1000349.6082,Tisch 19,113,S1000349.64118,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000349.64119,SP1000349.10.64119,SY1000349.2026.64119,iPad1(1000349),349,01.06.26 18:20,Prod,A1000349.6082,Tisch 19,113,S1000349.64119,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000349.64120,SP1000349.10.64120,SY1000349.2026.64120,iPad1(1000349),349,01.06.26 16:27,Prod,A1000349.6083,Tisch 5,113,S1000349.64120,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
