Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000357.64329,SP1000357.10.64329,SY1000357.2026.64329,iPad1(1000357),357,01.06.26 17:21,Prod,A1000357.6121,Tisch 12,118,S1000357.64329,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000357.64330,SP1000357.10.64330,SY1000357.2026.64330,iPad1(1000357),357,01.06.26 17:21,Prod,A1000357.6121,Tisch 12,118,S1000357.64330,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64331,SP1000357.10.64331,SY1000357.2026.64331,iPad1(1000357),357,01.06.26 19:07,Prod,A1000357.6122,Tisch 4,118,S1000357.64331,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000357.64332,SP1000357.10.64332,SY1000357.2026.64332,iPad1(1000357),357,01.06.26 17:30,Prod,A1000357.6123,Tisch 17,107,S1000357.64332,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000357.64333,SP1000357.10.64333,SY1000357.2026.64333,iPad1(1000357),357,01.06.26 10:38,Prod,A1000357.6124,Tisch 4,107,S1000357.64333,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000357.64334,SP1000357.10.64334,SY1000357.2026.64334,iPad1(1000357),357,01.06.26 20:57,Prod,A1000357.6125,Tisch 4,113,S1000357.64334,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000357.64335,SP1000357.10.64335,SY1000357.2026.64335,iPad1(1000357),357,01.06.26 20:57,Prod,A1000357.6125,Tisch 4,113,S1000357.64335,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000357.64336,SP1000357.10.64336,SY1000357.2026.64336,iPad1(1000357),357,01.06.26 20:57,Prod,A1000357.6125,Tisch 4,113,S1000357.64336,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000357.64337,SP1000357.10.64337,SY1000357.2026.64337,iPad1(1000357),357,01.06.26 11:06,Prod,A1000357.6126,Tisch 21,103,S1000357.64337,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64338,SP1000357.10.64338,SY1000357.2026.64338,iPad1(1000357),357,01.06.26 11:06,Prod,A1000357.6126,Tisch 21,103,S1000357.64338,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000357.64339,SP1000357.10.64339,SY1000357.2026.64339,iPad1(1000357),357,01.06.26 08:52,Prod,A1000357.6127,Tisch 10,106,S1000357.64339,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000357.64340,SP1000357.10.64340,SY1000357.2026.64340,iPad1(1000357),357,01.06.26 08:52,Prod,A1000357.6127,Tisch 10,106,S1000357.64340,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64341,SP1000357.10.64341,SY1000357.2026.64341,iPad1(1000357),357,01.06.26 08:52,Prod,A1000357.6127,Tisch 10,106,S1000357.64341,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000357.64342,SP1000357.10.64342,SY1000357.2026.64342,iPad1(1000357),357,01.06.26 13:05,Prod,A1000357.6128,Tisch 15,113,S1000357.64342,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000357.64343,SP1000357.10.64343,SY1000357.2026.64343,iPad1(1000357),357,01.06.26 18:10,Prod,A1000357.6129,Tisch 20,103,S1000357.64343,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000357.64344,SP1000357.10.64344,SY1000357.2026.64344,iPad1(1000357),357,01.06.26 18:10,Prod,A1000357.6129,Tisch 20,103,S1000357.64344,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64345,SP1000357.10.64345,SY1000357.2026.64345,iPad1(1000357),357,01.06.26 18:10,Prod,A1000357.6129,Tisch 20,103,S1000357.64345,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64346,SP1000357.10.64346,SY1000357.2026.64346,iPad1(1000357),357,01.06.26 16:11,Prod,A1000357.6130,Tisch 4,110,S1000357.64346,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000357.64347,SP1000357.10.64347,SY1000357.2026.64347,iPad1(1000357),357,01.06.26 16:11,Prod,A1000357.6130,Tisch 4,110,S1000357.64347,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000357.64348,SP1000357.10.64348,SY1000357.2026.64348,iPad1(1000357),357,01.06.26 16:11,Prod,A1000357.6130,Tisch 4,110,S1000357.64348,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000357.64349,SP1000357.10.64349,SY1000357.2026.64349,iPad1(1000357),357,01.06.26 20:46,Prod,A1000357.6131,Tisch 14,118,S1000357.64349,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000357.64350,SP1000357.10.64350,SY1000357.2026.64350,iPad1(1000357),357,01.06.26 20:46,Prod,A1000357.6131,Tisch 14,118,S1000357.64350,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000357.64351,SP1000357.10.64351,SY1000357.2026.64351,iPad1(1000357),357,01.06.26 20:46,Prod,A1000357.6131,Tisch 14,118,S1000357.64351,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000357.64352,SP1000357.10.64352,SY1000357.2026.64352,iPad1(1000357),357,01.06.26 18:49,Prod,A1000357.6132,Tisch 20,103,S1000357.64352,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000357.64353,SP1000357.10.64353,SY1000357.2026.64353,iPad1(1000357),357,01.06.26 18:49,Prod,A1000357.6132,Tisch 20,103,S1000357.64353,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000357.64354,SP1000357.10.64354,SY1000357.2026.64354,iPad1(1000357),357,01.06.26 18:49,Prod,A1000357.6132,Tisch 20,103,S1000357.64354,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000357.64355,SP1000357.10.64355,SY1000357.2026.64355,iPad1(1000357),357,01.06.26 12:44,Prod,A1000357.6133,Tisch 22,113,S1000357.64355,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000357.64356,SP1000357.10.64356,SY1000357.2026.64356,iPad1(1000357),357,01.06.26 12:44,Prod,A1000357.6133,Tisch 22,113,S1000357.64356,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000357.64357,SP1000357.10.64357,SY1000357.2026.64357,iPad1(1000357),357,01.06.26 15:31,Prod,A1000357.6134,Tisch 20,118,S1000357.64357,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000357.64358,SP1000357.10.64358,SY1000357.2026.64358,iPad1(1000357),357,01.06.26 15:31,Prod,A1000357.6134,Tisch 20,118,S1000357.64358,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000357.64359,SP1000357.10.64359,SY1000357.2026.64359,iPad1(1000357),357,01.06.26 15:31,Prod,A1000357.6134,Tisch 20,118,S1000357.64359,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000357.64360,SP1000357.10.64360,SY1000357.2026.64360,iPad1(1000357),357,01.06.26 19:26,Prod,A1000357.6135,Tisch 3,110,S1000357.64360,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000357.64361,SP1000357.10.64361,SY1000357.2026.64361,iPad1(1000357),357,01.06.26 19:26,Prod,A1000357.6135,Tisch 3,110,S1000357.64361,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000357.64362,SP1000357.10.64362,SY1000357.2026.64362,iPad1(1000357),357,01.06.26 19:26,Prod,A1000357.6135,Tisch 3,110,S1000357.64362,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000357.64363,SP1000357.10.64363,SY1000357.2026.64363,iPad1(1000357),357,01.06.26 19:47,Prod,A1000357.6136,Tisch 15,110,S1000357.64363,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000357.64364,SP1000357.10.64364,SY1000357.2026.64364,iPad1(1000357),357,01.06.26 19:47,Prod,A1000357.6136,Tisch 15,110,S1000357.64364,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000357.64365,SP1000357.10.64365,SY1000357.2026.64365,iPad1(1000357),357,01.06.26 19:47,Prod,A1000357.6136,Tisch 15,110,S1000357.64365,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000357.64366,SP1000357.10.64366,SY1000357.2026.64366,iPad1(1000357),357,01.06.26 20:33,Prod,A1000357.6137,,110,S1000357.64366,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000357.64367,SP1000357.10.64367,SY1000357.2026.64367,iPad1(1000357),357,01.06.26 18:37,Prod,A1000357.6138,Tisch 19,120,S1000357.64367,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000357.64368,SP1000357.10.64368,SY1000357.2026.64368,iPad1(1000357),357,01.06.26 18:37,Prod,A1000357.6138,Tisch 19,120,S1000357.64368,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000357.64369,SP1000357.10.64369,SY1000357.2026.64369,iPad1(1000357),357,01.06.26 20:26,Prod,A1000357.6139,Tisch 21,118,S1000357.64369,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000357.64370,SP1000357.10.64370,SY1000357.2026.64370,iPad1(1000357),357,01.06.26 20:26,Prod,A1000357.6139,Tisch 21,118,S1000357.64370,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
