Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000389.28935,SP1000389.35.28935,SY1000389.2026.28935,iPad1(1000389),389,01.06.26 13:22,Prod,A1000389.6904,Tisch 8,120,S1000389.28935,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000389.28936,SP1000389.35.28936,SY1000389.2026.28936,iPad1(1000389),389,01.06.26 13:22,Prod,A1000389.6904,Tisch 8,120,S1000389.28936,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000389.28937,SP1000389.35.28937,SY1000389.2026.28937,iPad1(1000389),389,01.06.26 19:24,Prod,A1000389.6905,Tisch 10,119,S1000389.28937,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000389.28938,SP1000389.35.28938,SY1000389.2026.28938,iPad1(1000389),389,01.06.26 19:24,Prod,A1000389.6905,Tisch 10,119,S1000389.28938,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000389.28939,SP1000389.35.28939,SY1000389.2026.28939,iPad1(1000389),389,01.06.26 12:32,Prod,A1000389.6906,Tisch 19,113,S1000389.28939,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000389.28940,SP1000389.35.28940,SY1000389.2026.28940,iPad1(1000389),389,01.06.26 12:32,Prod,A1000389.6906,Tisch 19,113,S1000389.28940,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000389.28941,SP1000389.35.28941,SY1000389.2026.28941,iPad1(1000389),389,01.06.26 12:32,Prod,A1000389.6906,Tisch 19,113,S1000389.28941,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000389.28942,SP1000389.35.28942,SY1000389.2026.28942,iPad1(1000389),389,01.06.26 15:15,Prod,A1000389.6907,Tisch 7,119,S1000389.28942,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000389.28943,SP1000389.35.28943,SY1000389.2026.28943,iPad1(1000389),389,01.06.26 18:05,Prod,A1000389.6908,Tisch 17,104,S1000389.28943,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000389.28944,SP1000389.35.28944,SY1000389.2026.28944,iPad1(1000389),389,01.06.26 18:05,Prod,A1000389.6908,Tisch 17,104,S1000389.28944,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
