Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000119.44475,SP1000119.38.44475,SY1000119.2026.44475,iPad1(1000119),119,01.06.26 19:07,Prod,A1000119.6828,Tisch 19,116,S1000119.44475,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000119.44476,SP1000119.38.44476,SY1000119.2026.44476,iPad1(1000119),119,01.06.26 19:07,Prod,A1000119.6828,Tisch 19,116,S1000119.44476,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000119.44477,SP1000119.38.44477,SY1000119.2026.44477,iPad1(1000119),119,01.06.26 19:07,Prod,A1000119.6828,Tisch 19,116,S1000119.44477,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000119.44478,SP1000119.38.44478,SY1000119.2026.44478,iPad1(1000119),119,01.06.26 18:54,Prod,A1000119.6829,Tisch 20,116,S1000119.44478,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000119.44479,SP1000119.38.44479,SY1000119.2026.44479,iPad1(1000119),119,01.06.26 18:54,Prod,A1000119.6829,Tisch 20,116,S1000119.44479,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000119.44480,SP1000119.38.44480,SY1000119.2026.44480,iPad1(1000119),119,01.06.26 18:54,Prod,A1000119.6829,Tisch 20,116,S1000119.44480,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000119.44481,SP1000119.38.44481,SY1000119.2026.44481,iPad1(1000119),119,01.06.26 17:03,Prod,A1000119.6830,Tisch 7,119,S1000119.44481,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000119.44482,SP1000119.38.44482,SY1000119.2026.44482,iPad1(1000119),119,01.06.26 17:03,Prod,A1000119.6830,Tisch 7,119,S1000119.44482,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000119.44483,SP1000119.38.44483,SY1000119.2026.44483,iPad1(1000119),119,01.06.26 11:26,Prod,A1000119.6831,Tisch 2,115,S1000119.44483,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000119.44484,SP1000119.38.44484,SY1000119.2026.44484,iPad1(1000119),119,01.06.26 10:31,Prod,A1000119.6832,Tisch 7,115,S1000119.44484,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000119.44485,SP1000119.38.44485,SY1000119.2026.44485,iPad1(1000119),119,01.06.26 15:10,Prod,A1000119.6833,Tisch 8,103,S1000119.44485,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000119.44486,SP1000119.38.44486,SY1000119.2026.44486,iPad1(1000119),119,01.06.26 15:10,Prod,A1000119.6833,Tisch 8,103,S1000119.44486,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000119.44487,SP1000119.38.44487,SY1000119.2026.44487,iPad1(1000119),119,01.06.26 15:10,Prod,A1000119.6833,Tisch 8,103,S1000119.44487,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000119.44488,SP1000119.38.44488,SY1000119.2026.44488,iPad1(1000119),119,01.06.26 18:33,Prod,A1000119.6834,Tisch 8,115,S1000119.44488,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000119.44489,SP1000119.38.44489,SY1000119.2026.44489,iPad1(1000119),119,01.06.26 18:33,Prod,A1000119.6834,Tisch 8,115,S1000119.44489,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000119.44490,SP1000119.38.44490,SY1000119.2026.44490,iPad1(1000119),119,01.06.26 18:33,Prod,A1000119.6834,Tisch 8,115,S1000119.44490,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
