Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000034.73672,SP1000034.51.73672,SY1000034.2026.73672,iPad1(1000034),34,01.06.26 19:27,Prod,A1000034.6908,,119,S1000034.73672,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000034.73673,SP1000034.51.73673,SY1000034.2026.73673,iPad1(1000034),34,01.06.26 19:27,Prod,A1000034.6908,,119,S1000034.73673,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000034.73674,SP1000034.51.73674,SY1000034.2026.73674,iPad1(1000034),34,01.06.26 19:27,Prod,A1000034.6908,,119,S1000034.73674,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000034.73675,SP1000034.51.73675,SY1000034.2026.73675,iPad1(1000034),34,01.06.26 17:31,Prod,A1000034.6909,Tisch 3,117,S1000034.73675,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000034.73676,SP1000034.51.73676,SY1000034.2026.73676,iPad1(1000034),34,01.06.26 17:31,Prod,A1000034.6909,Tisch 3,117,S1000034.73676,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000034.73677,SP1000034.51.73677,SY1000034.2026.73677,iPad1(1000034),34,01.06.26 13:46,Prod,A1000034.6910,Tisch 9,119,S1000034.73677,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000034.73678,SP1000034.51.73678,SY1000034.2026.73678,iPad1(1000034),34,01.06.26 10:01,Prod,A1000034.6911,Tisch 4,110,S1000034.73678,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000034.73679,SP1000034.51.73679,SY1000034.2026.73679,iPad1(1000034),34,01.06.26 19:56,Prod,A1000034.6912,Tisch 8,113,S1000034.73679,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000034.73680,SP1000034.51.73680,SY1000034.2026.73680,iPad1(1000034),34,01.06.26 19:56,Prod,A1000034.6912,Tisch 8,113,S1000034.73680,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000034.73681,SP1000034.51.73681,SY1000034.2026.73681,iPad1(1000034),34,01.06.26 19:56,Prod,A1000034.6912,Tisch 8,113,S1000034.73681,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
