Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000049.84877,SP1000049.4.84877,SY1000049.2026.84877,iPad1(1000049),49,01.06.26 11:10,Prod,A1000049.6675,Tisch 21,118,S1000049.84877,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000049.84878,SP1000049.4.84878,SY1000049.2026.84878,iPad1(1000049),49,01.06.26 18:29,Prod,A1000049.6676,Tisch 10,111,S1000049.84878,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000049.84879,SP1000049.4.84879,SY1000049.2026.84879,iPad1(1000049),49,01.06.26 18:29,Prod,A1000049.6676,Tisch 10,111,S1000049.84879,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000049.84880,SP1000049.4.84880,SY1000049.2026.84880,iPad1(1000049),49,01.06.26 18:29,Prod,A1000049.6676,Tisch 10,111,S1000049.84880,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000049.84881,SP1000049.4.84881,SY1000049.2026.84881,iPad1(1000049),49,01.06.26 17:13,Prod,A1000049.6677,,118,S1000049.84881,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000049.84882,SP1000049.4.84882,SY1000049.2026.84882,iPad1(1000049),49,01.06.26 17:13,Prod,A1000049.6677,,118,S1000049.84882,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000049.84883,SP1000049.4.84883,SY1000049.2026.84883,iPad1(1000049),49,01.06.26 15:41,Prod,A1000049.6678,Tisch 22,109,S1000049.84883,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000049.84884,SP1000049.4.84884,SY1000049.2026.84884,iPad1(1000049),49,01.06.26 15:41,Prod,A1000049.6678,Tisch 22,109,S1000049.84884,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000049.84885,SP1000049.4.84885,SY1000049.2026.84885,iPad1(1000049),49,01.06.26 15:41,Prod,A1000049.6678,Tisch 22,109,S1000049.84885,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000049.84886,SP1000049.4.84886,SY1000049.2026.84886,iPad1(1000049),49,01.06.26 11:38,Prod,A1000049.6679,Tisch 12,109,S1000049.84886,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
