Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000282.27166,SP1000282.1.27166,SY1000282.2026.27166,iPad1(1000282),282,01.06.26 08:51,Prod,A1000282.6527,Tisch 12,102,S1000282.27166,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000282.27167,SP1000282.1.27167,SY1000282.2026.27167,iPad1(1000282),282,01.06.26 08:51,Prod,A1000282.6527,Tisch 12,102,S1000282.27167,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000282.27168,SP1000282.1.27168,SY1000282.2026.27168,iPad1(1000282),282,01.06.26 19:07,Prod,A1000282.6528,Tisch 23,117,S1000282.27168,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000282.27169,SP1000282.1.27169,SY1000282.2026.27169,iPad1(1000282),282,01.06.26 11:58,Prod,A1000282.6529,Tisch 22,117,S1000282.27169,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000282.27170,SP1000282.1.27170,SY1000282.2026.27170,iPad1(1000282),282,01.06.26 11:58,Prod,A1000282.6529,Tisch 22,117,S1000282.27170,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000282.27171,SP1000282.1.27171,SY1000282.2026.27171,iPad1(1000282),282,01.06.26 11:58,Prod,A1000282.6529,Tisch 22,117,S1000282.27171,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000282.27172,SP1000282.1.27172,SY1000282.2026.27172,iPad1(1000282),282,01.06.26 18:57,Prod,A1000282.6530,Tisch 19,102,S1000282.27172,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000282.27173,SP1000282.1.27173,SY1000282.2026.27173,iPad1(1000282),282,01.06.26 18:57,Prod,A1000282.6530,Tisch 19,102,S1000282.27173,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000282.27174,SP1000282.1.27174,SY1000282.2026.27174,iPad1(1000282),282,01.06.26 12:46,Prod,A1000282.6531,Tisch 16,105,S1000282.27174,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000282.27175,SP1000282.1.27175,SY1000282.2026.27175,iPad1(1000282),282,01.06.26 13:31,Prod,A1000282.6532,Tisch 21,115,S1000282.27175,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
