Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000159.18990,SP1000159.9.18990,SY1000159.2026.18990,iPad1(1000159),159,01.06.26 12:13,Prod,A1000159.6192,Tisch 1,104,S1000159.18990,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000159.18991,SP1000159.9.18991,SY1000159.2026.18991,iPad1(1000159),159,01.06.26 12:13,Prod,A1000159.6192,Tisch 1,104,S1000159.18991,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000159.18992,SP1000159.9.18992,SY1000159.2026.18992,iPad1(1000159),159,01.06.26 16:26,Prod,A1000159.6193,,105,S1000159.18992,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000159.18993,SP1000159.9.18993,SY1000159.2026.18993,iPad1(1000159),159,01.06.26 16:26,Prod,A1000159.6193,,105,S1000159.18993,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000159.18994,SP1000159.9.18994,SY1000159.2026.18994,iPad1(1000159),159,01.06.26 13:49,Prod,A1000159.6194,Tisch 19,108,S1000159.18994,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000159.18995,SP1000159.9.18995,SY1000159.2026.18995,iPad1(1000159),159,01.06.26 13:30,Prod,A1000159.6195,Tisch 24,105,S1000159.18995,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000159.18996,SP1000159.9.18996,SY1000159.2026.18996,iPad1(1000159),159,01.06.26 13:30,Prod,A1000159.6195,Tisch 24,105,S1000159.18996,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000159.18997,SP1000159.9.18997,SY1000159.2026.18997,iPad1(1000159),159,01.06.26 13:30,Prod,A1000159.6195,Tisch 24,105,S1000159.18997,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000159.18998,SP1000159.9.18998,SY1000159.2026.18998,iPad1(1000159),159,01.06.26 13:08,Prod,A1000159.6196,Tisch 16,108,S1000159.18998,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000159.18999,SP1000159.9.18999,SY1000159.2026.18999,iPad1(1000159),159,01.06.26 13:08,Prod,A1000159.6196,Tisch 16,108,S1000159.18999,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000159.19000,SP1000159.9.19000,SY1000159.2026.19000,iPad1(1000159),159,01.06.26 17:45,Prod,A1000159.6197,Tisch 5,109,S1000159.19000,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000159.19001,SP1000159.9.19001,SY1000159.2026.19001,iPad1(1000159),159,01.06.26 12:27,Prod,A1000159.6198,Tisch 2,105,S1000159.19001,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000159.19002,SP1000159.9.19002,SY1000159.2026.19002,iPad1(1000159),159,01.06.26 12:00,Prod,A1000159.6199,Tisch 19,106,S1000159.19002,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000159.19003,SP1000159.9.19003,SY1000159.2026.19003,iPad1(1000159),159,01.06.26 11:35,Prod,A1000159.6200,Tisch 8,105,S1000159.19003,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000159.19004,SP1000159.9.19004,SY1000159.2026.19004,iPad1(1000159),159,01.06.26 16:52,Prod,A1000159.6201,Tisch 5,104,S1000159.19004,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000159.19005,SP1000159.9.19005,SY1000159.2026.19005,iPad1(1000159),159,01.06.26 16:09,Prod,A1000159.6202,Tisch 7,106,S1000159.19005,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000159.19006,SP1000159.9.19006,SY1000159.2026.19006,iPad1(1000159),159,01.06.26 16:09,Prod,A1000159.6202,Tisch 7,106,S1000159.19006,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000159.19007,SP1000159.9.19007,SY1000159.2026.19007,iPad1(1000159),159,01.06.26 12:48,Prod,A1000159.6203,,104,S1000159.19007,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000159.19008,SP1000159.9.19008,SY1000159.2026.19008,iPad1(1000159),159,01.06.26 12:48,Prod,A1000159.6203,,104,S1000159.19008,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000159.19009,SP1000159.9.19009,SY1000159.2026.19009,iPad1(1000159),159,01.06.26 16:49,Prod,A1000159.6204,Tisch 18,109,S1000159.19009,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000159.19010,SP1000159.9.19010,SY1000159.2026.19010,iPad1(1000159),159,01.06.26 16:49,Prod,A1000159.6204,Tisch 18,109,S1000159.19010,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000159.19011,SP1000159.9.19011,SY1000159.2026.19011,iPad1(1000159),159,01.06.26 16:49,Prod,A1000159.6204,Tisch 18,109,S1000159.19011,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
