Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000313.63021,SP1000313.18.63021,SY1000313.2026.63021,iPad1(1000313),313,01.06.26 17:45,Prod,A1000313.6939,Tisch 11,119,S1000313.63021,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000313.63022,SP1000313.18.63022,SY1000313.2026.63022,iPad1(1000313),313,01.06.26 17:45,Prod,A1000313.6939,Tisch 11,119,S1000313.63022,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000313.63023,SP1000313.18.63023,SY1000313.2026.63023,iPad1(1000313),313,01.06.26 17:45,Prod,A1000313.6939,Tisch 11,119,S1000313.63023,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000313.63024,SP1000313.18.63024,SY1000313.2026.63024,iPad1(1000313),313,01.06.26 18:38,Prod,A1000313.6940,,113,S1000313.63024,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000313.63025,SP1000313.18.63025,SY1000313.2026.63025,iPad1(1000313),313,01.06.26 14:16,Prod,A1000313.6941,Tisch 8,119,S1000313.63025,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000313.63026,SP1000313.18.63026,SY1000313.2026.63026,iPad1(1000313),313,01.06.26 14:16,Prod,A1000313.6941,Tisch 8,119,S1000313.63026,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000313.63027,SP1000313.18.63027,SY1000313.2026.63027,iPad1(1000313),313,01.06.26 12:41,Prod,A1000313.6942,Tisch 1,119,S1000313.63027,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000313.63028,SP1000313.18.63028,SY1000313.2026.63028,iPad1(1000313),313,01.06.26 17:49,Prod,A1000313.6943,Tisch 17,104,S1000313.63028,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000313.63029,SP1000313.18.63029,SY1000313.2026.63029,iPad1(1000313),313,01.06.26 17:49,Prod,A1000313.6943,Tisch 17,104,S1000313.63029,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000313.63030,SP1000313.18.63030,SY1000313.2026.63030,iPad1(1000313),313,01.06.26 17:49,Prod,A1000313.6943,Tisch 17,104,S1000313.63030,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
