Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000225.42566,SP1000225.16.42566,SY1000225.2026.42566,iPad1(1000225),225,01.06.26 17:19,Prod,A1000225.6264,Tisch 11,101,S1000225.42566,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000225.42567,SP1000225.16.42567,SY1000225.2026.42567,iPad1(1000225),225,01.06.26 19:00,Prod,A1000225.6265,Tisch 3,101,S1000225.42567,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000225.42568,SP1000225.16.42568,SY1000225.2026.42568,iPad1(1000225),225,01.06.26 19:00,Prod,A1000225.6265,Tisch 3,101,S1000225.42568,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000225.42569,SP1000225.16.42569,SY1000225.2026.42569,iPad1(1000225),225,01.06.26 18:37,Prod,A1000225.6266,Tisch 3,110,S1000225.42569,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000225.42570,SP1000225.16.42570,SY1000225.2026.42570,iPad1(1000225),225,01.06.26 13:52,Prod,A1000225.6267,Tisch 3,103,S1000225.42570,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000225.42571,SP1000225.16.42571,SY1000225.2026.42571,iPad1(1000225),225,01.06.26 09:02,Prod,A1000225.6268,Tisch 3,103,S1000225.42571,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000225.42572,SP1000225.16.42572,SY1000225.2026.42572,iPad1(1000225),225,01.06.26 09:02,Prod,A1000225.6268,Tisch 3,103,S1000225.42572,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000225.42573,SP1000225.16.42573,SY1000225.2026.42573,iPad1(1000225),225,01.06.26 09:02,Prod,A1000225.6268,Tisch 3,103,S1000225.42573,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000225.42574,SP1000225.16.42574,SY1000225.2026.42574,iPad1(1000225),225,01.06.26 12:49,Prod,A1000225.6269,Tisch 13,105,S1000225.42574,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000225.42575,SP1000225.16.42575,SY1000225.2026.42575,iPad1(1000225),225,01.06.26 16:01,Prod,A1000225.6270,Tisch 13,110,S1000225.42575,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000225.42576,SP1000225.16.42576,SY1000225.2026.42576,iPad1(1000225),225,01.06.26 16:01,Prod,A1000225.6270,Tisch 13,110,S1000225.42576,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000225.42577,SP1000225.16.42577,SY1000225.2026.42577,iPad1(1000225),225,01.06.26 16:01,Prod,A1000225.6270,Tisch 13,110,S1000225.42577,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
