Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000078.45126,SP1000078.7.45126,SY1000078.2026.45126,iPad1(1000078),78,01.06.26 18:12,Prod,A1000078.6901,Tisch 7,117,S1000078.45126,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000078.45127,SP1000078.7.45127,SY1000078.2026.45127,iPad1(1000078),78,01.06.26 18:12,Prod,A1000078.6901,Tisch 7,117,S1000078.45127,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000078.45128,SP1000078.7.45128,SY1000078.2026.45128,iPad1(1000078),78,01.06.26 18:12,Prod,A1000078.6901,Tisch 7,117,S1000078.45128,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000078.45129,SP1000078.7.45129,SY1000078.2026.45129,iPad1(1000078),78,01.06.26 16:02,Prod,A1000078.6902,Tisch 18,101,S1000078.45129,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000078.45130,SP1000078.7.45130,SY1000078.2026.45130,iPad1(1000078),78,01.06.26 11:30,Prod,A1000078.6903,Tisch 14,119,S1000078.45130,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000078.45131,SP1000078.7.45131,SY1000078.2026.45131,iPad1(1000078),78,01.06.26 17:42,Prod,A1000078.6904,Tisch 21,118,S1000078.45131,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000078.45132,SP1000078.7.45132,SY1000078.2026.45132,iPad1(1000078),78,01.06.26 17:42,Prod,A1000078.6904,Tisch 21,118,S1000078.45132,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000078.45133,SP1000078.7.45133,SY1000078.2026.45133,iPad1(1000078),78,01.06.26 17:42,Prod,A1000078.6904,Tisch 21,118,S1000078.45133,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000078.45134,SP1000078.7.45134,SY1000078.2026.45134,iPad1(1000078),78,01.06.26 18:10,Prod,A1000078.6905,Tisch 11,119,S1000078.45134,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000078.45135,SP1000078.7.45135,SY1000078.2026.45135,iPad1(1000078),78,01.06.26 18:10,Prod,A1000078.6905,Tisch 11,119,S1000078.45135,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
