Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000081.66507,SP1000081.17.66507,SY1000081.2026.66507,iPad1(1000081),81,01.06.26 20:39,Prod,A1000081.6183,Tisch 4,106,S1000081.66507,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000081.66508,SP1000081.17.66508,SY1000081.2026.66508,iPad1(1000081),81,01.06.26 20:39,Prod,A1000081.6183,Tisch 4,106,S1000081.66508,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000081.66509,SP1000081.17.66509,SY1000081.2026.66509,iPad1(1000081),81,01.06.26 20:39,Prod,A1000081.6183,Tisch 4,106,S1000081.66509,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000081.66510,SP1000081.17.66510,SY1000081.2026.66510,iPad1(1000081),81,01.06.26 20:41,Prod,A1000081.6184,Tisch 15,101,S1000081.66510,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000081.66511,SP1000081.17.66511,SY1000081.2026.66511,iPad1(1000081),81,01.06.26 19:53,Prod,A1000081.6185,Tisch 2,101,S1000081.66511,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000081.66512,SP1000081.17.66512,SY1000081.2026.66512,iPad1(1000081),81,01.06.26 12:54,Prod,A1000081.6186,Tisch 21,103,S1000081.66512,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000081.66513,SP1000081.17.66513,SY1000081.2026.66513,iPad1(1000081),81,01.06.26 12:54,Prod,A1000081.6186,Tisch 21,103,S1000081.66513,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000081.66514,SP1000081.17.66514,SY1000081.2026.66514,iPad1(1000081),81,01.06.26 12:54,Prod,A1000081.6186,Tisch 21,103,S1000081.66514,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000081.66515,SP1000081.17.66515,SY1000081.2026.66515,iPad1(1000081),81,01.06.26 11:07,Prod,A1000081.6187,Tisch 1,103,S1000081.66515,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000081.66516,SP1000081.17.66516,SY1000081.2026.66516,iPad1(1000081),81,01.06.26 11:07,Prod,A1000081.6187,Tisch 1,103,S1000081.66516,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
