Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000292.32635,SP1000292.51.32635,SY1000292.2026.32635,iPad1(1000292),292,01.06.26 13:08,Prod,A1000292.6505,Tisch 12,113,S1000292.32635,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000292.32636,SP1000292.51.32636,SY1000292.2026.32636,iPad1(1000292),292,01.06.26 12:31,Prod,A1000292.6506,Tisch 8,109,S1000292.32636,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000292.32637,SP1000292.51.32637,SY1000292.2026.32637,iPad1(1000292),292,01.06.26 19:14,Prod,A1000292.6507,Tisch 12,106,S1000292.32637,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000292.32638,SP1000292.51.32638,SY1000292.2026.32638,iPad1(1000292),292,01.06.26 19:14,Prod,A1000292.6507,Tisch 12,106,S1000292.32638,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000292.32639,SP1000292.51.32639,SY1000292.2026.32639,iPad1(1000292),292,01.06.26 19:14,Prod,A1000292.6507,Tisch 12,106,S1000292.32639,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000292.32640,SP1000292.51.32640,SY1000292.2026.32640,iPad1(1000292),292,01.06.26 20:30,Prod,A1000292.6508,Tisch 13,117,S1000292.32640,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000292.32641,SP1000292.51.32641,SY1000292.2026.32641,iPad1(1000292),292,01.06.26 18:50,Prod,A1000292.6509,Tisch 1,117,S1000292.32641,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000292.32642,SP1000292.51.32642,SY1000292.2026.32642,iPad1(1000292),292,01.06.26 18:50,Prod,A1000292.6509,Tisch 1,117,S1000292.32642,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000292.32643,SP1000292.51.32643,SY1000292.2026.32643,iPad1(1000292),292,01.06.26 18:50,Prod,A1000292.6509,Tisch 1,117,S1000292.32643,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000292.32644,SP1000292.51.32644,SY1000292.2026.32644,iPad1(1000292),292,01.06.26 17:34,Prod,A1000292.6510,Tisch 17,118,S1000292.32644,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000292.32645,SP1000292.51.32645,SY1000292.2026.32645,iPad1(1000292),292,01.06.26 16:23,Prod,A1000292.6511,Tisch 17,117,S1000292.32645,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
