Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000079.21148,SP1000079.3.21148,SY1000079.2026.21148,iPad1(1000079),79,01.06.26 12:53,Prod,A1000079.6705,Tisch 12,117,S1000079.21148,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000079.21149,SP1000079.3.21149,SY1000079.2026.21149,iPad1(1000079),79,01.06.26 08:55,Prod,A1000079.6706,Tisch 23,119,S1000079.21149,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000079.21150,SP1000079.3.21150,SY1000079.2026.21150,iPad1(1000079),79,01.06.26 08:55,Prod,A1000079.6706,Tisch 23,119,S1000079.21150,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000079.21151,SP1000079.3.21151,SY1000079.2026.21151,iPad1(1000079),79,01.06.26 14:11,Prod,A1000079.6707,Tisch 15,117,S1000079.21151,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000079.21152,SP1000079.3.21152,SY1000079.2026.21152,iPad1(1000079),79,01.06.26 16:37,Prod,A1000079.6708,Tisch 5,118,S1000079.21152,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000079.21153,SP1000079.3.21153,SY1000079.2026.21153,iPad1(1000079),79,01.06.26 11:58,Prod,A1000079.6709,,119,S1000079.21153,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000079.21154,SP1000079.3.21154,SY1000079.2026.21154,iPad1(1000079),79,01.06.26 11:58,Prod,A1000079.6709,,119,S1000079.21154,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000079.21155,SP1000079.3.21155,SY1000079.2026.21155,iPad1(1000079),79,01.06.26 11:58,Prod,A1000079.6709,,119,S1000079.21155,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000079.21156,SP1000079.3.21156,SY1000079.2026.21156,iPad1(1000079),79,01.06.26 11:31,Prod,A1000079.6710,Tisch 12,119,S1000079.21156,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000079.21157,SP1000079.3.21157,SY1000079.2026.21157,iPad1(1000079),79,01.06.26 11:31,Prod,A1000079.6710,Tisch 12,119,S1000079.21157,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
