Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000026.81732,SP1000026.31.81732,SY1000026.2026.81732,iPad1(1000026),26,01.06.26 13:50,Prod,A1000026.6233,Tisch 12,105,S1000026.81732,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000026.81733,SP1000026.31.81733,SY1000026.2026.81733,iPad1(1000026),26,01.06.26 09:37,Prod,A1000026.6234,Tisch 13,114,S1000026.81733,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000026.81734,SP1000026.31.81734,SY1000026.2026.81734,iPad1(1000026),26,01.06.26 09:37,Prod,A1000026.6234,Tisch 13,114,S1000026.81734,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000026.81735,SP1000026.31.81735,SY1000026.2026.81735,iPad1(1000026),26,01.06.26 09:37,Prod,A1000026.6234,Tisch 13,114,S1000026.81735,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000026.81736,SP1000026.31.81736,SY1000026.2026.81736,iPad1(1000026),26,01.06.26 18:05,Prod,A1000026.6235,Tisch 2,110,S1000026.81736,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000026.81737,SP1000026.31.81737,SY1000026.2026.81737,iPad1(1000026),26,01.06.26 18:05,Prod,A1000026.6235,Tisch 2,110,S1000026.81737,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000026.81738,SP1000026.31.81738,SY1000026.2026.81738,iPad1(1000026),26,01.06.26 18:05,Prod,A1000026.6235,Tisch 2,110,S1000026.81738,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000026.81739,SP1000026.31.81739,SY1000026.2026.81739,iPad1(1000026),26,01.06.26 16:31,Prod,A1000026.6236,,108,S1000026.81739,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000026.81740,SP1000026.31.81740,SY1000026.2026.81740,iPad1(1000026),26,01.06.26 16:31,Prod,A1000026.6236,,108,S1000026.81740,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000026.81741,SP1000026.31.81741,SY1000026.2026.81741,iPad1(1000026),26,01.06.26 16:31,Prod,A1000026.6236,,108,S1000026.81741,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000026.81742,SP1000026.31.81742,SY1000026.2026.81742,iPad1(1000026),26,01.06.26 10:36,Prod,A1000026.6237,Tisch 1,110,S1000026.81742,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000026.81743,SP1000026.31.81743,SY1000026.2026.81743,iPad1(1000026),26,01.06.26 10:36,Prod,A1000026.6237,Tisch 1,110,S1000026.81743,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000026.81744,SP1000026.31.81744,SY1000026.2026.81744,iPad1(1000026),26,01.06.26 18:00,Prod,A1000026.6238,,111,S1000026.81744,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000026.81745,SP1000026.31.81745,SY1000026.2026.81745,iPad1(1000026),26,01.06.26 18:42,Prod,A1000026.6239,Tisch 4,110,S1000026.81745,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000026.81746,SP1000026.31.81746,SY1000026.2026.81746,iPad1(1000026),26,01.06.26 18:42,Prod,A1000026.6239,Tisch 4,110,S1000026.81746,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000026.81747,SP1000026.31.81747,SY1000026.2026.81747,iPad1(1000026),26,01.06.26 18:42,Prod,A1000026.6239,Tisch 4,110,S1000026.81747,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000026.81748,SP1000026.31.81748,SY1000026.2026.81748,iPad1(1000026),26,01.06.26 10:08,Prod,A1000026.6240,Tisch 17,108,S1000026.81748,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000026.81749,SP1000026.31.81749,SY1000026.2026.81749,iPad1(1000026),26,01.06.26 10:08,Prod,A1000026.6240,Tisch 17,108,S1000026.81749,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000026.81750,SP1000026.31.81750,SY1000026.2026.81750,iPad1(1000026),26,01.06.26 10:18,Prod,A1000026.6241,Tisch 16,111,S1000026.81750,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000026.81751,SP1000026.31.81751,SY1000026.2026.81751,iPad1(1000026),26,01.06.26 10:18,Prod,A1000026.6241,Tisch 16,111,S1000026.81751,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
