Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000058.51453,SP1000058.43.51453,SY1000058.2026.51453,iPad1(1000058),58,01.06.26 13:00,Prod,A1000058.6476,Tisch 10,101,S1000058.51453,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000058.51454,SP1000058.43.51454,SY1000058.2026.51454,iPad1(1000058),58,01.06.26 13:00,Prod,A1000058.6476,Tisch 10,101,S1000058.51454,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000058.51455,SP1000058.43.51455,SY1000058.2026.51455,iPad1(1000058),58,01.06.26 13:00,Prod,A1000058.6476,Tisch 10,101,S1000058.51455,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000058.51456,SP1000058.43.51456,SY1000058.2026.51456,iPad1(1000058),58,01.06.26 18:56,Prod,A1000058.6477,Tisch 12,101,S1000058.51456,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000058.51457,SP1000058.43.51457,SY1000058.2026.51457,iPad1(1000058),58,01.06.26 18:56,Prod,A1000058.6477,Tisch 12,101,S1000058.51457,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000058.51458,SP1000058.43.51458,SY1000058.2026.51458,iPad1(1000058),58,01.06.26 16:52,Prod,A1000058.6478,Tisch 1,116,S1000058.51458,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000058.51459,SP1000058.43.51459,SY1000058.2026.51459,iPad1(1000058),58,01.06.26 20:46,Prod,A1000058.6479,Tisch 8,116,S1000058.51459,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000058.51460,SP1000058.43.51460,SY1000058.2026.51460,iPad1(1000058),58,01.06.26 20:46,Prod,A1000058.6479,Tisch 8,116,S1000058.51460,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000058.51461,SP1000058.43.51461,SY1000058.2026.51461,iPad1(1000058),58,01.06.26 15:44,Prod,A1000058.6480,Tisch 5,113,S1000058.51461,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000058.51462,SP1000058.43.51462,SY1000058.2026.51462,iPad1(1000058),58,01.06.26 19:00,Prod,A1000058.6481,Tisch 1,110,S1000058.51462,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000058.51463,SP1000058.43.51463,SY1000058.2026.51463,iPad1(1000058),58,01.06.26 19:00,Prod,A1000058.6481,Tisch 1,110,S1000058.51463,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000058.51464,SP1000058.43.51464,SY1000058.2026.51464,iPad1(1000058),58,01.06.26 19:00,Prod,A1000058.6481,Tisch 1,110,S1000058.51464,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000058.51465,SP1000058.43.51465,SY1000058.2026.51465,iPad1(1000058),58,01.06.26 11:41,Prod,A1000058.6482,Tisch 6,110,S1000058.51465,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000058.51466,SP1000058.43.51466,SY1000058.2026.51466,iPad1(1000058),58,01.06.26 12:20,Prod,A1000058.6483,,110,S1000058.51466,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000058.51467,SP1000058.43.51467,SY1000058.2026.51467,iPad1(1000058),58,01.06.26 12:20,Prod,A1000058.6483,,110,S1000058.51467,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
