Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000165.59894,SP1000165.47.59894,SY1000165.2026.59894,iPad1(1000165),165,01.06.26 19:22,Prod,A1000165.6391,Tisch 15,115,S1000165.59894,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000165.59895,SP1000165.47.59895,SY1000165.2026.59895,iPad1(1000165),165,01.06.26 19:22,Prod,A1000165.6391,Tisch 15,115,S1000165.59895,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000165.59896,SP1000165.47.59896,SY1000165.2026.59896,iPad1(1000165),165,01.06.26 17:03,Prod,A1000165.6392,Tisch 8,107,S1000165.59896,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000165.59897,SP1000165.47.59897,SY1000165.2026.59897,iPad1(1000165),165,01.06.26 17:03,Prod,A1000165.6392,Tisch 8,107,S1000165.59897,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000165.59898,SP1000165.47.59898,SY1000165.2026.59898,iPad1(1000165),165,01.06.26 17:03,Prod,A1000165.6392,Tisch 8,107,S1000165.59898,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000165.59899,SP1000165.47.59899,SY1000165.2026.59899,iPad1(1000165),165,01.06.26 17:06,Prod,A1000165.6393,Tisch 19,117,S1000165.59899,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000165.59900,SP1000165.47.59900,SY1000165.2026.59900,iPad1(1000165),165,01.06.26 16:00,Prod,A1000165.6394,Tisch 19,115,S1000165.59900,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000165.59901,SP1000165.47.59901,SY1000165.2026.59901,iPad1(1000165),165,01.06.26 16:00,Prod,A1000165.6394,Tisch 19,115,S1000165.59901,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000165.59902,SP1000165.47.59902,SY1000165.2026.59902,iPad1(1000165),165,01.06.26 16:00,Prod,A1000165.6394,Tisch 19,115,S1000165.59902,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000165.59903,SP1000165.47.59903,SY1000165.2026.59903,iPad1(1000165),165,01.06.26 17:17,Prod,A1000165.6395,Tisch 18,104,S1000165.59903,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000165.59904,SP1000165.47.59904,SY1000165.2026.59904,iPad1(1000165),165,01.06.26 17:17,Prod,A1000165.6396,Tisch 18,115,S1000165.59904,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000165.59905,SP1000165.47.59905,SY1000165.2026.59905,iPad1(1000165),165,01.06.26 17:17,Prod,A1000165.6396,Tisch 18,115,S1000165.59905,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000165.59906,SP1000165.47.59906,SY1000165.2026.59906,iPad1(1000165),165,01.06.26 08:48,Prod,A1000165.6397,Tisch 21,118,S1000165.59906,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000165.59907,SP1000165.47.59907,SY1000165.2026.59907,iPad1(1000165),165,01.06.26 08:48,Prod,A1000165.6397,Tisch 21,118,S1000165.59907,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000165.59908,SP1000165.47.59908,SY1000165.2026.59908,iPad1(1000165),165,01.06.26 08:48,Prod,A1000165.6397,Tisch 21,118,S1000165.59908,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
